best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
3,1.7544567439560528,,1.7544567439560528,,,,,,,,,,,,,,,,69.24878458742602,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,17.91038211453166,5.314644650435179,93.88953343404918,direct_mlp_sequence_k30,direct,0,53.71066099234019,89.19467282793559,52322,,,1.4731624126434326,setup_10km,10.0,8.340723758838633,0.15711645781993866,1082,0.17791128158569336,4328
16,1.7890526927063728,full,,1.7890526927063728,0.8962264150943396,0.6791666666666666,0.08037825059101655,52,102,0.7330034116261801,0.6150943396226415,0.7581395348837209,0.9056939175692268,0.9196217494089834,0.5,1167,163,0.9231805929919138,74.3458854130005,0.7361111111111112,0.045705279747832936,56,58,0.7330034116261801,0.7327188940092166,0.7395348837209302,0.9056939175692268,0.9542947202521671,0.693608122288715,1211,159,74.4649193913764,12.914047492163354,0.8331209325783898,110.63185680377292,34.41674915140605,72.81225611128744,2.4858067842588594,7,triline_transformer,13.405462879243167,1.4817196380960733,110.51785356969077,triline_transformer_2l_k7,triline,2,33.94625661661394,72.81225611128744,425094,4.207017543859649,4.207017543859649,10.198721408843994,setup_10km,10.0,3.080647398740548,0.14487870037555695,1484,0.19204851984977722,5936
20,1.8774266640932205,full,,1.8774266640932205,0.895864106351551,0.6954643628509719,0.08041958041958042,49,92,0.7402037946318079,0.6363636363636364,0.7666666666666667,0.9091242091242092,0.9195804195804196,0.5,1052,161,0.9194977843426884,72.28575111315128,0.7240506329113925,0.03671328671328671,67,42,0.7402037946318079,0.772972972972973,0.680952380952381,0.9091242091242092,0.9632867132867133,0.7609344479814172,1102,143,72.5324139297236,13.500521290756039,0.8078201806387191,105.18996850968693,38.20945541262709,84.41074420765514,2.6642472923441614,14,triline_transformer,14.084151556926875,1.700942203712688,104.98674319541445,triline_transformer_2l_k14,triline,2,38.20945541262709,84.41074420765514,425990,4.345508390918065,4.345508390918065,10.426039934158325,setup_10km,10.0,3.4002914985290364,0.15509600937366486,1354,0.18707294762134552,5415
14,2.085346091917394,full,,2.085346091917394,0.9011090573012939,0.7084468664850135,0.07346491228070176,40,67,0.7336964913383751,0.6598984771573604,0.7647058823529411,0.8910668214654284,0.9265350877192983,0.5,845,130,0.9075785582255084,72.76403346621044,0.7175141242937854,0.0625,43,57,0.7336964913383751,0.6902173913043478,0.7470588235294118,0.8910668214654284,0.9375,0.5495258008129894,855,127,72.90632042306012,14.098124544742719,0.9942727567993193,105.95151327961793,41.56811061935454,81.42896130962644,3.1360704884774155,30,triline_transformer,14.571151662065173,1.9276989497976045,105.78347917079087,triline_transformer_2l_k30,triline,2,41.56811061935454,81.42896130962644,428038,4.62077922077922,4.62077922077922,7.273534059524536,setup_10km,10.0,3.723794308222309,0.15711645781993866,1082,0.17791128158569336,4328
14,2.015709945763325,full,,2.015709945763325,0.8974121996303143,0.6975476839237057,0.0756578947368421,42,69,0.7361936318032424,0.649746192893401,0.7529411764705882,0.8912216202270382,0.9243421052631579,0.5,843,128,0.9140480591497228,75.67779867645652,0.7207207207207208,0.047149122807017545,50,43,0.7361936318032424,0.7361963190184049,0.7058823529411765,0.8912216202270382,0.9528508771929824,0.6402358893863856,869,120,75.81208223574143,14.155285111558209,0.9216405057608903,112.98803542723874,37.08394448397139,81.13539722504436,2.6622417879714257,30,triline_transformer,14.672917698728078,1.78285773496876,112.84396637220453,triline_transformer_3l_k30,triline,3,37.08394448397139,81.13539722504436,626310,4.62077922077922,4.62077922077922,9.183390617370605,setup_10km,10.0,3.3013938322655414,0.15711645781993866,1082,0.17791128158569336,4328
19,1.796704366843334,full,,1.796704366843334,0.9171159029649596,0.7260579064587972,0.05594956658786446,52,71,0.7302379360762885,0.6965811965811965,0.7581395348837209,0.9118184983598145,0.9440504334121356,0.5,1198,163,0.9231805929919138,73.76249819713699,0.7348837209302326,0.04491725768321513,57,57,0.7302379360762885,0.7348837209302326,0.7348837209302326,0.9118184983598145,0.9550827423167849,0.6349646461359225,1212,158,73.96441067935274,12.938265928346935,0.8236148212300373,109.35298800788169,32.27305243127424,76.7970602309698,2.5989269831410646,7,triline_transformer,13.356384417263131,1.5093549469856526,109.18156078856812,triline_transformer_4l_k7,triline,4,32.27305243127424,76.7970602309698,821638,4.207017543859649,4.207017543859649,15.087384700775146,setup_10km,10.0,3.122094060546912,0.14487870037555695,1484,0.19204851984977722,5936
19,1.8657954774543841,full,,1.8657954774543841,0.9150664697193501,0.7331786542923433,0.05506993006993007,52,63,0.7431380892241628,0.7149321266968326,0.7523809523809524,0.9101814851814852,0.9449300699300699,0.5,1081,158,0.9202363367799113,74.65540362021055,0.7452830188679245,0.04895104895104895,52,56,0.7431380892241628,0.7383177570093458,0.7523809523809524,0.9101814851814852,0.951048951048951,0.5373519998788833,1088,158,74.6998823541093,13.654927140940911,0.8311606258173447,109.76894607154794,40.822858003003084,74.06586468568565,2.4491224252369217,14,triline_transformer,14.034360294928177,1.3305891957018958,109.69869537067522,triline_transformer_4l_k14,triline,4,40.822858003003084,74.06586468568565,822534,4.345508390918065,4.345508390918065,15.523566484451294,setup_10km,10.0,2.9063715726298414,0.15509600937366486,1354,0.18707294762134552,5415
15,2.0840039856993555,full,,2.0840039856993555,0.9057301293900185,0.7134831460674157,0.06469298245614036,43,59,0.7363457147675507,0.6827956989247311,0.7470588235294118,0.8939886480908152,0.9353070175438597,0.5,853,127,0.9186691312384473,73.48595139893368,0.7267080745341615,0.03837719298245614,53,35,0.7363457147675507,0.7697368421052632,0.6882352941176471,0.8939886480908152,0.9616228070175439,0.7034217453002929,877,117,73.68839202914602,14.251520434747997,0.913077646627792,106.65206444647417,45.55193178342084,82.29822997935717,3.1722790191255643,30,triline_transformer,14.733686863479383,1.7156647451322442,106.37714164871667,triline_transformer_4l_k30,triline,4,45.373922203432514,82.29822997935717,824582,4.62077922077922,4.62077922077922,12.691924571990967,setup_10km,10.0,3.7820586057740804,0.15711645781993866,1082,0.17791128158569336,4328
12,1.7624960614021898,full,,1.7624960614021898,0.9144204851752021,0.7133182844243794,0.055161544523246654,57,70,0.7478845963206806,0.6929824561403509,0.7348837209302326,0.9158429087177232,0.9448384554767534,0.5,1199,158,0.9258760107816711,68.48387032904147,0.7277227722772276,0.03309692671394799,68,42,0.7478845963206806,0.7777777777777778,0.6837209302325581,0.9158429087177232,0.966903073286052,0.6968999068415724,1227,147,68.77257019100541,12.306942978709351,0.8088853930284174,97.92452799224768,37.93583178728652,71.07631085821582,2.7402685495181323,7,triline_lstm,12.731134810303812,1.446936932568705,97.5540096493062,triline_lstm_2l_k7,triline,2,37.556553370679545,70.31740893187536,291846,4.207017543859649,4.207017543859649,6.650920629501343,setup_10km,10.0,3.2852418737170543,0.14487870037555695,1484,0.19204851984977722,5936
14,1.83328296303573,full,,1.83328296303573,0.8973412112259971,0.6984815618221258,0.07867132867132867,49,90,0.748527267934598,0.6414342629482072,0.7666666666666667,0.906010656010656,0.9213286713286714,0.5,1054,161,0.9224519940915805,71.43205929726253,0.7314578005115089,0.033216783216783216,67,38,0.748527267934598,0.7900552486187845,0.680952380952381,0.906010656010656,0.9667832167832168,0.7675842576078139,1106,143,71.8308969086322,13.27281195033223,0.8078201806387191,103.93646429760365,41.17559777842184,79.09962861776705,2.5235131380568845,14,triline_lstm,13.777337418544182,1.5649851430972497,103.61350257746109,triline_lstm_2l_k14,triline,2,41.010610562122594,79.09962861776705,291846,4.345508390918065,4.345508390918065,6.474915266036987,setup_10km,10.0,3.1938657450032246,0.15509600937366486,1354,0.18707294762134552,5415
9,2.0338400194693405,full,,2.0338400194693405,0.9029574861367837,0.7042253521126761,0.06578947368421052,45,60,0.7313788831751645,0.6756756756756757,0.7352941176470589,0.8831140350877194,0.9342105263157895,0.5,852,125,0.9140480591497228,74.55272984257388,0.7190332326283987,0.046052631578947366,51,42,0.7313788831751645,0.7391304347826086,0.7,0.8831140350877194,0.9539473684210527,0.620580136179924,870,119,74.743322214988,13.966549171705918,0.9190131128767056,110.67733111358956,40.539121114650264,79.46185656999667,2.6375454246028966,30,triline_lstm,14.359732792483236,1.5919683694028595,110.482631978906,triline_lstm_2l_k30,triline,2,40.539121114650264,79.46185656999667,291846,4.62077922077922,4.62077922077922,4.542897462844849,setup_10km,10.0,3.1395469388479156,0.15711645781993866,1082,0.17791128158569336,4328
6,1.849261880884916,full,,1.849261880884916,0.9043126684636119,0.6885964912280702,0.06619385342789598,58,84,0.7375487333166517,0.6514522821576764,0.7302325581395349,0.9073249399820403,0.933806146572104,0.5,1185,157,0.9164420485175202,72.85642252023466,0.7155963302752294,0.0512214342001576,59,65,0.7375487333166517,0.7058823529411765,0.7255813953488373,0.9073249399820403,0.9487785657998424,0.5577123841457069,1204,156,73.04283435040091,13.018634496852778,0.8553407157014943,102.69491025015289,37.091685477525466,78.95805889115664,2.849049809293401,7,triline_linear_ar,13.78227402944751,2.158122012065199,102.47767176024774,triline_linear_ar_full_k7,triline,0,36.58332356217275,78.95805889115664,40292,4.207017543859649,4.207017543859649,4.582009792327881,setup_10km,10.0,3.7736515507089448,0.14487870037555695,1484,0.19204851984977722,5936
8,1.9701027169361425,full,,1.9701027169361425,0.8943870014771049,0.680089485458613,0.0743006993006993,58,85,0.7431247442285948,0.6413502109704642,0.7238095238095238,0.9116966366966367,0.9256993006993007,0.5,1059,152,0.9187592319054653,75.81960228360106,0.7193877551020408,0.03583916083916084,69,41,0.7431247442285948,0.7747252747252747,0.6714285714285714,0.9116966366966367,0.9641608391608392,0.7575814998336137,1103,141,76.19390789408862,14.358256701831628,0.8211273133995798,103.6383781957362,44.91077454314232,89.5983754384613,3.0073067452110274,14,triline_linear_ar,14.874116246467695,1.779972443768478,103.24524638948279,triline_linear_ar_full_k14,triline,0,44.91077454314232,89.5983754384613,49252,4.345508390918065,4.345508390918065,4.564573049545288,setup_10km,10.0,3.68657073265825,0.15509600937366486,1354,0.18707294762134552,5415
4,2.2580130809776886,full,,2.2580130809776886,0.8807763401109058,0.6465753424657534,0.08442982456140351,52,77,0.7004465521015383,0.6051282051282051,0.6941176470588235,0.8670988132094943,0.9155701754385965,0.5,835,118,0.9085027726432532,77.10147415405177,0.6816720257234726,0.03837719298245614,64,35,0.7004465521015383,0.75177304964539,0.6235294117647059,0.8670988132094943,0.9616228070175439,0.7256390810012818,877,106,77.39838137393272,14.319157421890349,0.9190131128767056,113.71430372191449,42.37958334873573,77.87440640858316,2.5609687466192885,30,triline_linear_ar,14.920157063989521,2.0896486541678496,113.34235326014382,triline_linear_ar_full_k30,triline,0,42.37958334873573,77.87440640858316,69732,4.62077922077922,4.62077922077922,3.194359302520752,setup_10km,10.0,3.329341378341951,0.15711645781993866,1082,0.17791128158569336,4328
7,2.4012619122559835,delta,,2.4012619122559835,0.8465804066543438,0.585,0.12390350877192982,53,113,0.686587902948046,0.508695652173913,0.6882352941176471,0.8373387512899897,0.8760964912280702,0.5,799,117,0.9057301293900185,78.72624993587563,0.6709677419354839,0.039473684210526314,66,36,0.686587902948046,0.7428571428571429,0.611764705882353,0.8373387512899897,0.9605263157894737,0.7296733726747334,876,104,79.18091832335881,14.759491355213871,0.9190131128767056,112.16496622258742,47.22965372774804,94.46073424121616,2.751111328257029,30,triline_linear_ar,15.494244363985233,2.461170743343606,111.60369119723572,triline_linear_ar_delta_k30,triline,0,47.22965372774804,94.46073424121616,39012,4.62077922077922,4.62077922077922,3.5260002613067627,setup_10km,10.0,3.707576658698647,0.15711645781993866,1082,0.17791128158569336,4328
