epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.831654076306325,0.8959419071835006,2.7797808782109676,0.311862553306667,2.4135521961993605,0.359228612277707,3.4891084339419467,1.8084568746006393,2.2961869349055535,2.131327604026486,0.6211764705882353,0.4835164835164835,0.868421052631579,0.001
2,2.6305563392022226,0.698715668161603,1.7949047821230002,0.27387177719260164,1.808125248495138,0.32475177353283147,2.669216808283104,1.8084568736366826,2.1720282086786233,2.324393190784917,0.6330935251798561,0.4981132075471698,0.868421052631579,0.001
3,2.458938083880031,0.6573149692016149,1.6743867904992116,0.25447263468227616,1.724282262138922,0.3044482617164558,2.533821362369465,1.8084568733153639,2.1260353265746907,2.163476892558712,0.6063348416289592,0.46206896551724136,0.881578947368421,0.001
4,2.3809642412591816,0.6477815825341525,1.6099290687118901,0.24650714909933968,1.6288559777396066,0.29158336221368486,2.422429235797687,1.8084568733153639,2.0652605317673594,1.9066880289113746,0.6843501326259948,0.5733333333333334,0.8486842105263158,0.001
5,2.2622832911355153,0.6167227468400631,1.5194761406057928,0.2521688538902211,1.5542974370830465,0.29969239949858734,2.3208663614612384,1.8084568733153639,2.1147349015721737,1.7668339357864504,0.6988636363636362,0.615,0.8092105263157895,0.001
6,2.164817414193783,0.5984024926015952,1.4514185281776675,0.22999278538310625,1.5072031014691787,0.2755851131083188,2.2433981554848805,1.8084568736366826,2.0002947059281753,1.89950308259928,0.670076726342711,0.5481171548117155,0.8618421052631579,0.001
7,2.127114221092183,0.5823904555441556,1.4246660663753827,0.24011540187979644,1.4872825004341146,0.2840735097779739,2.211709709180333,1.8084568736366826,2.042194622867512,1.925059769031494,0.6533665835411471,0.5261044176706827,0.8618421052631579,0.001
8,2.0521067907868047,0.5648944885582937,1.371374217647748,0.23167616402042523,1.416000279133532,0.27063740488653876,2.1162134810599356,1.8084568739580016,2.0274608739302806,2.0150235232638543,0.6093023255813953,0.4712230215827338,0.8618421052631579,0.001
9,1.957383326121739,0.5464245554089867,1.302070622174245,0.2177762968360253,1.3963656039893466,0.25645991774260835,2.0710201060996867,1.8084568739580016,2.0450479785065765,1.7999818749183594,0.6754617414248022,0.5638766519823789,0.8421052631578947,0.001
10,1.8861106206785958,0.5294065544547418,1.2556150724303048,0.20217796413082317,1.3197213671599437,0.23981331172336465,1.9690345728172447,1.8084568746006393,2.2907757065045544,2.419488783473917,0.5610278372591007,0.4158730158730159,0.8618421052631579,0.001
11,1.779690884194284,0.4735056974817158,1.2067239053165817,0.19892256849538284,1.2877888920493525,0.23032158500743363,1.8764553976187488,1.8084568739580016,2.172396628361828,1.8845445222931732,0.6925207756232687,0.5980861244019139,0.8223684210526315,0.0005
12,1.5742235681760022,0.42427243810458326,1.05326911317049,0.19336403684434544,1.1424035653271123,0.22649596460826313,1.6799239755640776,1.8084568739580016,2.0608231687160194,1.8810146060594009,0.6809651474530831,0.5746606334841629,0.8355263157894737,0.0005
13,1.4524735225178804,0.38426154307679666,0.9769458483171591,0.18253225333125123,1.0862172199388078,0.21405481766015694,1.5775061707612317,1.8084568733153639,2.3096447029525056,1.9868801893249677,0.6666666666666666,0.5517241379310345,0.8421052631578947,0.0005
14,1.3725934001313387,0.3586501982816146,0.9216650701918692,0.18455624605486334,1.0388755350100063,0.2152398694155994,1.5051456739639015,1.8084568733153639,2.389714319429629,2.0776591763663483,0.6649214659685865,0.5521739130434783,0.8355263157894737,0.0005
15,1.2998043134848705,0.32853214221823246,0.8874313696375433,0.16768158855785256,1.0024355453943627,0.1959056206388936,1.4289204992373998,1.8084568746006393,2.3964927742744715,2.1278457133917796,0.684931506849315,0.5868544600938967,0.8223684210526315,0.0005
16,1.2008871858653354,0.29692376286514366,0.8208063554892322,0.1663141269889482,0.9264106576976108,0.19091097841847618,1.3187899158971328,1.8084568746006393,2.403802768882073,2.17472718539585,0.6482412060301508,0.524390243902439,0.8486842105263158,0.00025
17,1.1276453029755955,0.27726946309249034,0.7723459995017862,0.15605966043922137,0.881837152727852,0.18042605834187203,1.2493196533054034,1.8084568736366826,2.644812283168906,2.2025111781940305,0.6880466472303207,0.6178010471204188,0.7763157894736842,0.00025
18,1.0750076256672327,0.2558470545110677,0.7436828406030598,0.15095547926072483,0.8464602217520022,0.17384256241777837,1.1892285604039936,1.8084568733153639,2.597797315397031,2.220796173794893,0.6876790830945559,0.6091370558375635,0.7894736842105263,0.00025
19,1.036574602448394,0.24325924324539472,0.7192624416955398,0.1481058178042787,0.8068037341547141,0.16934919267933002,1.134737579970347,1.8084568736366826,2.7550541139998526,2.33059315604341,0.6894586894586895,0.6080402010050251,0.7960526315789473,0.00025
20,0.9935477473986438,0.23113777040631944,0.6919201855068258,0.14097957333143188,0.7935011806192424,0.16247345049265582,1.105875690992309,1.8084568739580016,2.7995608065006223,2.346873799424287,0.6858789625360231,0.6102564102564103,0.7828947368421053,0.00025
21,0.9644801504207108,0.21846252748105083,0.6748379245601253,0.14235938394648046,0.7698095750937244,0.16164679194717715,1.0690954952548457,1.8084568739580016,2.9511105365187653,2.458965885028685,0.6743515850144092,0.6,0.7697368421052632,0.000125
22,0.8873032954825224,0.19651293553753363,0.6259389048959367,0.12970291469698003,0.7304809422827152,0.14930170971267628,1.0016447202857293,1.8084568733153639,2.8413858182346723,2.428276063296994,0.6666666666666666,0.5804878048780487,0.7828947368421053,0.000125
23,0.8766396026405684,0.1943863498152427,0.6173056060413145,0.12989530385022535,0.708045710289896,0.14961884574427436,0.9772414830174407,1.8084568733153639,2.8891441172987946,2.4287221476716816,0.6723163841807909,0.5891089108910891,0.7828947368421053,0.000125
24,0.878032689547603,0.19622611960350986,0.6162695086227273,0.13107412063448898,0.7048635335784716,0.15014093198544895,0.9761601223778532,1.8084568739580016,2.9642173234985845,2.4768705188103444,0.6763848396501458,0.6073298429319371,0.7631578947368421,0.000125
