epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,7.097630706600253,1.0582727783268349,5.772551163728048,0.5336134914109094,2.6204560583047636,0.5903968693147966,3.973927296023272,1.7021719060851994,3.446368447513545,3.9119461574307652,0.4634146341463415,0.32646048109965636,0.7983193277310925,0.001
2,3.482534927272973,0.9003747231197886,2.419976096717355,0.32436822933212006,2.1615983761172197,0.3820522955296881,3.2529992405015307,1.7021719060851994,3.0598347623335016,3.190625540650486,0.5714285714285714,0.45320197044334976,0.773109243697479,0.001
3,3.035640736824924,0.8101492664069213,2.0637327533993397,0.32351743106260317,1.8153020996262978,0.37732794274904813,2.814115333468989,1.7021719063055494,3.152406887734884,3.5123754279230086,0.4129554655870446,0.272,0.8571428571428571,0.001
4,2.7731237742023858,0.7620288968747292,1.8728400605443225,0.2765096648563519,1.7764768778947277,0.33196967936597777,2.7044906087371205,1.702171906746249,2.881703274968371,2.860317950328044,0.5491329479768786,0.4185022026431718,0.7983193277310925,0.001
5,2.617185930227396,0.7283059813619321,1.7575807040367901,0.262598474673555,1.6286021537128526,0.31182258514181305,2.5128194576270477,1.7021719063055494,3.0385112700753205,3.3547656496439315,0.41821946169772256,0.2774725274725275,0.8487394957983193,0.001
6,2.457422201822954,0.6967144536883906,1.634064030074368,0.2532874734146097,1.5859955569071602,0.3014584923517682,2.433439247268846,1.702171906746249,2.9190127104796235,3.110688011218792,0.44789356984478945,0.3042168674698795,0.8487394957983193,0.001
7,2.375321884913277,0.6634813305851271,1.5863237339114966,0.2510336363712212,1.55994675846946,0.29741490421586025,2.3721355611868136,1.7021719058648495,2.827303251805896,2.7972184276404533,0.6064516129032257,0.49214659685863876,0.7899159663865546,0.001
8,2.2146593523995053,0.6358215722931951,1.463488049956655,0.23069946558770763,1.4571719376745593,0.28281280067844006,2.2343998770616853,1.7021719041020504,3.084718891080338,3.3886973033771057,0.43497757847533636,0.2966360856269113,0.8151260504201681,0.001
9,2.14992346450714,0.6050948049466843,1.4266309612559744,0.2363954213707813,1.4167484833881288,0.2791823313989833,2.1614344518858934,1.7021719047631,2.882345564484376,3.06841670298973,0.4771084337349398,0.3344594594594595,0.8319327731092437,0.001
10,2.0449516482362022,0.5810640016897769,1.359190245653036,0.20939477655671662,1.3654887222318244,0.25704100375475153,2.075073204728019,1.7021719047631,2.8620290544689695,2.9102244183228327,0.49740932642487046,0.3595505617977528,0.8067226890756303,0.001
11,1.9427838052266626,0.5420767621941135,1.301198625961205,0.1990168272842982,1.2969380687653689,0.2398663535025556,1.958948016166687,1.702171906746249,2.9984466223090944,3.2189663218923066,0.44028103044496486,0.3051948051948052,0.7899159663865546,0.001
12,1.907039814647597,0.5228648189035229,1.2854623867271127,0.19742523899470593,1.3238595483924456,0.23955030238011407,1.9664995145885868,1.7021719060851994,3.0282541017655746,3.1272970638521937,0.5315068493150685,0.3943089430894309,0.8151260504201681,0.0005
13,1.762156402778273,0.4906690579024789,1.1759297180087642,0.1911152497539899,1.1871456220718497,0.23033437159001938,1.7929818669881485,1.7021719045427501,2.931023896071034,2.9972378083826654,0.5911949685534591,0.4723618090452261,0.7899159663865546,0.0005
14,1.7656549312270724,0.4885816807667561,1.1866260978518925,0.18089435412075075,1.2060632582292539,0.2162399879500077,1.8027649470045475,1.7021719063055494,3.0261311799893758,3.0108545800454074,0.5653495440729482,0.44285714285714284,0.7815126050420168,0.0005
15,1.6914222958788634,0.47726923756149914,1.1235646569133906,0.18117681063036822,1.1430369240959999,0.21906896602093842,1.7298406395586052,1.7021719043224004,3.0031568598615044,2.986616910275161,0.5340909090909091,0.4034334763948498,0.7899159663865546,0.0005
16,1.6725620815802413,0.4662832423851803,1.1222718057262258,0.16801403842990367,1.1101591698343345,0.20448811423866675,1.6786864597123123,1.7021719047631,2.929784276348826,2.8395017925340014,0.6351351351351351,0.5310734463276836,0.7899159663865546,0.0005
17,1.6401027734090132,0.45554454831230884,1.1047961687645058,0.15952417359114135,1.1367974320974015,0.1935288996991741,1.6891064286893045,1.7021719063055494,3.081339540851755,2.9394809595978857,0.6164383561643836,0.5202312138728323,0.7563025210084033,0.00025
18,1.618895257466822,0.42701825714375746,1.1062369432555108,0.17128013812570167,1.1122952662201775,0.2051565173923859,1.6418917798290853,1.7021719065258991,3.040738880964833,2.9797396236779288,0.5954692556634305,0.4842105263157895,0.773109243697479,0.00025
19,1.552744138483199,0.4262355777009798,1.0483711946914025,0.15627474843243794,1.0717412209114174,0.18839954013304439,1.5921765614349168,1.7021719038817005,3.0859759902777824,3.0407980788437143,0.5476190476190477,0.423963133640553,0.773109243697479,0.00025
20,1.5654744326297105,0.425599039812846,1.0634737036805497,0.15280337243335745,1.086517333984375,0.18486900938857284,1.604550879455538,1.7021719045427501,3.039471455730925,2.887551105397025,0.6211604095563139,0.5229885057471264,0.7647058823529411,0.00025
21,1.5367683753949657,0.41464199998903184,1.04087235526545,0.16250805796404644,1.0537078091926364,0.19638003797275522,1.5665398261022656,1.7021719063055494,3.106018437034762,3.108131044673391,0.5804416403785488,0.46464646464646464,0.773109243697479,0.00025
22,1.517962506870686,0.39821509645077746,1.0429632798140238,0.15356825878792021,1.0642049407342005,0.1868193270759089,1.5558297118506017,1.7021719065258991,3.081055523507476,2.9875791103694445,0.6258503401360545,0.5257142857142857,0.773109243697479,0.000125
23,1.47542543199719,0.4056503892826285,0.9935095710146229,0.15253092096550408,1.0278624763330118,0.1832948301724277,1.5251602818036036,1.7021719063055494,3.0897501136370815,2.97764638170958,0.6127946127946128,0.5112359550561798,0.7647058823529411,0.000125
24,1.448466680406863,0.38098436186362106,0.9939144028973887,0.14713583178749368,1.0354487212880923,0.1804238242164337,1.5066449981520225,1.7021719056444997,3.1001934467534262,2.972636658250735,0.629757785467128,0.5352941176470588,0.7647058823529411,0.000125
25,1.4601656269013552,0.38586128165673417,1.0005913922174139,0.14742589715778717,1.0140361111618015,0.17631290886076012,1.4880538621363049,1.7021719058648495,3.116084757662084,3.0085568573470476,0.6319444444444444,0.5384615384615384,0.7647058823529411,0.000125
26,1.4804824266768648,0.3988989813601023,1.0117144622115242,0.13973798799757156,1.006543290262522,0.1699435581451423,1.49041404895994,1.702171906746249,3.104201512504197,3.003388775915403,0.6052631578947368,0.4972972972972973,0.773109243697479,0.000125
27,1.4509259078947763,0.38659283516036824,0.9929130367122163,0.14284005350744877,1.015439829852797,0.1709103954477363,1.4874878683284118,1.702171906966599,3.0940252214174393,2.9586558967773664,0.6254295532646049,0.5290697674418605,0.7647058823529411,6.25e-05
