best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
3,1.8015617927649987,,1.8015617927649987,,,,,,,,,,,,,,,,71.22722171585409,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,18.586050673238304,5.975712751993324,95.91416771362401,direct_mlp_sequence_k30,direct,0,53.49648411692534,91.12696708464253,83042,,,1.8050389289855957,setup_10km,10.0,8.773551685031418,0.15711645781993866,1082,0.17791128158569336,4328
11,1.8649737462200566,full,,1.8649737462200566,0.9070080862533693,0.6863636363636363,0.05831363278171789,64,74,0.7130529148394731,0.6711111111111111,0.7023255813953488,0.8971173053310608,0.9416863672182821,0.5,1195,151,0.9191374663072777,72.5299145884556,0.7087378640776699,0.04018912529550828,69,51,0.7130529148394731,0.7411167512690355,0.6790697674418604,0.8971173053310608,0.9598108747044918,0.6158923027850688,1218,146,72.75252144104739,12.842725072311644,0.8211273133995798,104.2687485884976,36.09718245312243,78.25048915314991,2.6925231658670503,7,triline_transformer,13.252596414900404,1.5134098771058668,104.09316398584255,triline_transformer_2l_k7,triline,2,36.09718245312243,78.25048915314991,426118,4.207017543859649,4.207017543859649,10.75043249130249,setup_10km,10.0,3.2095519646920776,0.14487870037555695,1484,0.19204851984977722,5936
8,2.0385821013542187,full,,2.0385821013542187,0.9069423929098966,0.7,0.05506993006993007,63,63,0.7137256167942652,0.7,0.7,0.8878246753246753,0.9449300699300699,0.5,1081,147,0.9135893648449039,72.16835794048686,0.706766917293233,0.04195804195804196,69,48,0.7137256167942652,0.746031746031746,0.6714285714285714,0.8878246753246753,0.958041958041958,0.5721229948103428,1096,141,72.36746602952147,13.620456484815799,0.8211273133995798,102.4050774164857,43.016148492992954,80.04259516331003,2.83647746000095,14,triline_transformer,13.987858696350422,1.4532346408304706,102.23165662681635,triline_transformer_2l_k14,triline,2,42.403191679551796,80.04259516331003,427014,4.345508390918065,4.345508390918065,8.657601118087769,setup_10km,10.0,3.307871946989714,0.15509600937366486,1354,0.18707294762134552,5415
12,2.2096731526133313,full,,2.2096731526133313,0.8715341959334566,0.6370757180156659,0.09978070175438597,48,91,0.7046739444574098,0.5727699530516432,0.7176470588235294,0.8681566047471619,0.9002192982456141,0.5,821,122,0.910351201478743,72.01229311756906,0.6978193146417445,0.04276315789473684,58,39,0.7046739444574098,0.7417218543046358,0.6588235294117647,0.8681566047471619,0.9572368421052632,0.7293610500171781,873,112,72.39441305796775,14.17059113822655,0.9229634179662022,102.68656895939414,47.98144781591744,89.13769234162619,3.3174664382747885,30,triline_transformer,14.815328975242815,2.1297848046189354,102.31286836544152,triline_transformer_2l_k30,triline,2,48.525265028123776,88.56428007425674,429062,4.62077922077922,4.62077922077922,8.071071863174438,setup_10km,10.0,4.153614168010951,0.15711645781993866,1082,0.17791128158569336,4328
9,2.1707532542470203,full,,2.1707532542470203,0.8964879852125693,0.6744186046511628,0.06359649122807018,54,58,0.7162309498247954,0.6666666666666666,0.6823529411764706,0.8782314241486068,0.9364035087719298,0.5,854,116,0.9131238447319778,75.00150673217041,0.6887417218543046,0.03070175438596491,66,28,0.7162309498247954,0.7878787878787878,0.611764705882353,0.8782314241486068,0.9692982456140351,0.7254568911436946,884,104,75.28582379665697,14.189217000425304,0.901845820139392,109.74072955675152,45.51701771125833,73.59563465551679,2.8005951195487824,30,triline_transformer,14.718107808187078,1.8044909803968325,109.39901910543718,triline_transformer_3l_k30,triline,3,45.50498697008206,73.59563465551679,627334,4.62077922077922,4.62077922077922,8.426640510559082,setup_10km,10.0,3.4810707280586017,0.15711645781993866,1082,0.17791128158569336,4328
6,1.8899664557526374,full,,1.8899664557526374,0.8901617250673854,0.663917525773196,0.08589440504334121,54,109,0.7073729331970822,0.5962962962962963,0.7488372093023256,0.8851430351677755,0.9141055949566588,0.5,1160,161,0.9191374663072777,71.47066626101909,0.7000000000000001,0.03546099290780142,75,45,0.7073729331970822,0.7567567567567568,0.6511627906976745,0.8851430351677755,0.9645390070921985,0.80051947792992,1224,140,71.94772245949284,12.791029686877907,0.8088853930284174,103.93472434462636,37.87742454243341,72.04792627602778,2.7684221643308535,7,triline_transformer,13.576151340911602,2.0705320312021414,103.52778075833827,triline_transformer_4l_k7,triline,4,37.86119432723284,70.58906380004188,822662,4.207017543859649,4.207017543859649,11.943559408187866,setup_10km,10.0,3.767387977772826,0.14487870037555695,1484,0.19204851984977722,5936
16,1.94856504992509,full,,1.94856504992509,0.8655834564254062,0.636,0.1145104895104895,51,131,0.7415940372417258,0.5482758620689655,0.7571428571428571,0.8877622377622377,0.8854895104895105,0.5,1013,159,0.9180206794682423,70.26462999641365,0.7055702917771882,0.02972027972027972,77,34,0.7415940372417258,0.7964071856287425,0.6333333333333333,0.8877622377622377,0.9702797202797203,0.8005680483579636,1110,133,70.7038382296688,13.112349908899366,0.8078201806387191,100.49680339583094,43.15095555140306,76.92586986005985,2.5404857940728087,14,triline_transformer,13.766425139587556,1.8178734811828785,99.93657279559348,triline_transformer_4l_k14,triline,4,43.04791774992344,76.47644442156209,823558,4.345508390918065,4.345508390918065,15.38028359413147,setup_10km,10.0,3.395251171114234,0.15509600937366486,1354,0.18707294762134552,5415
7,2.1930435840832327,full,,2.1930435840832327,0.8548983364140481,0.6216867469879518,0.12719298245614036,41,116,0.717366520367958,0.5265306122448979,0.7588235294117647,0.8763544891640866,0.8728070175438597,0.5,796,129,0.911275415896488,75.46821096162849,0.701863354037267,0.04276315789473684,57,39,0.717366520367958,0.743421052631579,0.6647058823529411,0.8763544891640866,0.9572368421052632,0.7401873297989369,873,113,75.66216431922443,14.19704072595373,0.9265101795054695,113.02932594429251,41.43880925230683,82.33601991537131,2.7397260210677445,30,triline_transformer,14.826533894024923,2.1660002386759594,112.74343927639397,triline_transformer_4l_k30,triline,4,41.43880925230683,82.33601991537131,825606,4.62077922077922,4.62077922077922,9.265270471572876,setup_10km,10.0,3.522712510809344,0.15711645781993866,1082,0.17791128158569336,4328
6,1.8224734508123681,full,,1.8224734508123681,0.8969002695417789,0.6723768736616702,0.07486209613869188,58,95,0.7449604185063616,0.623015873015873,0.7302325581395349,0.8972089358036909,0.9251379038613081,0.5,1174,157,0.9184636118598383,73.36124674840259,0.7084337349397589,0.04176516942474389,68,53,0.7449604185063616,0.735,0.6837209302325581,0.8972089358036909,0.9582348305752562,0.6329531517252326,1216,147,73.64670592517521,12.754804614193892,0.8132165286706651,106.59198616020319,37.612164492698426,75.13839725758292,2.438209829433463,7,triline_lstm,13.313058234836305,1.7432076117605577,106.35808208430012,triline_lstm_2l_k7,triline,2,37.361576381282596,75.13839725758292,292870,4.207017543859649,4.207017543859649,6.205484390258789,setup_10km,10.0,3.139409274697019,0.14487870037555695,1484,0.19204851984977722,5936
5,1.929031470325532,full,,1.929031470325532,0.9069423929098966,0.7042253521126761,0.057692307692307696,60,66,0.7418199619400228,0.6944444444444444,0.7142857142857143,0.8928196803196803,0.9423076923076923,0.5,1078,150,0.9217134416543574,72.31977017053936,0.7349999999999999,0.037587412587412584,63,43,0.7418199619400228,0.7736842105263158,0.7,0.8928196803196803,0.9624125874125874,0.5824869751930236,1101,147,72.47784424905078,13.355923997873132,0.8082727182331646,103.98037211154956,44.229596213854954,76.18393847575989,2.503123951765349,14,triline_lstm,13.957055790622135,1.8212771795967557,103.82705894230493,triline_lstm_2l_k14,triline,2,42.84856649547535,76.18393847575989,292870,4.345508390918065,4.345508390918065,6.28665828704834,setup_10km,10.0,3.2436204586443242,0.15509600937366486,1354,0.18707294762134552,5415
