epoch,train_loss,val_loss
1,4.24076568261493,3.921706778697816
2,3.288901955499962,2.961165722378542
3,2.822288500324836,2.6342010204241446
4,2.576632145041176,2.4225410588823766
5,2.5207101895508206,2.3882917389196487
6,2.4684875371388055,2.3844039455791735
7,2.4536026448046204,2.3553990744951885
8,2.4174271618336522,2.370685991436027
9,2.4271421269229396,2.359505242712135
10,2.368001052333185,2.3293870317553256
11,2.352351700630597,2.3481896274205853
12,2.33534319424328,2.363635059632554
13,2.352363340856417,2.345249489747042
14,2.304282134930183,2.42796185759787
15,2.302884247262762,2.441490988588185
16,2.28346287352427,2.362731989968181
17,2.2591438016791243,2.4258386878914613
18,2.2497424893551843,2.3973130063019745
19,2.2029552358340174,2.455445114233842
20,2.1851314086166838,2.459088651484607
21,2.152849053081047,2.6593170998052846
22,2.0516242970325775,2.52406305669298
23,2.0105929984726436,2.592050441512166
24,1.9634079253652037,2.5947735734260777
25,1.8515297722089998,2.6400372934292053
26,1.778802293211883,2.6093389778084535
27,1.6773511133498733,3.0009652500857062
28,1.5461088178744804,2.8698799973074056
29,1.5045665048062011,2.984330111386079
30,1.404431831584841,3.1514679928010274
31,1.3395181551064663,3.3228536064475827
32,1.2400660799217649,3.0213197430619543
33,1.2178222447624252,3.375402594501494
34,1.1017779095915299,3.5948068261105397
35,1.0680736302570093,3.9066812308195917
36,0.995438862915112,3.9433270808454624
37,0.9342689479988261,4.411222353695917
38,0.9700091486208023,3.527720092286889
39,0.8857593075372773,4.262048833157055
40,0.874846471970926,4.270818328626986
