setup,model_family,model,kind,k,mean_error_km_weather,mean_error_km_noweather,mean_error_km_delta_weather_minus_noweather,mean_error_km_improved,median_error_km_weather,median_error_km_noweather,median_error_km_delta_weather_minus_noweather,median_error_km_improved,p90_error_km_weather,p90_error_km_noweather,p90_error_km_delta_weather_minus_noweather,p90_error_km_improved,p95_error_km_weather,p95_error_km_noweather,p95_error_km_delta_weather_minus_noweather,p95_error_km_improved,migration50_error_mean_km_weather,migration50_error_mean_km_noweather,migration50_error_mean_km_delta_weather_minus_noweather,migration50_error_mean_km_improved,stationary_error_mean_km_weather,stationary_error_mean_km_noweather,stationary_error_mean_km_delta_weather_minus_noweather,stationary_error_mean_km_improved,fly_error_mean_km_weather,fly_error_mean_km_noweather,fly_error_mean_km_delta_weather_minus_noweather,fly_error_mean_km_improved,gated_mean_error_km_weather,gated_mean_error_km_noweather,gated_mean_error_km_delta_weather_minus_noweather,gated_mean_error_km_improved,gated_median_error_km_weather,gated_median_error_km_noweather,gated_median_error_km_delta_weather_minus_noweather,gated_median_error_km_improved,gated_p90_error_km_weather,gated_p90_error_km_noweather,gated_p90_error_km_delta_weather_minus_noweather,gated_p90_error_km_improved,gated_p95_error_km_weather,gated_p95_error_km_noweather,gated_p95_error_km_delta_weather_minus_noweather,gated_p95_error_km_improved,gated_migration50_error_mean_km_weather,gated_migration50_error_mean_km_noweather,gated_migration50_error_mean_km_delta_weather_minus_noweather,gated_migration50_error_mean_km_improved,gated_stationary_error_mean_km_weather,gated_stationary_error_mean_km_noweather,gated_stationary_error_mean_km_delta_weather_minus_noweather,gated_stationary_error_mean_km_improved,gated_fly_error_mean_km_weather,gated_fly_error_mean_km_noweather,gated_fly_error_mean_km_delta_weather_minus_noweather,gated_fly_error_mean_km_improved
fly_threshold_10km,direct,direct_mlp_sequence_k7,direct_mlp_sequence,7,19.018545496330468,19.211187073295235,-0.19264157696476758,True,4.851197601235357,4.472647689511307,0.3785499117240496,False,59.98129126806309,62.18226065811676,-2.2009693900536718,True,97.42680036172852,100.78611329902802,-3.3593129372994923,True,83.34796989657376,85.78897502405857,-2.4410051274848144,True,7.217907180126397,6.565452451834402,0.6524547282919944,False,60.30245563050404,63.45162201452388,-3.1491663840198356,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,direct,direct_transformer_4l_k7,direct_transformer,7,17.78784351372563,17.651048534939996,0.13679497878563396,False,3.692540702426154,2.4655077283308318,1.227032974095322,False,56.868553523386375,58.413614730684735,-1.5450612072983603,True,97.47460946686138,99.97119869800042,-2.4965892311390405,True,81.85164687313939,86.79626783558666,-4.944620962447274,True,5.656735284696567,4.897925441689789,0.7588098430067785,False,60.227885190748125,62.26717637514607,-2.039291184397946,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,triline,triline_lstm_4l_k7,triline_lstm,7,17.86072171762639,18.1901817292046,-0.3294600115782096,True,2.406347826649654,2.2639540284081576,0.14239379824149623,False,53.537690190293844,63.058518622492365,-9.52082843219852,True,99.03196700779229,105.84594818319077,-6.813981175398482,True,100.2425211654959,93.37696612807154,6.8655550374243575,False,3.669543434666967,4.382459154996725,-0.7129157203297578,True,67.50780971686177,66.49577017592873,1.0120395409330456,False,17.333205316048602,17.768368058336204,-0.4351627422876021,True,1.4073379342353958,1.5884737937203552,-0.18113585948495947,True,53.56528221890909,63.244840110129616,-9.679557891220526,True,99.03196700779229,105.93842170194254,-6.906454694150256,True,100.61149529899635,93.50049797764012,7.110997321356223,False,2.85041799180195,3.7791286751273323,-0.9287106833253822,True,68.00047215071895,66.70898347816474,1.291488672554209,False
fly_threshold_10km,triline,triline_transformer_v2_k7,triline_transformer,7,17.964286654006653,18.17740766334374,-0.21312100933708678,True,2.4123910612283352,2.555595394171184,-0.14320433294284873,True,57.602402516764656,62.393471213188924,-4.791068696424269,True,98.76349086916129,102.52640107648129,-3.7629102073200045,True,97.60055672288993,91.61254733902507,5.988009383864863,False,3.978891783824864,4.771666186538301,-0.7927744027134369,True,66.89145224798114,65.07668646340997,1.8147657845711649,False,17.43912367113556,17.57745704646639,-0.13833337533082712,True,1.5141575679107058,1.5214389141209446,-0.007281346210238793,True,57.602402516764656,62.75183439903117,-5.149431882266512,True,98.76349086916129,102.52640107648129,-3.7629102073200045,True,97.83456857374213,91.83901051576593,5.995558057976197,False,3.2070371420012647,3.889955874032637,-0.6829187320313723,True,67.22932700986159,65.4624572661764,1.7668697436851915,False
fly_threshold_10km,direct,direct_mlp_sequence_k14,direct_mlp_sequence,14,20.681628969660213,20.63190937692093,0.04971959273928306,False,5.125831152038739,5.142747755000273,-0.01691660296153419,True,66.20398830426369,64.67127501527497,1.5327132889887167,False,105.88192977183797,102.20484851569094,3.6770812561470336,False,86.38690781450717,89.0867345692156,-2.6998267547084254,True,7.79961084930661,7.446050322387712,0.3535605269188986,False,64.93618101577293,65.9302687139228,-0.994087698149869,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,direct,direct_transformer_4l_k14,direct_transformer,14,21.56520383249083,19.179712783680763,2.385491048810067,False,8.219064957765767,3.687428451446144,4.5316365063196224,False,60.16482988497117,62.64448931246732,-2.479659427496152,True,92.46845927108679,97.03792475825622,-4.569465487169438,True,85.4357697411277,82.48483416719802,2.9509355739296836,False,9.798492611228005,6.532668953805789,3.2658236574222155,False,61.98825938852979,62.62704022644853,-0.6387808379187376,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,triline,triline_lstm_4l_k14,triline_lstm,14,18.68875514139441,18.850677880868627,-0.16192273947421754,True,2.7364050238219155,2.4856710335941017,0.25073399022781384,False,59.059378216206916,62.28567395320488,-3.2262957369979617,True,97.81341588458477,104.94646749188331,-7.13305160729854,True,96.04847659256997,97.29167012027936,-1.2431935277093942,True,4.3476561211980185,4.214585628807962,0.13307049239005675,False,67.95579599308951,69.13113085563486,-1.1753348625453555,True,18.02302046324037,18.305875669334355,-0.2828552060939842,True,1.5745196114058955,1.650270131771188,-0.07575052036529262,True,59.059378216206916,62.2890646990318,-3.2296864828248815,True,97.81341588458477,104.94646749188331,-7.13305160729854,True,96.3631245998879,97.41114696401479,-1.0480223641268935,True,3.364362341326668,3.4498555729062566,-0.08549323157958844,True,68.38099564396433,69.3418630754309,-0.9608674314665677,True
fly_threshold_10km,triline,triline_transformer_v2_k14,triline_transformer,14,18.849693397751334,18.655747025117375,0.19394637263395964,False,2.5083075899868135,2.5361192035200792,-0.027811613533265778,True,61.35857847181903,56.663066458766146,4.695512013052884,False,102.4426739567534,108.81460235239894,-6.37192839564554,True,96.32237528275188,100.48231842712813,-4.159943144376257,True,4.210240560898298,3.847892561590993,0.3623479993073051,False,69.14169123864102,69.52626746104134,-0.38457622240032663,True,18.30804510872647,18.10617996579851,0.20186514292796076,False,1.6244244283139087,1.644674931305924,-0.02025050299201525,True,62.045213885658995,56.663066458766146,5.38214742689285,False,102.4426739567534,108.89798858999588,-6.45531463324248,True,96.59241130767985,100.6985607619272,-4.106149454247344,True,3.4164120159404376,3.04551319775301,0.37089881818742754,False,69.46637648190298,69.84520525738341,-0.3788287754804287,True
fly_threshold_10km,direct,direct_mlp_sequence_k30,direct_mlp_sequence,30,19.0772889133004,20.83601557507519,-1.7587266617747908,True,5.024322713282221,5.748009282844404,-0.723686569562183,True,58.837318739829065,62.48161408082874,-3.644295340999676,True,94.89261492078371,96.59368135779081,-1.7010664370070998,True,93.30107926691441,85.34686877456669,7.954210492347727,False,6.70726626519958,9.286491475857556,-2.5792252106579756,True,64.5292658951212,63.27318149160004,1.2560844035211574,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,direct,direct_transformer_4l_k30,direct_transformer,30,17.4664308533168,18.2161647467666,-0.7497338934498003,True,3.451662709125854,4.349212852038631,-0.8975501429127775,True,59.75626185265976,57.92957323310934,1.8266886195504242,False,92.35551167905795,94.69046844841547,-2.334956769357518,True,81.68763226846065,81.34893050280944,0.3387017656512086,False,5.822011345419873,7.148723385312961,-1.3267120398930876,True,60.252277128291425,58.88198277464823,1.370294353643196,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_threshold_10km,triline,triline_lstm_4l_k30,triline_lstm,30,17.034153089857593,17.05525938907838,-0.02110629922078644,True,2.4680514035811294,2.4537227518971547,0.01432865168397468,False,51.57230995226879,49.659133974720966,1.913175977547823,False,87.84093367386434,92.21532694819089,-4.37439327432655,True,96.24276627392592,96.95374554389511,-0.7109792699691866,True,4.040580419079182,4.151211534095609,-0.1106311150164263,True,64.777280385951,64.46943984468483,0.3078405412661738,False,16.568070149176023,16.5131125210184,0.05495762815762362,False,1.9569244411350817,1.7340581213495487,0.22286631978553295,False,51.80835096133126,50.49872515928249,1.3096258020487639,False,88.03044155089307,92.58823564804166,-4.557794097148587,True,96.32302141243552,97.21742346314599,-0.8944020507104682,True,3.4177122062475207,3.380116760569066,0.03759544567845463,False,64.88728374547914,64.76853112350081,0.11875262197833081,False
