best_epoch,best_test_loss,distance_weight_bins,distance_weight_max_test,distance_weight_max_train,distance_weight_mean_test,distance_weight_mean_train,distance_weight_scope,distance_weighted_training,feature_mode,final_delta_mse_norm,final_test_loss,final_unweighted_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration100_error_mean_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0659985604233,,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,184.70182581939795,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_30km,30.0,2.3544520636361694,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,,,,,,,,,109.17166379159897,,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,138.287399737784,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_30km,30.0,7.392218858801617,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,,,,,,,,,128.01192579365977,,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,189.8530443415869,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_30km,30.0,2.539791640227164,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1596434195498,,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,141.64378290818016,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_30km,30.0,7.973816093438845,0.10998151451349258,1082,,4328
1,1.1699897992321744,,,,,,,,,1.1699897992321744,,,,,,,,,,,,,,,,,83.05888415842796,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,18.813981787399662,8.402776284439945,105.88613603187966,88.24690417107409,direct_transformer_2l_k7,direct,2,48.70311128048964,89.76596634826646,408964,,,2.989445209503174,setup_30km,30.0,11.48273166698202,0.10242587327957153,1484,0.1335916370153427,5936
1,1.2477322483121942,,,,,,,,,1.2477322483121942,,,,,,,,,,,,,,,,,86.88584735593176,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,18.288236889533174,7.173789933639123,120.9769592219254,94.41858582768504,direct_mlp_last_day_k1,direct,0,40.51636658915807,81.87911123655016,16226,,,0.1993422508239746,setup_30km,30.0,10.72406206208743,0.09931719303131104,1611,0.13584847748279572,6441
1,2.0067109197873947,,,,,,,,,2.0067109197873947,,,,,,,,,,,,,,,,,90.89895624800702,,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,19.705928273891047,7.165333391039462,133.50462685237923,100.95145428067788,direct_mlp_sequence_k30,direct,0,47.747848999852195,83.8116246493245,83042,,,0.144791841506958,setup_30km,30.0,10.908451296819603,0.10998151451349258,1082,0.11552680283784866,4328
1,2.5144012347064573,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.6684635877609253,1.8084568977355957,triline_distance_and_direction_losses,True,full,,2.5144012347064573,2.7881856793663253,0.8490566037735849,0.5428571428571429,0.1539039039039039,19,205,0.6172265853533668,0.39349112426035504,0.875,0.9203413940256046,0.8460960960960962,0.5,1127,133,0.9238544474393531,84.53071753907395,0.6319218241042346,0.04354354354354354,55,58,0.6172265853533668,0.6258064516129033,0.6381578947368421,0.9203413940256046,0.9564564564564565,0.8341753815859556,1274,97,91.59563937133943,14.66628461352778,0.8211273133995798,129.13052043582246,99.72936968566009,58.7940385197131,90.23230391438268,5.887559445969694,7,triline_transformer,18.116433006296436,3.499154728511316,119.65704854114752,91.86448267652233,triline_transformer_2l_k7,triline,2,66.07537096273973,88.74827094583496,426118,6.485498108448928,6.485498108448928,1.8488469123840332,setup_30km,30.0,10.537625762315818,0.10242587327957153,1484,0.1335916370153427,5936
1,3.2122911490265853,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,,3.2122911490265853,3.5376546422567032,0.777264325323475,0.4679911699779249,0.2367601246105919,13,228,0.5443211248483752,0.31736526946107785,0.8907563025210085,0.886864403082105,0.7632398753894081,0.5,735,106,0.9168207024029574,96.82966730223447,0.5631067961165048,0.030114226375908618,61,29,0.5443211248483752,0.6666666666666666,0.48739495798319327,0.886864403082105,0.9698857736240913,0.808668372631073,934,58,105.71705490327585,15.239442505102387,0.8745315403304603,155.12003531777725,119.16201680416096,48.41649929970509,88.28035669971158,4.058927577394556,30,triline_transformer,19.621403463392042,6.75172051060322,144.5480742215529,108.4135300559743,triline_transformer_3l_k30,triline,3,48.741343239870524,80.42553960427372,627334,7.656,7.656,4.746390342712402,setup_30km,30.0,10.080610735643084,0.10998151451349258,1082,0.11552680283784866,4328
1,3.967465554059323,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,,3.967465554059323,3.804561730012876,0.7855822550831792,0.4604651162790697,0.2201453790238837,20,212,0.47802373319670194,0.3183279742765273,0.8319327731092437,0.8652582528338439,0.7798546209761164,0.5,751,99,0.8160813308687616,110.14548218219313,0.49363867684478374,0.1838006230529595,22,177,0.47802373319670194,0.354014598540146,0.8151260504201681,0.8652582528338439,0.8161993769470405,0.5565006222575903,786,97,110.95000069368947,18.528597271056814,2.0392415285365537,166.70282968112235,126.94821530555899,49.32618977745346,90.95750411616663,7.107883867844678,30,triline_transformer,20.31762342557918,5.6066054714247215,166.2547858707865,126.10581751606799,triline_transformer_4l_k30,triline,4,49.05893521589942,90.92994276124769,825606,7.656,7.656,6.077480316162109,setup_30km,30.0,9.21739996551993,0.10998151451349258,1082,0.11552680283784866,4328
