setup_fly_threshold_km,model,model_family,kind,k,n_layers,params,best_epoch,best_test_loss,final_delta_mse_norm,train_samples,test_samples,train_fly_rate,test_fly_rate,runtime_seconds,mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,setup,test,runtime_seconds_final_runner
10.0,direct_mlp_sequence_k7,direct,direct_mlp_sequence,7,0,17730,10,1.2249533150877272,1.2249533150877272,9852,2464,0.19315874576568604,0.2155032455921173,6.74560546875,18.587149953083323,4.24110051404053,61.1995396394455,95.64340353040714,6.679664442011165,61.93398515628949,85.61630344755356,fly_threshold_10km,without_weather,6.749099493026733
10.0,direct_transformer_4l_k7,direct,direct_transformer,7,4,804034,10,1.1618777277407708,1.1618777277407708,9852,2464,0.19315874576568604,0.2155032455921173,23.535120964050293,18.115434062954503,3.7742612834658416,59.79212809355999,93.05864015549517,6.725522863113541,59.578142818684405,79.37086792441542,fly_threshold_10km,without_weather,23.54112434387207
10.0,direct_mlp_sequence_k14,direct,direct_mlp_sequence,14,0,26690,6,1.4046718730008538,1.4046718730008538,8975,2244,0.19153203070163727,0.21479500830173492,5.695855379104614,18.825778718194,3.9037315114033735,62.43666896141773,103.08525472654526,5.784140409790529,66.50081336426645,89.71852662014379,fly_threshold_10km,without_weather,5.699864149093628
10.0,direct_transformer_4l_k14,direct,direct_transformer,14,4,804930,14,1.2438876786121498,1.2438876786121498,8975,2244,0.19153203070163727,0.21479500830173492,27.52408528327942,18.033650939408652,3.2473950609772384,59.63718804882888,91.71518868990982,6.181910951967712,61.358891308435474,81.79095276191471,fly_threshold_10km,without_weather,27.529584884643555
10.0,direct_mlp_sequence_k30,direct,direct_mlp_sequence,30,0,47170,5,1.3846110218379344,1.3846110218379344,7138,1785,0.18128326535224915,0.19775910675525665,4.398256301879883,18.431891256211454,5.256289913264235,50.98378069042216,93.68323111496323,7.123517524668097,64.30608724366212,90.06695847413513,fly_threshold_10km,without_weather,4.4007556438446045
10.0,direct_transformer_4l_k30,direct,direct_transformer,30,4,806978,11,1.211290565725802,1.211290565725802,7138,1785,0.18128326535224915,0.19775910675525665,20.331987380981445,16.56643989676662,3.7590790228624216,55.864059917893776,84.80700512518516,6.004895730332204,59.41100433397365,82.70339060036599,fly_threshold_10km,without_weather,20.33748698234558
