epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.0332768498954668,0.9178949551728443,1.8236151995167427,0.5835334200115257,2.743753714569962,0.5714285714285714,0.46332046332046334,0.7453416149068323,0.001
2,2.6254106048621173,0.8334523023801926,1.5248618465944253,0.5341929699551097,2.485986251457065,0.5863708399366087,0.4749679075738126,0.7660455486542443,0.001
3,2.3907037542656604,0.7733250396696638,1.361789669758098,0.5111781015635201,2.4397723815020393,0.5449515905947442,0.4091381100726895,0.8157349896480331,0.001
4,2.3178627060117165,0.7547010307458117,1.313531065505195,0.4992612664646425,2.403704709547726,0.670756646216769,0.6626262626262627,0.6790890269151139,0.001
5,2.2695205959436953,0.7370262750742496,1.282216438131412,0.5005557619495976,2.4210926857436617,0.590582601755786,0.4805194805194805,0.7660455486542443,0.001
6,2.213352923911262,0.7243732593800032,1.2477864332517874,0.4823864661086569,2.418795873774564,0.6744639376218324,0.6372007366482505,0.7163561076604554,0.001
7,2.171152208787817,0.7068903868178471,1.224592636833616,0.47933838572342746,2.344360241065476,0.6180944755804644,0.5039164490861618,0.7991718426501035,0.001
8,2.176477312470545,0.7105208100316253,1.2274344182678585,0.47704417874222016,2.317976503236196,0.6767200754005654,0.6211072664359861,0.7432712215320911,0.001
9,2.103348733933855,0.6868740581735595,1.1844565627435455,0.46403621700812847,2.346364655384193,0.6539855072463768,0.5813204508856683,0.7474120082815735,0.001
10,2.068994624408839,0.6757236568775018,1.1587635473687004,0.46901483213669076,2.3418556628167737,0.5860857343640197,0.44361702127659575,0.8633540372670807,0.001
11,2.0579828080626252,0.6690493967672576,1.1562588506555158,0.46534912130626793,2.3734017582925673,0.6414762741652021,0.5572519083969466,0.7556935817805382,0.001
12,2.018263348815833,0.6530530343414349,1.1415046491065066,0.44741133031074715,2.333389326850361,0.6538812785388127,0.5849673202614379,0.7412008281573499,0.001
13,1.9897931026681883,0.6410987008448099,1.1236428092183508,0.4501031846854016,2.4713882838978485,0.6380789022298456,0.5446559297218155,0.7701863354037267,0.0005
14,1.887170575681171,0.6138516770431922,1.055984667821847,0.4346684515443021,2.362934804430195,0.6346801346801347,0.5347517730496454,0.7805383022774327,0.0005
15,1.837827399168838,0.5977387244023985,1.0260299067510537,0.4281175567446313,2.498032186545578,0.641932700603969,0.5502958579881657,0.7701863354037267,0.0005
16,1.7923728162930204,0.5853539334831132,1.0032640012193854,0.40750978039499774,2.4824112048123608,0.6252100840336133,0.5261669024045261,0.7701863354037267,0.0005
17,1.785569947171012,0.5772432871117233,0.9991546802998917,0.4183439690455753,2.4997258313836896,0.6019862490450726,0.47699757869249393,0.8157349896480331,0.0005
18,1.7506800096479964,0.5667007492827174,0.9842752276356838,0.39940807457255784,2.529270156819553,0.6271893244370308,0.5251396648044693,0.7784679089026915,0.00025
19,1.643059635215483,0.5299041095782787,0.911479219898872,0.4033526157652103,2.570533639394451,0.6370757180156659,0.5495495495495496,0.7577639751552795,0.00025
20,1.600869873652551,0.5173427700996399,0.8892563797703692,0.3885414551028302,2.6347472370202105,0.6183986371379897,0.5253256150506512,0.7515527950310559,0.00025
21,1.582111261508591,0.5112891612411542,0.8753059446911294,0.3910323063643198,2.690759187926158,0.6273504273504272,0.5342066957787481,0.7598343685300207,0.00025
22,1.553406914455977,0.5013085000727502,0.8609018081941312,0.38239320681619776,2.7033875583539886,0.616288832913518,0.518361581920904,0.7598343685300207,0.00025
23,1.541947254722829,0.494756953178342,0.8577908696039142,0.3787988545303557,2.7601796441749666,0.6364444444444444,0.557632398753894,0.7412008281573499,0.000125
24,1.484677549643769,0.47409603448963433,0.8248936592968061,0.37137570782624246,2.850297276348991,0.6209262435677531,0.5300146412884333,0.7494824016563147,0.000125
25,1.4623434319536002,0.46950685601380543,0.8066652322811668,0.37234269599396536,2.7972261246937906,0.6215277777777777,0.5351270553064275,0.7412008281573499,0.000125
26,1.447802183475335,0.46103543800895924,0.8028160118060523,0.36790145789680373,2.91110558645823,0.6023102310231023,0.5006858710562414,0.7556935817805382,0.000125
27,1.4171794478209239,0.45088426279988464,0.7857610353520321,0.36106828908734334,2.915944237972538,0.6237712243074174,0.5487421383647799,0.722567287784679,0.000125
28,1.4212300550572388,0.45436193976561673,0.7846059628914326,0.36452431852688033,2.99089794957914,0.6125211505922166,0.5178826895565093,0.7494824016563147,6.25e-05
