epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.636590219910176,1.043495238157826,2.3029683317142142,0.5802532641041521,2.4977436171441774,0.5207756232686981,0.3884297520661157,0.7899159663865546,0.001
2,2.5362500148427687,0.8671167171155679,1.4841437403684183,0.36997907819457065,2.3430612735078427,0.5849056603773585,0.46733668341708545,0.7815126050420168,0.001
3,2.3302671856448303,0.7916486063858498,1.3566977067707646,0.36384169027457175,2.4243143230621564,0.48076923076923084,0.3367003367003367,0.8403361344537815,0.001
4,2.1912012241243657,0.7418663669205418,1.293430708031998,0.311808261132064,2.306555558484936,0.596153846153846,0.48186528497409326,0.7815126050420168,0.001
5,2.1180459406371477,0.7169353381322624,1.2545884328717005,0.29304435088982644,2.361950496648905,0.42516268980477223,0.28654970760233917,0.8235294117647058,0.001
6,2.0291238478944393,0.6872172304971381,1.2039748707892934,0.2758634836307956,2.3089142233518927,0.517948717948718,0.3726937269372694,0.8487394957983193,0.001
7,1.9768258234048728,0.6540738056635901,1.1890284041159696,0.26744721984136127,2.2697902554284624,0.6024844720496895,0.47783251231527096,0.8151260504201681,0.001
8,1.8884327321308156,0.62836170091867,1.1337906069323669,0.25256086164283226,2.3466332606599423,0.4489795918367347,0.30745341614906835,0.8319327731092437,0.001
9,1.8382924504288904,0.5990424114873361,1.1168645571869094,0.24477095218881442,2.3155889951808173,0.5153061224489796,0.36996336996337,0.8487394957983193,0.001
10,1.792225112756387,0.5895479140792889,1.088063480012298,0.2292274529193554,2.3107596100368255,0.547486033519553,0.4100418410041841,0.8235294117647058,0.001
11,1.6937283987038236,0.5457510850125452,1.0423875901703472,0.21117946491774703,2.369151481198295,0.4398148148148148,0.3035143769968051,0.7983193277310925,0.001
12,1.6740039236664552,0.5355176639204325,1.0346942628818165,0.20758401212762773,2.4149420010184186,0.5079365079365079,0.37065637065637064,0.8067226890756303,0.0005
13,1.5662856987796296,0.49970820904218777,0.9644194130756498,0.20431612546309524,2.387574863081278,0.5611940298507462,0.4351851851851852,0.7899159663865546,0.0005
14,1.5240305560794203,0.49268112627723964,0.9378507337816983,0.18699739896821446,2.3970198040748922,0.5611940298507462,0.4351851851851852,0.7899159663865546,0.0005
15,1.491339519592398,0.4787942009139634,0.91696173911174,0.19116716646002313,2.4003851334400848,0.5422740524781342,0.41517857142857145,0.7815126050420168,0.0005
16,1.4751761404732018,0.4721299710093056,0.9119216161823096,0.1822490872550143,2.40309658200375,0.6084142394822005,0.49473684210526314,0.7899159663865546,0.0005
17,1.4263933500388635,0.45851929097431204,0.8857946182134632,0.16415885619667675,2.4397770812022266,0.5768025078369906,0.46,0.773109243697479,0.00025
18,1.3968070340024346,0.43617777771517885,0.8705675019133774,0.18012350104928238,2.456718911965982,0.5696594427244581,0.45098039215686275,0.773109243697479,0.00025
19,1.3738930520641164,0.4333218710149282,0.8569349259854244,0.1672724672694744,2.485931890068125,0.5108695652173914,0.37751004016064255,0.7899159663865546,0.00025
20,1.3657497233692246,0.439376385452126,0.8491509437781385,0.15444477436833373,2.474353758552819,0.5859872611464968,0.4717948717948718,0.773109243697479,0.00025
21,1.3388109636835603,0.41919103578807243,0.8357767482561897,0.167686378063424,2.5076693906801686,0.5619335347432024,0.4386792452830189,0.7815126050420168,0.00025
22,1.3149116788465742,0.39992549381943593,0.8358221580713381,0.15832805611509934,2.508137548256273,0.5653495440729482,0.44285714285714284,0.7815126050420168,0.000125
23,1.3095462302403618,0.41419039911791933,0.8182338730685151,0.15424389934749128,2.5110101876109012,0.5617283950617283,0.44390243902439025,0.7647058823529411,0.000125
24,1.2809057528783125,0.38687491466509877,0.8153888373850895,0.15728399780012542,2.515309113892081,0.5714285714285714,0.45918367346938777,0.7563025210084033,0.000125
25,1.3002712239619765,0.3973808329338948,0.8224169117245348,0.16094695122537242,2.5437204476425257,0.5723270440251572,0.457286432160804,0.7647058823529411,0.000125
26,1.297957475877293,0.4039526793850989,0.8172327336233777,0.1535441268944696,2.547704598819923,0.5636363636363636,0.44075829383886256,0.7815126050420168,0.000125
27,1.2728075670446795,0.4005499178622875,0.7988801760506057,0.1467549308115365,2.5442450482832086,0.5669781931464175,0.4504950495049505,0.7647058823529411,6.25e-05
