accuracy,balanced_accuracy,best_epoch,best_test_loss,f1,false_negative_rate,false_positive_rate,feature_columns,final_test_loss,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fly_threshold_km,fn,fp,group_column,identity_column,k,model,n_features,pos_weight,pr_auc,precision,raw_pos_weight,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples,use_bird_id
0.9432375613174492,0.8800313234142522,16,1.5470912421426326,0.7476635514018691,0.2,0.039937353171495694,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.5470912421426326,0.9222144358794674,0.8918193683111459,0.6975476839237057,0.14666666666666667,0.0696945967110415,22,89,0.7478921694515137,0.5898617511520737,0.8533333333333334,0.9447768206734534,0.9303054032889585,0.5,1188,128,30.0,30,51,path_id,source_individual_local_identifier,10,compact_without_bird_id,10,6.590425531914893,0.7478921694515137,0.7017543859649122,6.590425531914893,0.8,0.9447768206734534,0.8271197942190338,0.9600626468285043,chronological,0.1051156297326088,1427,0.8271197942190338,1226,120,0.13174492120742798,5708,False
0.9327259985984583,0.8260291365944934,9,1.6555245480674416,0.7192982456140351,0.31666666666666665,0.03127506014434643,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6555245480674416,0.8857743517869656,0.8609618640292256,0.6464208242950108,0.17222222222222222,0.10585404971932638,31,132,0.7373824512085999,0.5302491103202847,0.8277777777777777,0.9204178918292791,0.8941459502806736,0.5,1115,149,30.0,57,39,path_id,source_individual_local_identifier,10,compact_without_bird_id,10,6.905817174515235,0.7373824512085999,0.7592592592592593,6.905817174515235,0.6833333333333333,0.9204178918292791,0.8709816257096827,0.9687249398556536,stratified,0.12613874673843384,1427,0.8709816257096827,1208,123,0.12648913264274597,5708,False
0.928,0.9031891995238712,17,1.7109825782775878,0.7398843930635838,0.1292517006802721,0.0643699002719855,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7109825782775878,0.9216,0.8995627262691115,0.7231638418079096,0.1292517006802721,0.07162284678150499,19,79,0.7370662853892374,0.6183574879227053,0.8707482993197279,0.9462874905175125,0.928377153218495,0.5,1024,128,30.0,19,71,path_id,source_individual_local_identifier,20,compact_without_bird_id,10,7.262809917355372,0.7370662853892374,0.6432160804020101,7.262809917355372,0.8707482993197279,0.9462874905175125,0.5610666964622215,0.9356300997280145,chronological,0.11760000139474869,1250,0.5610666964622215,1032,128,0.12102420628070831,4999,False
0.928,0.8381818181818181,15,1.7675751873016357,0.7058823529411765,0.28,0.04363636363636364,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7675751873016357,0.8896,0.8595454545454545,0.640625,0.18,0.1009090909090909,27,111,0.7023551313318107,0.5256410256410257,0.82,0.9116424242424241,0.899090909090909,0.5,989,123,30.0,42,48,path_id,source_individual_local_identifier,20,compact_without_bird_id,10,7.303986710963455,0.7023551313318107,0.6923076923076923,7.303986710963455,0.72,0.9116424242424241,0.8303652281407267,0.9563636363636364,stratified,0.11999999731779099,1250,0.8303652281407267,1052,108,0.12042408436536789,4999,False
0.9353049907578558,0.8826409068300217,10,1.7910728613241764,0.7348484848484849,0.18487394957983194,0.04984423676012461,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7910728613241764,0.9251386321626618,0.8916594675253279,0.7137809187279152,0.15126050420168066,0.06542056074766354,18,63,0.7158183558807468,0.6158536585365854,0.8487394957983193,0.937747061441399,0.9345794392523364,0.5,900,101,30.0,22,48,path_id,source_individual_local_identifier,30,compact_without_bird_id,10,7.656,0.7158183558807468,0.6689655172413793,7.656,0.8151260504201681,0.937747061441399,0.8281630818732083,0.9501557632398754,chronological,0.10998151451349258,1082,0.8281630818732083,915,97,0.11552680283784866,4328,False
0.9251386321626618,0.8769866657687386,19,1.697209447236687,0.7137809187279152,0.18548387096774194,0.060542797494780795,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.697209447236687,0.8687615526802218,0.8627011919994613,0.5988700564971751,0.14516129032258066,0.12943632567849686,18,124,0.7113097454403614,0.4608695652173913,0.8548387096774194,0.9266196376860395,0.8705636743215032,0.5,834,106,30.0,23,58,path_id,source_individual_local_identifier,30,compact_without_bird_id,10,7.743434343434344,0.7113097454403614,0.6352201257861635,7.743434343434344,0.8145161290322581,0.9266196376860395,0.7583696314087137,0.9394572025052192,stratified,0.11460258811712265,1082,0.7583696314087137,900,101,0.11437153071165085,4328,False
0.9354413702239789,0.8968231803107,12,1.6722276019170508,0.7461139896373057,0.15294117647058825,0.05341246290801187,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6722276019170508,0.9090909090909091,0.9025484377727353,0.6877828054298643,0.10588235294117647,0.08902077151335312,9,60,0.7687499958646015,0.5588235294117647,0.8941176470588236,0.9322918484901378,0.9109792284866469,0.5,614,76,30.0,13,36,path_id,source_individual_local_identifier,50,compact_without_bird_id,10,7.816860465116279,0.7687499958646015,0.6666666666666666,7.816860465116279,0.8470588235294118,0.9322918484901378,0.7347989389300347,0.9465875370919882,chronological,0.11198946088552475,759,0.7347989389300347,638,72,0.1134190559387207,3033,False
0.922266139657444,0.8598172017001279,17,1.9001138882517659,0.694300518134715,0.22093023255813954,0.05943536404160475,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.9001138882517659,0.8880105401844532,0.8607847541380145,0.6255506607929514,0.1744186046511628,0.10401188707280833,15,70,0.6782901418225936,0.5035460992907801,0.8255813953488372,0.9203842565396179,0.8959881129271917,0.5,603,71,30.0,19,40,path_id,source_individual_local_identifier,50,compact_without_bird_id,10,7.8425655976676385,0.6782901418225936,0.6261682242990654,7.8425655976676385,0.7790697674418605,0.9203842565396179,0.7245088966563344,0.9405646359583952,stratified,0.11330698430538177,759,0.7245088966563344,633,67,0.11308935284614563,3033,False
0.9299229152067274,0.8637666405638215,,,0.7005988023952096,0.22,0.052466718872357085,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9011913104414856,0.8800730879665883,0.6448362720403022,0.14666666666666667,0.09318715740015662,22,119,0.6770676867005718,0.5182186234817814,0.8533333333333334,0.9334273035760898,0.9068128425998434,0.5,1158,128,,33,67,path_id,source_individual_local_identifier,10,logistic_regression_balanced,10,,0.6770676867005718,0.6358695652173914,,0.78,0.9334273035760898,0.6755583943714957,0.9475332811276429,chronological,0.1051156297326088,1427,0.6755583943714957,1210,117,0.13174492120742798,5708,
0.9432375613174492,0.885914904724615,,,0.7507692307692309,0.18666666666666668,0.04150352388410337,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9432375613174492,0.8211955103106239,0.7117437722419929,0.3333333333333333,0.02427564604541895,50,31,0.7902003525002772,0.7633587786259542,0.6666666666666666,0.9547559383972853,0.975724353954581,0.5,1246,100,,28,53,path_id,source_individual_local_identifier,10,random_forest_balanced,10,,0.7902003525002772,0.6971428571428572,,0.8133333333333334,0.9547559383972853,0.3270651914051588,0.9584964761158966,chronological,0.1051156297326088,1427,0.3270651914051588,1224,122,0.13174492120742798,5708,
