const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_model
14424.17723858551,6549.373788543222,589.7574693247294,618.2646509045868,direct_mlp_last_day_k1,48.2204565,38.9345508,7.8322641,-5.755673,37.47499126265657,129.40563637174014,triline_lstm_2l_k7,65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_30km,Angela / DER AY470 (eobs 4001),418.1614512881442,287.2009301554451,triline_transformer_4l_k7
3163.500578504747,1315.6575135464705,338.8508576709966,190.74076912039166,direct_mlp_last_day_k1,48.1524172,36.284087,7.795102,-6.0298849,579.6445558824665,612.2547261895842,triline_lstm_2l_k7,62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_30km,Angela / DER AY470 (eobs 4001),288.5988625419089,411.7124960971463,triline_transformer_4l_k7
545.7114109333396,358.09940180587813,396.0235769842237,177.79151920049716,direct_mlp_last_day_k1,48.1519085,36.5685474,7.833475,-6.1475794,1471.5565590466963,823.4970132909683,triline_lstm_2l_k7,61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_30km,Angela / DER AY470 (eobs 4001),965.0050934894089,574.6223777845443,triline_transformer_4l_k7
1002.3008659702691,560.6692514022064,430.2723857190642,402.22580152985824,direct_mlp_last_day_k1,48.186889,36.573646,7.7548651,-6.1272018,549.3782306917861,393.2856102447847,triline_lstm_2l_k7,30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_30km,Angela / DER AY470 (eobs 4001),303.6003020043072,245.78655209670816,triline_transformer_4l_k7
6929.809173723523,3109.9018102269038,299.67349012391486,317.88427872072504,direct_mlp_last_day_k1,47.6932465,37.153416,7.6448794,-6.3756002,1194.6162965303974,973.909746895608,triline_lstm_2l_k7,52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_30km,"Ed + (AAL16, e-obs 7210)",364.266473368348,329.61653801969754,triline_transformer_4l_k7
15016.928936502958,7276.836339085537,1617.983599132081,1089.683251311101,direct_mlp_last_day_k1,47.1668648,40.16209895,7.5708743,-3.65722925,182.71826412568996,263.1034159033157,triline_lstm_2l_k7,33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_30km,Europa / DER A1A26 (eobs 4004),491.468643595503,317.34628348988053,triline_transformer_4l_k7
3136.535116159868,1537.6318009538923,1186.737347890078,666.4559732286314,direct_mlp_last_day_k1,47.1841832,37.7933722,7.5979627,-4.7490658,284.90561189466064,280.1065623683382,triline_lstm_2l_k7,30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_30km,Europa / DER A1A26 (eobs 4004),186.10318687157383,116.55506704146178,triline_transformer_4l_k7
13208.473771464045,6572.798251501954,1425.313876712075,1074.249521725259,direct_mlp_last_day_k1,47.17941505,40.13243435,7.4065439,-3.6785956,227.95765536999878,227.13480612110425,triline_lstm_2l_k7,30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_30km,Europa / DER A1A26 (eobs 4004),480.01675880248433,357.11181360805625,triline_transformer_4l_k7
15976.214123682856,9200.861916547636,1337.7673141965947,871.7108524314797,direct_mlp_last_day_k1,47.1788117,39.8411549,7.4200194,-4.2708803,338.35603669958334,356.0635658436923,triline_lstm_2l_k7,48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_30km,Europa / DER A1A26 (eobs 4004),374.901756967673,235.47451661679122,triline_transformer_4l_k7
23.652237610373362,18.634462866984677,1231.0871611359107,939.7134063040818,direct_mlp_last_day_k1,47.1771678,40.1542867,7.4021174,-3.6455912,247.62411389970106,155.5480462724255,triline_lstm_2l_k7,30,1174.3215620171952,1,Europa_DER_A1A26_eobs_4004__2023__southbound_01,2023,10.285667770674586,4.574958756072823,98,68,setup_30km,Europa / DER A1A26 (eobs 4004),408.2650593037111,291.07420177525324,triline_transformer_4l_k7
