accuracy,balanced_accuracy,f1,false_negative_rate,false_positive_rate,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fixed_rule_accuracy,fixed_rule_balanced_accuracy,fixed_rule_f1,fixed_rule_false_negative_rate,fixed_rule_false_positive_rate,fixed_rule_fixed_threshold,fixed_rule_fn,fixed_rule_fp,fixed_rule_pr_auc,fixed_rule_precision,fixed_rule_recall,fixed_rule_roc_auc,fixed_rule_specificity,fixed_rule_tn,fixed_rule_tp,fn,fp,k,model,pr_auc,precision,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples
0.9540051679586563,0.7853369189587874,0.6396761133603238,0.41044776119402987,0.018878400888395337,0.8950904392764858,0.8227622299385913,0.4937655860349127,0.26119402985074625,0.09328151027207107,35,168,0.6330830664839805,0.3707865168539326,0.7388059701492538,0.9120140552097922,0.9067184897279289,0.5,1633,99,,,,,,,,,,,,,,,,55,34,10,logistic_regression_balanced,0.6330830664839805,0.6991150442477876,0.5895522388059702,0.9120140552097922,0.9301451798777522,0.9811215991116047,chronological,0.06925064325332642,1935,0.9301451798777522,1767,79,0.07147473096847534,7737
0.9534883720930233,0.8506799704973191,0.6853146853146853,0.26865671641791045,0.029983342587451417,0.9529715762273901,0.7502444744627778,0.6026200873362445,0.48507462686567165,0.014436424208772903,65,26,0.6378497428894241,0.7263157894736842,0.5149253731343284,0.9463958663097614,0.9855635757912271,0.5,1775,69,,,,,,,,,,,,,,,,36,54,10,random_forest_balanced,0.6378497428894241,0.6447368421052632,0.7313432835820896,0.9463958663097614,0.24926742209108782,0.9700166574125486,chronological,0.06925064325332642,1935,0.24926742209108782,1747,98,0.07147473096847534,7737
0.9038759689922481,0.7894909130085276,0.4861878453038673,0.34328358208955223,0.07773459189339256,,,,,,,,,,,,,,,,0.834108527131783,0.8452621677840669,0.4174228675136117,0.1417910447761194,0.1676846196557468,30.0,19,302,0.36159760175735034,0.27577937649880097,0.8582089552238806,0.8721626459595415,0.8323153803442532,1499,115,46,140,10,rule_recent_max_step,0.36159760175735034,0.38596491228070173,0.6567164179104478,0.8721626459595415,168.30112204505596,0.9222654081066074,chronological,0.06925064325332642,1935,168.30112204505596,1661,88,0.07147473096847534,7737
0.9266149870801034,0.7878914699130666,0.5419354838709678,0.373134328358209,0.05108273181565797,,,,,,,,,,,,,,,,0.8723514211886305,0.8554451507040035,0.47558386411889597,0.16417910447761194,0.1249305941143809,30.0,22,225,0.4349157849634666,0.3323442136498516,0.835820895522388,0.892441595465206,0.8750694058856191,1576,112,50,92,10,rule_last_rolling_step_max_7,0.4349157849634666,0.4772727272727273,0.6268656716417911,0.892441595465206,168.30112204505596,0.9489172681843421,chronological,0.06925064325332642,1935,168.30112204505596,1709,84,0.07147473096847534,7737
0.9224806201550387,0.7856704815732554,0.5283018867924528,0.373134328358209,0.0555247084952804,,,,,,,,,,,,,,,,0.9111111111111111,0.8002850820854086,0.5113636363636364,0.3283582089552239,0.07107162687395892,30.0,44,128,0.4220659156187137,0.41284403669724773,0.6716417910447762,0.8810072347866442,0.928928373126041,1673,90,50,100,10,rule_last_rolling_step_mean_7,0.4220659156187137,0.45652173913043476,0.6268656716417911,0.8810072347866442,42.12215933051484,0.9444752915047196,chronological,0.06925064325332642,1935,42.12215933051484,1701,84,0.07147473096847534,7737
0.9286821705426357,0.7323587441033428,0.5,0.49635036496350365,0.0389321468298109,0.8682170542635659,0.7739966548395216,0.41647597254004576,0.3357664233576642,0.11624026696329255,46,209,0.4702555321674916,0.30333333333333334,0.6642335766423357,0.8432767957909437,0.8837597330367074,0.5,1589,91,,,,,,,,,,,,,,,,68,70,10,logistic_regression_balanced,0.4702555321674916,0.49640287769784175,0.5036496350364964,0.8432767957909437,0.8350550233724904,0.9610678531701891,stratified,0.0708010345697403,1935,0.8350550233724904,1728,69,0.07108698785305023,7737
0.9328165374677002,0.7885282105827237,0.5666666666666665,0.3795620437956204,0.04338153503893215,0.9431524547803618,0.7030581424616159,0.5132743362831859,0.5766423357664233,0.017241379310344827,79,31,0.5675488325214364,0.651685393258427,0.4233576642335766,0.8917856823883797,0.9827586206896551,0.5,1767,58,,,,,,,,,,,,,,,,52,78,10,random_forest_balanced,0.5675488325214364,0.5214723926380368,0.6204379562043796,0.8917856823883797,0.22479215530978278,0.9566184649610678,stratified,0.0708010345697403,1935,0.22479215530978278,1720,85,0.07108698785305023,7737
0.8227390180878553,0.7292957300487971,0.3313840155945419,0.3795620437956204,0.1618464961067853,,,,,,,,,,,,,,,,0.7333333333333333,0.7317599441390678,0.27932960893854747,0.27007299270072993,0.2664071190211346,30.0,37,479,0.22006318030958377,0.17271157167530224,0.7299270072992701,0.786025429715093,0.7335928809788654,1319,100,52,291,10,rule_recent_max_step,0.22006318030958377,0.22606382978723405,0.6204379562043796,0.786025429715093,76.72584422584215,0.8381535038932146,stratified,0.0708010345697403,1935,76.72584422584215,1507,85,0.07108698785305023,7737
0.8630490956072352,0.7273856596542793,0.37054631828978624,0.4306569343065693,0.11457174638487208,,,,,,,,,,,,,,,,0.7953488372093023,0.751644162613772,0.32653061224489793,0.29927007299270075,0.19744160177975528,30.0,41,355,0.2705841930366487,0.21286031042128603,0.7007299270072993,0.8083271761811583,0.8025583982202447,1443,96,59,206,10,rule_last_rolling_step_max_7,0.2705841930366487,0.2746478873239437,0.5693430656934306,0.8083271761811583,76.72565471726237,0.8854282536151279,stratified,0.0708010345697403,1935,76.72565471726237,1592,78,0.07108698785305023,7737
0.9090439276485788,0.6644751264584331,0.37142857142857144,0.6204379562043796,0.05061179087875417,,,,,,,,,,,,,,,,0.8816537467700258,0.6699658176562766,0.336231884057971,0.5766423357664233,0.08342602892102335,30.0,79,150,0.2706506585043837,0.27884615384615385,0.4233576642335766,0.8042390977809895,0.9165739710789766,1648,58,85,91,10,rule_last_rolling_step_mean_7,0.2706506585043837,0.36363636363636365,0.3795620437956204,0.8042390977809895,42.01944914658088,0.9493882091212458,stratified,0.0708010345697403,1935,42.01944914658088,1707,52,0.07108698785305023,7737
