epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,2.7366569835960366,0.849177729419347,1.6035239345848062,0.5679106532099519,2.2668663388692547,0.7140039447731755,0.6817325800376648,0.7494824016563147,0.001
2,2.3420890489859834,0.7619646681118808,1.3197340786091796,0.5207806003791045,2.1779371833631274,0.697029702970297,0.6679316888045541,0.7287784679089027,0.001
3,2.2645004909217854,0.7404165309318925,1.2734161079693638,0.5013357535444595,2.2059606222332904,0.7113702623906705,0.6703296703296703,0.7577639751552795,0.001
4,2.2144706170605417,0.7188641817822098,1.2487456453012558,0.4937215910050862,2.1680313542139933,0.6901811248808389,0.6395759717314488,0.7494824016563147,0.001
5,2.1813715493778663,0.7120973791319015,1.2236410676669278,0.4912661614789936,2.0779547597847734,0.7114474929044465,0.6550522648083623,0.7784679089026915,0.001
6,2.1458435478848004,0.7027019382751751,1.2043962535021364,0.47749074633075,2.070532993411848,0.7089552238805972,0.6451612903225806,0.7867494824016563,0.001
7,2.0924311644519604,0.6907315683497692,1.165763488240893,0.4718721843828398,2.073126806932337,0.6924428822495606,0.601526717557252,0.8157349896480331,0.001
8,2.087318271302247,0.6882830160042702,1.1653752297810525,0.46732005060881293,2.111401325453624,0.6977186311787072,0.6449912126537786,0.7598343685300207,0.001
9,2.037775798574464,0.6689840171728958,1.1412493248570263,0.4550848672848226,2.1213738055577678,0.704653371320038,0.6508771929824562,0.7681159420289855,0.001
10,2.02130467980685,0.6619006955324773,1.1366317024204393,0.4455445615959699,2.148990607729145,0.656910569105691,0.5408299866131191,0.8364389233954451,0.001
11,1.9830340129884172,0.6577573309668592,1.1073249176949844,0.4359035362141378,2.1689779711704626,0.7000000000000001,0.6535008976660682,0.7536231884057971,0.0005
12,1.8891724972206902,0.6308066758339119,1.05046142863696,0.41580876748873996,2.133219180472607,0.6838235294117647,0.6148760330578512,0.7701863354037267,0.0005
13,1.8403876909240042,0.6125052238075182,1.0251902948382172,0.4053843236799692,2.156558066553398,0.6794520547945205,0.6078431372549019,0.7701863354037267,0.0005
14,1.7942664901526193,0.5957126441506623,0.9993656992646645,0.3983762965494544,2.206338574329587,0.6785379568884724,0.6198630136986302,0.7494824016563147,0.0005
15,1.7842811740939,0.5928601899950617,0.9961438208635803,0.3905543403838006,2.196224546687488,0.6795580110497238,0.6119402985074627,0.7639751552795031,0.0005
16,1.7294489425404158,0.5769919166857154,0.9662217466944107,0.37247054633157833,2.3282998674906086,0.6672613737734167,0.5862068965517241,0.7743271221532091,0.00025
17,1.652449922402257,0.5493301090689423,0.9223283074227548,0.3615829868755799,2.3164912506858295,0.6684684684684685,0.5917065390749602,0.7681159420289855,0.00025
18,1.6132080966450046,0.5366134609684639,0.8971865683744212,0.3588161350541792,2.32453410468212,0.6565836298932385,0.5756630265210608,0.7639751552795031,0.00025
19,1.5789851862740052,0.5227208357036612,0.8785401768206221,0.3554483785901561,2.2977343880556482,0.676416819012797,0.6055646481178396,0.7660455486542443,0.00025
20,1.5531008998796467,0.5150681643565718,0.8650361364731217,0.345993197787771,2.4178863098702115,0.6819923371647508,0.6345811051693404,0.7370600414078675,0.00025
21,1.5253181277410566,0.5082210145571106,0.8456860002036878,0.342822217497985,2.3972315031789417,0.6636446056210337,0.5903225806451613,0.7577639751552795,0.000125
22,1.4684524590590537,0.48547257848104725,0.8145719740583371,0.33681581342618777,2.426910543611768,0.6703703703703703,0.6063651591289783,0.7494824016563147,0.000125
23,1.4486238287285509,0.4769996991197379,0.8080162420644733,0.3272157777883216,2.4277192250080075,0.663619744058501,0.5941080196399345,0.7515527950310559,0.000125
24,1.4244990295819253,0.46824728424502615,0.7930904306741146,0.32632263313760995,2.4709217926610174,0.6691109074243813,0.600328947368421,0.7556935817805382,0.000125
25,1.4119698588761778,0.4660574720364095,0.7842653401980493,0.32329410435927614,2.493216992699526,0.6654099905749294,0.610726643598616,0.7308488612836439,0.000125
26,1.4074884106256171,0.4646145430580819,0.7795768174487568,0.32659410212697426,2.5058577217945226,0.6617511520737327,0.5963455149501661,0.7432712215320911,6.25e-05
