epoch,train_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,1.3817981783687618,0.9433356987450051,0.7939646201873048,0.010309278350515464,0.25,0.0198019801980198,0.20146904512067157,0.001
2,1.2850406142890034,0.819804850651744,0.8449531737773153,0.013793103448275862,0.25,0.0261437908496732,0.15005246589716684,0.001
3,1.3054788270923998,1.0220064440205243,0.48595213319458896,0.012048192771084338,0.75,0.023715415019762848,0.5162644281217209,0.001
4,1.2272068469110364,0.7974648046056264,0.9198751300728408,0.04,0.375,0.07228915662650602,0.07555089192025184,0.001
5,1.1990595942082365,0.8036454918016132,0.9729448491155047,0.09090909090909091,0.25,0.13333333333333333,0.02098635886673662,0.001
6,1.1736247559693667,0.832482690431573,0.951092611862643,0.046511627906976744,0.25,0.07843137254901962,0.04302203567681007,0.001
7,1.1777226641847889,0.7841956607229876,0.9438085327783559,0.057692307692307696,0.375,0.09999999999999999,0.05141657922350472,0.001
8,1.107125971969668,0.8924638428623545,0.9646201873048907,0.0,0.0,0.0,0.02728226652675761,0.001
9,1.0346023120845367,0.7260350893240938,0.9125910509885536,0.036585365853658534,0.375,0.06666666666666667,0.08289611752360965,0.001
10,1.076143083334031,0.7313163437251617,0.931321540062435,0.03225806451612903,0.25,0.05714285714285715,0.06295907660020986,0.001
11,1.1191323933518202,0.7453268775861792,0.959417273673257,0.05714285714285714,0.25,0.09302325581395347,0.03462749213011543,0.001
12,1.0787037852157437,1.0497644522714813,0.9739854318418314,0.0,0.0,0.0,0.017838405036726127,0.001
13,1.078619148171963,0.6845309496329056,0.9479708636836629,0.0625,0.375,0.10714285714285714,0.0472193074501574,0.001
14,0.9935421807261315,0.7101366211050631,0.959417273673257,0.08108108108108109,0.375,0.13333333333333333,0.035676810073452254,0.001
15,0.8977711526902509,1.2393404955682068,0.9854318418314256,0.125,0.125,0.125,0.007345225603357817,0.001
16,1.0790860464845402,0.7418263571862127,0.9562955254942768,0.075,0.375,0.12499999999999999,0.03882476390346275,0.001
17,0.9672462560645742,0.6524656408628241,0.9552549427679501,0.07317073170731707,0.375,0.12244897959183672,0.03987408184679958,0.001
18,1.0144116562563006,0.9513882261920918,0.9771071800208116,0.0625,0.125,0.08333333333333333,0.015739769150052464,0.001
19,0.8305973025915121,0.8740000667265625,0.963579604578564,0.06451612903225806,0.25,0.10256410256410256,0.030430220356768102,0.001
20,1.0070585752644596,0.7660496082393361,0.9479708636836629,0.0625,0.375,0.10714285714285714,0.0472193074501574,0.001
21,0.7514131663522817,0.885918082535639,0.9833506763787722,0.16666666666666666,0.25,0.2,0.01049317943336831,0.001
22,0.8722059559120668,0.7776832576961287,0.9656607700312175,0.12121212121212122,0.5,0.1951219512195122,0.030430220356768102,0.0005
23,0.6845224151323314,1.011220491777148,0.9864724245577523,0.2222222222222222,0.25,0.23529411764705882,0.007345225603357817,0.0005
24,0.6523366798742524,0.8983248674526857,0.9719042663891779,0.08695652173913043,0.25,0.12903225806451613,0.022035676810073453,0.0005
25,0.7189269237796393,0.9787936100889381,0.9739854318418314,0.09523809523809523,0.25,0.13793103448275862,0.01993704092339979,0.0005
26,0.5677865675668238,1.1377766103261808,0.9791883454734651,0.125,0.25,0.16666666666666666,0.014690451206715634,0.0005
27,0.759644759877589,1.3260198958832519,0.9895941727367326,0.3333333333333333,0.25,0.28571428571428575,0.004197271773347324,0.00025
