threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
6.907777277679636e-12,128,1660,0,0,0.07158836689038031,0.07158836689038031,1.0,0.0,0.13361169102296452,1.0,0.0,0.5,0.8819559487951807,0.5857867605517789
2.749304625723004e-07,128,1642,18,0,0.08165548098434004,0.07231638418079096,1.0,0.010843373493975903,0.13487881981032665,0.9891566265060241,0.0,0.505421686746988,0.8819559487951807,0.5857867605517789
8.969929586233541e-07,128,1624,36,0,0.09172259507829977,0.0730593607305936,1.0,0.021686746987951807,0.13617021276595745,0.9783132530120482,0.0,0.5108433734939759,0.8819559487951807,0.5857867605517789
2.4510895751487743e-06,128,1606,54,0,0.1017897091722595,0.07381776239907728,1.0,0.03253012048192771,0.13748657357679916,0.9674698795180723,0.0,0.5162650602409639,0.8819559487951807,0.5857867605517789
4.27065313811421e-06,127,1589,71,1,0.11073825503355705,0.07400932400932402,0.9921875,0.0427710843373494,0.13774403470715835,0.9572289156626506,0.0078125,0.5174792921686747,0.8819559487951807,0.5857867605517789
6.866195010358769e-06,127,1571,89,1,0.12080536912751678,0.07479387514723204,0.9921875,0.053614457831325305,0.13910186199342825,0.9463855421686747,0.0078125,0.5229009789156627,0.8819559487951807,0.5857867605517789
9.810700608143377e-06,126,1554,106,2,0.1297539149888143,0.075,0.984375,0.06385542168674699,0.13938053097345132,0.936144578313253,0.015625,0.5241152108433735,0.8819559487951807,0.5857867605517789
1.5849824366465644e-05,126,1536,124,2,0.13982102908277405,0.07581227436823104,0.984375,0.0746987951807229,0.14078212290502792,0.9253012048192771,0.015625,0.5295368975903615,0.8819559487951807,0.5857867605517789
2.01744216779727e-05,126,1519,141,2,0.1493288590604027,0.07659574468085106,0.984375,0.08493975903614458,0.14213197969543148,0.9150602409638554,0.015625,0.5346573795180722,0.8819559487951807,0.5857867605517789
2.7029596864272208e-05,126,1501,159,2,0.1593959731543624,0.07744314689612784,0.984375,0.09578313253012048,0.14358974358974358,0.9042168674698795,0.015625,0.5400790662650602,0.8819559487951807,0.5857867605517789
3.170834825686212e-05,124,1485,175,4,0.16722595078299776,0.07706650093225606,0.96875,0.10542168674698796,0.1427748992515832,0.8945783132530121,0.03125,0.537085843373494,0.8819559487951807,0.5857867605517789
4.2646996910450896e-05,124,1467,193,4,0.1772930648769575,0.07793840351979887,0.96875,0.11626506024096385,0.1442699243746364,0.8837349397590362,0.03125,0.5425075301204819,0.8819559487951807,0.5857867605517789
5.272030976021889e-05,124,1449,211,4,0.18736017897091722,0.07883026064844247,0.96875,0.12710843373493977,0.14579659024103467,0.8728915662650603,0.03125,0.5479292168674699,0.8819559487951807,0.5857867605517789
