epoch,train_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,1.2985533034025991,0.8131472556295265,0.6361573373676248,0.022587268993839837,0.6875,0.0437375745526839,0.36447166921898927,0.001
2,1.3256143528105813,0.7903683845872417,0.789712556732224,0.02877697841726619,0.5,0.05442176870748299,0.20673813169984687,0.001
3,1.166920986640832,0.9392851085237223,0.9190620272314675,0.030927835051546393,0.1875,0.05309734513274336,0.07197549770290965,0.001
4,1.1635249472602232,0.9154712129468817,0.9046898638426626,0.008928571428571428,0.0625,0.015625,0.08499234303215926,0.001
5,1.217446568152908,0.892784939072857,0.8615733736762481,0.022857142857142857,0.25,0.041884816753926704,0.13093415007656967,0.001
6,1.131155080721346,1.226296896765885,0.9319213313161876,0.0,0.0,0.0,0.05666156202143951,0.001
7,1.1107761921211738,0.8561690252234824,0.9349470499243571,0.02702702702702703,0.125,0.044444444444444446,0.055130168453292494,0.0005
8,1.0283217419293933,1.0146950524914644,0.9780635400907716,0.11764705882352941,0.125,0.12121212121212122,0.011485451761102604,0.0005
9,1.0240843430409452,0.8789655718383198,0.9485627836611196,0.06666666666666667,0.25,0.10526315789473685,0.042879019908116385,0.0005
10,0.9587848204527608,0.8967342970275662,0.9425113464447806,0.058823529411764705,0.25,0.09523809523809523,0.04900459418070444,0.0005
11,0.9574239113778101,1.0320904822104278,0.9417549167927383,0.04477611940298507,0.1875,0.07228915662650602,0.04900459418070444,0.0005
12,0.8919526822808651,0.9141085620479216,0.9394856278366112,0.06756756756756757,0.3125,0.11111111111111112,0.052833078101071976,0.00025
