epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,2.4835282650729713,1.260928058948892,0.8923065811170211,0.9607576401664703,1.8522165093046814,0.6459909228441755,0.023206751054852322,0.6875,0.044897959183673466,0.3545176110260337,0.001
2,2.308372141914541,1.2295787037771517,0.8283945328348884,0.8651882583182446,1.7179566670474054,0.8305597579425114,0.03153153153153153,0.4375,0.0588235294117647,0.16462480857580397,0.001
3,2.276240825653076,1.2098202993938314,0.8224233720739021,0.8489073018984427,1.7971935328575197,0.7344931921331316,0.028169014084507043,0.625,0.05390835579514825,0.26416539050535986,0.001
4,2.3149167943109004,1.1707864622846134,0.8363592929450538,0.8931642432616806,1.760323702297124,0.6860816944024206,0.026128266033254157,0.6875,0.050343249427917625,0.31393568147013784,0.001
5,2.2585930207493448,1.1647565949161547,0.8167101613692545,0.8595045596676767,1.7685367985319984,0.6981845688350984,0.029484029484029485,0.75,0.056737588652482275,0.30245022970903523,0.001
6,2.1835869444300293,1.1293865300703698,0.8136730824404153,0.8052206046642586,1.725217103777783,0.7806354009077155,0.027586206896551724,0.5,0.0522875816993464,0.21592649310872894,0.001
7,2.1341815974095586,1.1212627258315209,0.8073062031965212,0.7662440486105776,1.9003600027305094,0.7254160363086233,0.02981029810298103,0.6875,0.05714285714285714,0.27411944869831545,0.0005
8,2.0459865405592,1.0589740871481383,0.7933156754534111,0.7231838264912592,1.677905793449702,0.8933434190620272,0.06293706293706294,0.5625,0.11320754716981132,0.10260336906584992,0.0005
9,2.0038625162416075,1.0231406373984875,0.776628380193292,0.7156638127051396,1.7694671222554033,0.7950075642965204,0.043010752688172046,0.75,0.08135593220338984,0.20444104134762633,0.0005
10,1.9397878358295573,0.9995696129849386,0.7720710104965406,0.667932014872916,1.646420075835691,0.8071104387291982,0.045627376425855515,0.75,0.08602150537634409,0.19218989280245022,0.0005
11,1.8946602476166163,0.9734101743633196,0.7580774825928611,0.6498776650825535,1.7107761602809317,0.8411497730711044,0.05504587155963303,0.75,0.10256410256410257,0.15773353751914243,0.0005
12,1.7940159287647472,0.9819611694195989,0.7421824570502888,0.5608529014098662,1.713690463425352,0.7125567322239031,0.03333333333333333,0.8125,0.06403940886699508,0.2886676875957121,0.0005
13,1.7358157977394184,0.9350420775824704,0.7438085205435934,0.5244862363306008,1.7572600621048153,0.9409984871406959,0.10256410256410256,0.5,0.1702127659574468,0.05359877488514548,0.0005
14,1.7354034870727701,0.9276515139934696,0.7379984130206519,0.5335793128172316,1.8173520888755614,0.789712556732224,0.03873239436619718,0.6875,0.07333333333333333,0.20903522205206737,0.0005
15,1.67699312906763,0.884133694279212,0.7126860135712529,0.5222402739813397,1.80102450629406,0.9273827534039334,0.07446808510638298,0.4375,0.12727272727272723,0.0666156202143951,0.00025
16,1.5798324864137911,0.8422547449863624,0.7031100298561235,0.4555950925858767,1.7324734798177468,0.8804841149773072,0.05625,0.5625,0.10227272727272727,0.11562021439509954,0.00025
17,1.5575741661117946,0.8164956211683069,0.68908528165269,0.4602410566067371,1.7437592640226078,0.8661119515885023,0.05027932960893855,0.5625,0.09230769230769231,0.13016845329249618,0.00025
18,1.514701400239601,0.8298679024386875,0.690158479422917,0.4096089639840436,1.7911510193852902,0.8948562783661119,0.06382978723404255,0.5625,0.11464968152866241,0.10107197549770292,0.00025
19,1.462071728237458,0.8124340592281901,0.6893674514838318,0.3664872421799918,1.902315626797265,0.829803328290469,0.047619047619047616,0.6875,0.08906882591093115,0.16845329249617153,0.00025
20,1.4898027738897235,0.7994570948082091,0.6877034407069571,0.40237079891369154,1.8133528785337658,0.8895612708018155,0.06666666666666667,0.625,0.12048192771084337,0.10719754977029096,0.000125
