epoch,train_loss,test_delta_mse_norm,lr
1,0.7572347013277771,1.2101112243775476,0.001
2,0.6094565636122232,1.1717535263999215,0.001
3,0.5808582494596094,1.1322531238392524,0.001
4,0.563996561488145,1.1132721371120877,0.001
5,0.5561075326847079,1.1080246036797115,0.001
6,0.5500763198396948,1.0884226545053266,0.001
7,0.5421382054152131,1.0813023634093064,0.001
8,0.5330191644484389,1.0840265403098752,0.001
9,0.5286175692105511,1.0777199861797615,0.001
10,0.5220241817354953,1.1002001137854815,0.001
11,0.5144058495454584,1.0773339040674532,0.001
12,0.5124882853580842,1.0688835791665379,0.001
13,0.5053797086986802,1.071406184480029,0.001
14,0.5049713110261185,1.075159312626503,0.001
15,0.5027620302762809,1.0961997229293738,0.001
16,0.49247678740482453,1.0703473774858472,0.001
17,0.48733013973826855,1.0611431310074733,0.001
18,0.484999846383071,1.0631140730234498,0.001
19,0.4878692456449231,1.059850275997491,0.001
20,0.4802263146175248,1.0490169090043677,0.001
21,0.47989314107897857,1.0423604665077821,0.001
22,0.4781139537314972,1.060807866239163,0.001
23,0.4730946268563018,1.0505535373178645,0.001
24,0.47894470354559776,1.0499392899573035,0.001
25,0.46420723046922957,1.065562915979595,0.001
26,0.4701214453075043,1.0541122875770081,0.0005
27,0.4483684930181748,1.0461346047920592,0.0005
28,0.4498773562280755,1.0474376104249488,0.0005
29,0.4435402917077204,1.0560860204667057,0.0005
30,0.4392276937418187,1.0382713812763538,0.0005
31,0.44243628456621803,1.0427977664362638,0.0005
32,0.43626524751609463,1.03534238046922,0.0005
33,0.43769369016539844,1.0460935784451788,0.0005
34,0.43174725001947684,1.0331734542444135,0.0005
35,0.44251088440149877,1.0467306695910878,0.0005
36,0.4381770952261303,1.0499343232735576,0.0005
37,0.4374752765050902,1.0403257401961854,0.0005
38,0.4254453086534692,1.0482521726062475,0.0005
39,0.4275124478351254,1.0375083118843633,0.00025
40,0.421195221398858,1.0421244708889394,0.00025
41,0.41845651971055675,1.0417797753412779,0.00025
42,0.4181568528846672,1.0387331111915064,0.00025
43,0.4216842399752486,1.0378687856805613,0.00025
44,0.42137519013731767,1.0403697110347168,0.000125
45,0.40902458699736755,1.0419426911518042,0.000125
46,0.4148199214983053,1.0390696170387765,0.000125
47,0.41697037871941484,1.0378787406551993,0.000125
48,0.41282441660338465,1.0395804694688964,0.000125
49,0.41294577029056384,1.0401912975725662,6.25e-05
50,0.4105834564313517,1.0408067709166837,6.25e-05
51,0.41289879541518504,1.04100630225638,6.25e-05
52,0.4032482043072926,1.0404140021325934,6.25e-05
53,0.41237774380725506,1.040236090666607,6.25e-05
54,0.4063634120877569,1.0415370729234483,3.125e-05
