epoch,train_loss,test_delta_mse_norm,lr
1,0.6829537188666405,1.558561769869959,0.001
2,0.6017524257295804,1.4217169991595,0.001
3,0.5846802205050367,1.6490903258794853,0.001
4,0.5521824716104772,1.389856346039904,0.001
5,0.5213724385613824,1.422361388979222,0.001
6,0.5240133085239105,1.3726573989325361,0.001
7,0.47861081023098057,1.471791957206877,0.001
8,0.46859188847203825,1.6414626200679734,0.001
9,0.4562442429187696,1.7466125940616894,0.001
10,0.4421793156507171,1.6317806470064307,0.001
11,0.433429575528869,1.5135813927933162,0.0005
12,0.38447110963344644,1.528283386833583,0.0005
13,0.34531487439625297,1.5327138787672925,0.0005
14,0.34038066088824986,1.6970367582419172,0.0005
15,0.32952079167831183,1.6233556920831853,0.0005
16,0.3049935057104835,1.704065722439129,0.00025
17,0.28339957769953145,1.7399059340887861,0.00025
18,0.2701121368456931,1.7187481906574233,0.00025
19,0.25682448417030396,1.67041671511684,0.00025
20,0.25246065839042975,1.7001887988667244,0.00025
21,0.23798303615616653,1.6673328565514607,0.000125
22,0.2209449589623975,1.7541033477180088,0.000125
23,0.22508254047234277,1.727694907207263,0.000125
24,0.21878690385424515,1.7549836984264993,0.000125
25,0.21368412159416775,1.7134621058528132,0.000125
26,0.21290808443721437,1.760862780182729,6.25e-05
27,0.20430293142285827,1.7608231706581567,6.25e-05
28,0.19908909486685825,1.7769036575739563,6.25e-05
29,0.20379077130287415,1.7960321177606997,6.25e-05
30,0.19792127460003728,1.7860399932258213,6.25e-05
31,0.1887946690138846,1.818238390293046,3.125e-05
32,0.19319794583184977,1.8038160452258445,3.125e-05
33,0.19011014631467033,1.7887902090200793,3.125e-05
34,0.18990005902780763,1.8063857338645242,3.125e-05
35,0.18530729498996615,1.807136550722386,3.125e-05
36,0.18910515227815797,1.8047467861250925,1.5625e-05
