best_epoch,best_test_loss,feature_mode,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
1,2.1427213374495184,full,2.1427213374495184,0.8847708894878706,0.5918854415274464,0.10735735735735735,28,143,0.6429432794992841,0.46441947565543074,0.8157894736842105,0.9181286549707601,0.8926426426426426,0.5,1189,124,0.9278975741239892,116.39243147412074,0.6559485530546624,0.04279279279279279,50,57,0.6429432794992841,0.6415094339622641,0.6710526315789473,0.9181286549707601,0.9572072072072072,0.7347759850323201,1275,102,117.01272719615436,14.29564568166556,0.8082727182331646,134.05550994280577,30.592953294226724,94.04172379147373,2.574176920252423,7,triline_transformer,14.867023670338469,1.7844918212225587,133.4666557199166,triline_transformer_2l_k7,triline,2,30.606436956997655,92.39227358841836,426118,6.485498108448928,6.485498108448928,1.277733325958252,setup_30km,30.0,3.281541698735687,0.10242587327957153,1484,0.1335916370153427,5936
1,2.568510912262358,full,2.568510912262358,0.788354898336414,0.47835990888382685,0.2232606438213915,14,215,0.5802495724988805,0.328125,0.8823529411764706,0.8880773493197902,0.7767393561786086,0.5,748,105,0.9177449168207024,119.82444853005961,0.6147186147186147,0.04257528556593977,48,41,0.5802495724988805,0.6339285714285714,0.5966386554621849,0.8880773493197902,0.9574247144340602,0.7779988022148608,922,71,121.22723409033647,15.776666277185814,0.9067717026281084,139.18211512467784,37.617776425106314,106.35462605279245,2.7459107530270104,30,triline_transformer,16.602887785180872,2.6477972461729626,137.5466490769428,triline_transformer_3l_k30,triline,3,37.16129289174204,103.5977773283078,627334,7.656,7.656,3.53181791305542,setup_30km,30.0,3.8475755020650158,0.10998151451349258,1082,0.11552680283784866,4328
1,2.6654876208349427,full,2.6654876208349427,0.7661737523105361,0.4605543710021322,0.2512980269989616,11,242,0.5781255550935432,0.30857142857142855,0.907563025210084,0.8956080874717488,0.7487019730010385,0.5,721,108,0.9205175600739371,121.13563934825966,0.6090909090909091,0.035306334371754934,52,34,0.5781255550935432,0.6633663366336634,0.5630252100840336,0.8956080874717488,0.9646936656282451,0.7569479255378246,929,67,122.53240782003795,15.877225563130636,0.901845820139392,140.41556242017975,37.71768229234449,107.04578505864966,2.697613217780719,30,triline_transformer,16.801701793890704,2.656874759947596,138.90834865895107,triline_transformer_4l_k30,triline,4,37.624141678245294,104.34235287927616,825606,7.656,7.656,4.454872131347656,setup_30km,30.0,3.908930694233484,0.10998151451349258,1082,0.11552680283784866,4328
1,1.9534648229491036,full,1.9534648229491036,0.9056603773584906,0.6373056994818653,0.08333333333333333,29,111,0.6772997304101401,0.5256410256410257,0.8092105263157895,0.9251817607080766,0.9166666666666666,0.5,1221,123,0.9380053908355795,106.18382534898743,0.6973684210526315,0.03453453453453453,46,46,0.6772997304101401,0.6973684210526315,0.6973684210526315,0.9251817607080766,0.9654654654654654,0.7081504702568054,1286,106,106.85287172844578,13.53690649669114,0.8049111122092937,122.39005561431051,32.40875923043559,85.31558029584903,2.888237791565988,7,triline_lstm,14.17289211730703,1.9222424721202773,121.68355943105065,triline_lstm_2l_k7,triline,2,32.555224851797476,84.86615667444048,292870,6.485498108448928,6.485498108448928,0.8295254707336426,setup_30km,30.0,3.6731459827609165,0.10242587327957153,1484,0.1335916370153427,5936
1,1.867666823523385,full,1.867666823523385,0.9144204851752021,0.6718346253229974,0.07882882882882883,22,105,0.6976120619212921,0.5531914893617021,0.8552631578947368,0.9371048680259206,0.9211711711711712,0.5,1227,130,0.9353099730458221,99.38065274093945,0.7209302325581395,0.05105105105105105,28,68,0.6976120619212921,0.6458333333333334,0.8157894736842105,0.9371048680259206,0.948948948948949,0.6438077338505537,1264,124,99.71617302912891,13.30906360869364,0.8211273133995798,111.75627253050769,37.42771160907572,82.21182100872184,3.448792864019343,7,triline_linear_ar,13.870115271065275,1.894154854251933,111.3568467776017,triline_linear_ar_full_k7,triline,0,37.492621805781496,82.21182100872184,47460,6.485498108448928,6.485498108448928,0.4787414073944092,setup_30km,30.0,4.112156040268821,0.10242587327957153,1484,0.1335916370153427,5936
1,2.4951113398546654,delta,2.4951113398546654,0.8456561922365989,0.5322128851540616,0.14849428868120457,24,143,0.57611542003325,0.39915966386554624,0.7983193277310925,0.8822220476975837,0.8515057113187954,0.5,820,95,0.9085027726432532,103.87081588205406,0.6346863468634686,0.06853582554517133,33,66,0.57611542003325,0.5657894736842105,0.7226890756302521,0.8822220476975837,0.9314641744548287,0.6707613372802733,897,86,104.57358932944234,15.006687952237339,0.9711241834209148,118.95321042152419,41.441939871623376,89.8878163239539,3.9387115619077493,30,triline_linear_ar,16.066188035363098,3.076838534645203,118.11533446212155,triline_linear_ar_delta_k30,triline,0,41.441939871623376,88.69114509655029,39012,7.656,7.656,0.3932468891143799,setup_30km,30.0,5.215979609863384,0.10998151451349258,1082,0.11552680283784866,4328
1,2.203537417871933,full,2.203537417871933,0.8349056603773585,0.5679012345679013,0.15051221434200157,54,191,0.6484816078082906,0.45738636363636365,0.7488372093023256,0.8694778895669544,0.8494877856579984,0.5,1078,161,0.9009433962264151,83.5302879990223,0.6423357664233577,0.0504334121355398,83,64,0.6484816078082906,0.673469387755102,0.6139534883720931,0.8694778895669544,0.9495665878644602,0.6840510697849095,1205,132,83.90504678109875,14.01111297556609,0.860445901889124,127.47242554576778,29.750616497671587,89.99542790633298,2.1693511409013775,7,triline_transformer,14.711959069027543,2.1181355274273184,127.08013485794582,triline_transformer_2l_k7,triline,2,29.441238696258143,89.99542790633298,426118,4.207017543859649,4.207017543859649,1.1950955390930176,setup_10km,10.0,3.0524313149307147,0.14487870037555695,1484,0.19204851984977722,5936
1,2.6380270153228986,full,2.6380270153228986,0.7467652495378928,0.4888059701492538,0.2576754385964912,39,235,0.5989098246868163,0.35792349726775957,0.7705882352941177,0.8274896800825595,0.7423245614035088,0.5,677,131,0.8558225508317929,88.1500527639525,0.5894736842105264,0.1074561403508772,58,98,0.5989098246868163,0.5333333333333333,0.6588235294117647,0.8274896800825595,0.8925438596491229,0.6604517597705125,814,112,88.6118310069471,15.816466681904865,1.2406680266863432,137.2585355881026,37.992325090271436,102.6375087426704,2.2471553493860292,30,triline_transformer,16.51181187946878,2.5655723455902653,136.72076920324545,triline_transformer_3l_k30,triline,3,38.11975117967692,102.6375087426704,627334,4.62077922077922,4.62077922077922,3.2817559242248535,setup_10km,10.0,3.1581924163522976,0.15711645781993866,1082,0.17791128158569336,4328
1,2.78528727268776,full,2.78528727268776,0.6894639556377079,0.45980707395498394,0.33881578947368424,27,309,0.5937116829312244,0.3163716814159292,0.8411764705882353,0.8315595975232198,0.6611842105263158,0.5,603,143,0.8678373382624769,88.12391670052928,0.5902578796561605,0.08333333333333333,67,76,0.5937116829312244,0.5754189944134078,0.6058823529411764,0.8315595975232198,0.9166666666666666,0.7006774322688579,836,103,88.95052428346214,15.963199849077823,1.1119386955772694,137.5732276951459,38.78759080358736,104.92330324520542,2.3581064786333776,30,triline_transformer,16.959746669561884,3.080861388740133,136.59799156547655,triline_transformer_4l_k30,triline,4,38.82730103971229,102.46640907308279,825606,4.62077922077922,4.62077922077922,4.593848466873169,setup_10km,10.0,3.6944956769473465,0.15711645781993866,1082,0.17791128158569336,4328
1,2.1153738595083396,full,2.1153738595083396,0.8928571428571429,0.645879732739421,0.07013396375098503,70,89,0.6951996164015565,0.6196581196581197,0.6744186046511628,0.8774167537156157,0.929866036249015,0.5,1180,145,0.9184636118598383,80.33456470201325,0.6824146981627296,0.028368794326241134,85,36,0.6951996164015565,0.7831325301204819,0.6046511627906976,0.8774167537156157,0.9716312056737588,0.6322209018468857,1233,130,80.76899685811243,13.501030584046505,0.8078201806387191,121.4525844942996,32.23788985613938,84.67035252340439,2.1041726258714286,7,triline_lstm,14.262169081581607,2.152028983609788,120.94136942853535,triline_lstm_2l_k7,triline,2,32.38869061433144,84.02047340804101,292870,4.207017543859649,4.207017543859649,0.8275227546691895,setup_10km,10.0,3.0678703752042984,0.14487870037555695,1484,0.19204851984977722,5936
