mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,model,best_epoch,best_val_loss,train_samples,test_samples,params,k,weather,runtime_seconds,model_name
26.341398239135742,15.204843521118164,59.91670227050781,90.95735168457031,15.142306327819824,65.52082824707031,92.37252807617188,69.82453918457031,53.06483459472656,149.60006713867188,184.1869659423828,15.030864715576172,79.24476623535156,92.1770248413086,0.6500000000000001,445,153,2100,199,0.8784949948222299,0.7441471571906354,0.6909937888198758,0.9320905459387483,0.71658615136876,0.06790945406125166,triline_lstm_2l_k7,6,2.377445843288065,9419,2897,341956,7,with_weather,30.76161813735962,triline_lstm_2l
22.1937313079834,8.599166870117188,54.04380416870117,92.97370147705078,9.959623336791992,64.99412536621094,94.60482025146484,67.94007110595703,47.21155548095703,148.42489624023438,182.36279296875,10.344618797302246,80.6198959350586,94.9608383178711,0.7000000000000001,425,171,2082,219,0.8653779772178115,0.7130872483221476,0.6599378881987578,0.9241011984021305,0.6854838709677419,0.0758988015978695,triline_lstm_4l_k7,9,2.4564714677012045,9419,2897,2235460,7,with_weather,89.46219825744629,triline_lstm_4l
19.085494995117188,3.4164950847625732,61.2563591003418,93.1463851928711,5.740484237670898,65.77230834960938,92.97049713134766,65.8373794555664,51.685081481933594,144.30099487304688,178.0918426513672,5.39998197555542,78.45695495605469,92.55734252929688,0.55,465,191,2062,179,0.8722816706938212,0.7088414634146342,0.7220496894409938,0.9152241455836663,0.7153846153846154,0.08477585441633377,triline_lstm_6l_k7,5,2.4816981320715295,9419,2897,12842308,7,with_weather,105.61460018157959,triline_lstm_6l
24.45731544494629,11.564512252807617,63.1300048828125,98.28327941894531,12.114031791687012,67.63963317871094,94.34735107421875,70.09856414794922,58.229148864746094,142.14544677734375,177.043701171875,13.08144474029541,79.44229125976562,91.52501678466797,0.55,432,146,2107,212,0.876423886779427,0.7474048442906575,0.6708074534161491,0.9351975144252108,0.707037643207856,0.06480248557478917,triline_transformer_v2_k7,14,2.4848977796036413,9419,2897,3291460,7,with_weather,121.52793836593628,triline_transformer_v2
23.657541275024414,11.088807106018066,59.685115814208984,92.15819549560547,11.923178672790527,64.7095947265625,93.14781188964844,66.93352508544922,51.07557678222656,147.13706970214844,182.7338104248047,11.41070556640625,78.70230865478516,93.38923645019531,0.6500000000000001,459,180,2073,185,0.8740075940628236,0.7183098591549296,0.7127329192546584,0.9201065246338216,0.7155105222135619,0.07989347536617843,triline_transformer_v3_k7,2,2.482124310589923,9419,2897,3391300,7,with_weather,88.68062567710876,triline_transformer_v3
29.21478843688965,18.409914016723633,67.78145599365234,95.99906158447266,18.32605743408203,67.30844116210938,91.98694610595703,79.11173248291016,68.53630065917969,147.6169891357422,179.53118896484375,18.579299926757812,84.11029815673828,91.7707290649414,0.8,401,108,2145,243,0.8788401794960303,0.787819253438114,0.6226708074534162,0.952063914780293,0.6955767562879445,0.047936085219707054,triline_transformer_v3_alibi_k7,11,2.4606575720632,9419,2897,3389252,7,with_weather,108.19760608673096,triline_transformer_v3_alibi
28.62795639038086,17.370269775390625,63.34892654418945,97.47550201416016,17.325876235961914,67.45484161376953,91.65755462646484,73.29612731933594,57.82142639160156,149.75341796875,182.40673828125,16.90959358215332,81.71918487548828,91.99942016601562,0.7000000000000001,410,132,1888,178,0.8811349693251533,0.7564575645756457,0.6972789115646258,0.9346534653465347,0.7256637168141593,0.06534653465346535,triline_lstm_2l_k14,7,2.3872932027454024,8611,2608,341956,14,with_weather,50.859561920166016,triline_lstm_2l
21.416259765625,6.936169624328613,58.794002532958984,100.94732666015625,7.491674900054932,69.2524185180664,98.83304595947266,71.44983673095703,51.385101318359375,162.260986328125,193.88162231445312,7.983119010925293,84.86875915527344,99.84437561035156,0.6000000000000001,413,139,1881,175,0.879601226993865,0.7481884057971014,0.7023809523809523,0.9311881188118812,0.724561403508772,0.06881188118811882,triline_lstm_4l_k14,6,2.410968607920079,8611,2608,2235460,14,with_weather,80.29297757148743,triline_lstm_4l
20.88808250427246,5.119811058044434,56.4182243347168,105.28395080566406,6.7746710777282715,69.37293243408203,101.01024627685547,67.32485961914062,41.797203063964844,158.78379821777344,195.9482421875,7.162357807159424,84.49819946289062,101.8025894165039,0.55,420,175,1845,168,0.8684815950920245,0.7058823529411765,0.7142857142857143,0.9133663366336634,0.7100591715976331,0.08663366336633663,triline_lstm_6l_k14,7,2.407920651640629,8611,2608,12842308,14,with_weather,124.93344593048096,triline_lstm_6l
26.2479305267334,13.857001304626465,60.55917739868164,98.65021514892578,13.997598648071289,68.33240509033203,94.6982192993164,69.0551986694336,51.321773529052734,149.1949005126953,180.8429718017578,13.595012664794922,80.48004150390625,94.24134063720703,0.7000000000000001,424,171,1849,164,0.8715490797546013,0.7126050420168067,0.7210884353741497,0.9153465346534654,0.716821639898563,0.08465346534653466,triline_transformer_v2_k14,29,2.430690970157553,8611,2608,3293252,14,with_weather,158.49131560325623,triline_transformer_v2
