individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Angela / DER AY470 (eobs 4001),2019-01-01,15.668335125,17.630768,12.003571,0.716700470625,113.5964728125,1026.828275,1030.29093125,0.0,0.190124509875,117.8537599375,16,10.8263404615143,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-02,13.4289855,16.524078,10.333893,1.405766765,224.96191499999998,1022.0453150000001,1026.76495,0.0,0.0,204.8716785,2,11.294799064590716,0.0113888888888888
Angela / DER AY470 (eobs 4001),2019-01-04,14.810111090909091,16.627106,11.829498,2.035019409090909,43.433915727272726,1024.8696545454548,1028.7978727272728,0.0,0.0005146373386363637,461.93665645454547,22,10.717100199100608,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-05,13.02185311923077,16.79654,7.0672913,2.3187455423076924,32.64067596153846,1027.031276923077,1031.3777192307693,0.0,0.00036621092307692306,267.64544184615386,26,11.298160049571406,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-06,13.634567228125,17.24942,3.1229553,1.635977313125,94.99024621875,1025.497634375,1029.060184375,0.0,0.0,220.9277839375,32,11.104639155029004,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-07,14.183461291666667,16.810211,9.565582,1.0625867720833333,104.53093982166666,1023.6142220833334,1027.0897916666665,0.0,0.0,263.29971072916663,24,10.971979765399503,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-08,13.759277374999998,16.53653,8.769684,1.9445430625000002,107.615474875,1023.2183558333332,1026.6941541666667,0.0,0.003173828125,282.91505308333336,24,10.795595707238109,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-09,14.883146,17.741364,9.117828,1.9623875518518519,202.68466970370372,1015.7057851851852,1019.139861111111,0.0,0.0,266.1446906296296,27,10.774543600421385,0.3352777777777778
Angela / DER AY470 (eobs 4001),2019-01-10,13.758624366666668,16.288483,8.783112,3.428790546666667,44.7689513,1014.7674273333334,1018.2259733333334,0.0,0.0,447.93961466666667,30,10.418632501626048,0.3397222222222222
Angela / DER AY470 (eobs 4001),2019-01-11,11.510770666666668,13.659576,8.130035,4.165566673333333,46.35171343333333,1021.285316,1024.7955933333333,0.0,0.042031860299999994,518.1533536666667,30,10.634978688672255,0.3352777777777778
Angela / DER AY470 (eobs 4001),2019-01-12,9.190918005263159,15.625885,3.5352478,3.415188738596491,40.645976771929824,1023.9029026315789,1027.4327578947368,0.0,0.038316692771929825,325.06011701754386,57,10.634391904258909,0.3397222222222222
