epoch,train_loss,train_fly_loss,train_movement_class_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,epoch_fly_threshold,epoch_mean_error_km,epoch_migration50_error_mean_km,epoch_stationary_error_mean_km,epoch_gated_mean_error_km,balanced_checkpoint_accepted,balanced_checkpoint_score,balanced_checkpoint_reason,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,4.020162555891831,0.9145975122931701,0.913485507434535,2.668363207529126,0.4176609051744914,2.0190050133927926,0.4176609051744914,3.3708043730269948,1.3540166207848052,2.5071968285688797,2.5256908105430433,0.8367824923247099,16.591853667567023,92.40084271242058,7.807244309593251,14.504454562135628,False,inf,mean_error_too_high,0.6413301662707838,0.4963235294117647,0.9060402684563759,0.001
2,2.7956752713257145,0.7152507611038722,0.6880147303790817,1.7369859914260117,0.34286972841837837,1.5522452654270584,0.34286972841837837,2.610934576323378,1.354016620498615,2.317926931240358,2.2948845890811485,0.8179875463247299,15.691580623999062,87.11337109644708,7.493160957432994,14.111879732291683,False,inf,mean_error_too_high,0.6407766990291263,0.5019011406844106,0.8859060402684564,0.001
3,2.683235956735338,0.6855383941671525,0.674957681797438,1.6599105713550184,0.3380951269951994,1.4994865923597103,0.3380951269951994,2.5228119767603783,1.3540166208288347,2.225491555790077,2.049058742678148,0.6675177830271423,14.492451451423996,95.94784095247772,5.55655662537827,13.48953874228395,False,inf,mean_error_too_high,0.6772486772486772,0.5589519650655022,0.8590604026845637,0.001
4,2.5503449641216274,0.6512696821713821,0.6627163022839131,1.5771075250919726,0.31257740182394467,1.3752910040532234,0.31257740182394467,2.3485284495771976,1.3540166209168931,2.3120430431478662,2.273327191083787,0.7115502940956503,15.231184762207683,86.2299983898954,7.1056778853690155,13.793722800638935,False,inf,mean_error_too_high,0.6093023255813954,0.46619217081850534,0.8791946308724832,0.001
5,2.4592684549858257,0.6376055170569503,0.6506115421694071,1.5067642488858266,0.30449153557488573,1.370587017595603,0.30449153557488573,2.32309122596311,1.35401662080682,2.1785770578961956,2.0192830668242325,0.8299332424951718,14.248921649354962,92.6688165446419,5.594653764235413,13.33450689767466,True,13.33450689767466,accepted,0.6786632390745502,0.55,0.8859060402684564,0.001
6,2.3757452266918544,0.613982631592209,0.6456262408861493,1.4582201094288354,0.2842718854532788,1.299886029975236,0.2842718854532788,2.2174111458293178,1.354016620300483,2.252573812729851,1.9943536211856183,0.4921434673015029,13.979328331356202,92.88757106643,5.237976094918026,13.168924658657945,True,13.168924658657945,accepted,0.7538940809968847,0.7034883720930233,0.8120805369127517,0.001
7,2.295722365775597,0.596297506656453,0.636129994614743,1.4008707793245465,0.2790431734542547,1.2794413698567138,0.2790431734542547,2.174292981239347,1.35401662080682,2.336141259138482,2.3277742901440033,0.863511381931603,15.97742124814713,85.78650074153312,7.977598332449834,13.893841597374982,False,inf,mean_error_too_high,0.5967365967365967,0.45714285714285713,0.8590604026845637,0.001
8,2.218928498728674,0.5626506940809973,0.6282095673782123,1.3696793666066445,0.2590920610138364,1.2806910931898947,0.2590920610138364,2.1299402150200786,1.3540166203665271,2.168954612585431,1.9734669541678718,0.7785124886780976,14.615681295852262,90.7994296228753,5.996487072760814,13.808043084195075,False,inf,mean_error_too_high,0.7019498607242339,0.6,0.8456375838926175,0.001
9,2.1803199374444597,0.5555430796888287,0.6189368499282984,1.3383680388978094,0.2633492255172351,1.2167380777202264,0.2633492255172351,2.058689977675814,1.3540166204105564,2.2341533066426984,2.1610472353733803,0.8955715153471102,15.773030162826231,90.45500543324404,7.116640565061147,14.325075860078805,False,inf,mean_error_too_high,0.6252983293556086,0.48518518518518516,0.8791946308724832,0.001
10,2.0362673237713422,0.5197355449254714,0.60655603484764,1.2479792201508004,0.23382708126212973,1.151289367191459,0.23382708126212973,1.9395774614998067,1.3540166202784685,2.2759819266715113,2.118429386457277,0.8351217948528938,15.062137731200076,93.08210321126059,6.255568023268406,13.94923430424977,False,inf,mean_error_too_high,0.625615763546798,0.49416342412451364,0.8523489932885906,0.001
11,1.9847607221189518,0.48480764398504383,0.5975276424173723,1.2324982378181217,0.2361458615307883,1.1373052693910326,0.2361458615307883,1.8895677729876967,1.3540166206967468,2.1870390558876704,2.018185769437511,0.7803093337704194,13.986262362279396,93.17984560526126,5.374706441516277,13.06036568934807,True,13.06036568934807,accepted,0.649874055415617,0.5201612903225806,0.8657718120805369,0.001
12,1.8856537542845073,0.4637536335409733,0.5863848234202613,1.1601730634411065,0.23026168979326003,1.1008190842656658,0.23026168979326003,1.8262997600400437,1.3540166208508493,2.308121822081077,2.079416388422911,0.7297461051808205,14.015748040704146,92.33061178219485,5.376188261810832,13.184523659301254,True,13.184523659301254,accepted,0.654353562005277,0.5391304347826087,0.8322147651006712,0.001
13,1.8171495322045197,0.439948036410912,0.5773176076339552,1.1223187809505621,0.22110663285876245,1.048689554635838,0.22110663285876245,1.7435203058897955,1.3540166209609223,2.297179320362153,2.110545446108504,0.7745754340104758,14.044946062562031,87.22226494053837,5.786994435045526,13.254854543210989,True,13.254854543210989,accepted,0.6827956989247311,0.5695067264573991,0.8523489932885906,0.0005
14,1.5677984642079883,0.3611086263991239,0.5502828116892448,0.9714561120294798,0.19532610993636282,0.9370943332532986,0.19532610993636282,1.5334366995211783,1.3540166209829372,2.311977578054679,2.0831894413231042,0.8755081528966548,14.049113652280447,94.00582467401587,5.3081714923431225,13.148769959098743,True,13.148769959098743,accepted,0.6614173228346457,0.5431034482758621,0.8456375838926175,0.0005
15,1.4825369763132168,0.33258167674226663,0.540122367932856,0.9200033814513012,0.18984262648409203,0.889705255663406,0.18984262648409203,1.452238852363544,1.3540166209389077,2.35582353234115,2.187720603041318,0.8165713957647677,14.33909814951271,89.8854375918819,5.8764956368322645,13.495393601334712,True,13.495393601334712,accepted,0.6648936170212767,0.5506607929515418,0.8389261744966443,0.0005
16,1.3727024589328995,0.3053401566828607,0.527367892588935,0.844788674172272,0.1814633333341787,0.8193264628161133,0.1814633333341787,1.3472402644839863,1.354016620300483,2.5246939976070975,2.314862503434918,0.811564459150195,14.687929989494668,95.41489943712934,5.73739400991333,13.710796321173873,False,inf,mean_error_too_high,0.6815642458100559,0.583732057416268,0.8187919463087249,0.0005
17,1.3340027373473289,0.2895688463556249,0.5216771924814909,0.8321007931111372,0.1638276219367981,0.8160070826142118,0.1638276219367981,1.3179090395308377,1.35401662019041,2.52216827288336,2.3403428118549385,0.777378453054189,14.280447035197756,92.43949254890103,5.733390362455339,13.353951991436675,True,13.353951991436675,accepted,0.6560846560846562,0.5414847161572053,0.8322147651006712,0.0005
18,1.2572362060582098,0.2542605752897615,0.5106812420093892,0.7928753064609961,0.16486003360094456,0.7822286293997549,0.16486003360094456,1.2465895388595285,1.354016620322498,2.648433796588216,2.4862208556565437,0.8237704304043746,14.64733447165456,90.08204385792136,6.357117591855994,13.74604396541944,False,inf,mean_error_too_high,0.6363636363636364,0.5101214574898786,0.8456375838926175,0.00025
19,1.1629036035784284,0.22599856577201344,0.5003874859596333,0.7335135839212193,0.15658916971084705,0.7258577060171112,0.15658916971084705,1.1552477263787886,1.3540166203665271,2.69700759658081,2.4282019018598637,0.7588347857187909,14.0899281572074,93.74776211344522,5.3514187011544205,13.461432975721776,True,13.461432975721776,accepted,0.7,0.6230366492146597,0.7986577181208053,0.00025
20,1.0815118320540817,0.20784155450836994,0.4838514221341986,0.6762714181030006,0.1528720115002723,0.6735992140717123,0.1528720115002723,1.078839632524788,1.354016620322498,2.8327746010953603,2.53937971574341,0.8439710652191433,14.225838088059799,95.55509093353638,5.3327284830456465,13.499716580999866,True,13.499716580999866,accepted,0.6918604651162791,0.6102564102564103,0.7986577181208053,0.00025
21,1.0560915764679208,0.19949817339909484,0.47842567045712847,0.6648403193591814,0.14429332661551672,0.6606686500190918,0.14429332661551672,1.0519199071278311,1.3540166203665271,2.7631465758319442,2.5478948398742225,0.7642807237697979,15.00822874325212,94.77033326310618,6.1947618868725565,14.178957678994554,False,inf,mean_error_too_high,0.6703910614525139,0.5741626794258373,0.8053691275167785,0.00025
22,1.0276957710033638,0.19403702849496435,0.4712498716755477,0.6416838596181966,0.14832482238335404,0.6441045238921077,0.14832482238335404,1.0301164387996178,1.354016620872864,2.821407606189677,2.580410066348235,0.7594524776589605,14.499921657594824,92.67026377557677,5.861681933226479,13.769286722862493,False,inf,mean_error_too_high,0.6837606837606838,0.594059405940594,0.8053691275167785,0.00025
23,0.978921455260459,0.17174052001043316,0.46624072106040854,0.6206219374803295,0.13999764458830996,0.6238562788329296,0.13999764458830996,0.9821557985118221,1.3540166203885418,2.833310276578061,2.607363052170949,0.8894578237537871,14.738954768402051,94.49381709159144,5.9506920535930865,13.805028532921293,False,inf,mean_error_too_high,0.6797752808988764,0.5845410628019324,0.8120805369127517,0.000125
24,0.9222373903953468,0.16039198399250526,0.46064427845035566,0.5821354997565321,0.12909767239432807,0.5848451325712882,0.12909767239432807,0.9249470170845285,1.3540166207848052,2.892477573637068,2.6472614153097087,0.8395339620902451,15.165776905282266,96.91673582077254,6.148569716135263,14.358708157441528,False,inf,mean_error_too_high,0.6799999999999999,0.5920398009950248,0.7986577181208053,0.000125
25,0.932860742931771,0.16193324886640795,0.45762300912363046,0.5915334642979136,0.12997655181123058,0.5997203209063353,0.12997655181123058,0.9410476009491298,1.354016620872864,2.8915055477812865,2.638361525852536,0.6946688020415058,14.591355964982547,93.59909268408474,5.871199610123302,13.85874332711764,False,inf,mean_error_too_high,0.6781609195402298,0.592964824120603,0.7919463087248322,0.000125
26,0.9147811261900904,0.15429088501939042,0.45453649790113104,0.5780686657184378,0.13757490511993953,0.5808087477283355,0.13757490511993953,0.917521208199988,1.3540166207627906,2.9290999429440743,2.692639264257479,0.8196391040511661,14.919363210455625,94.29123241926024,6.129250437790776,14.069917282706449,False,inf,mean_error_too_high,0.6685714285714286,0.582089552238806,0.785234899328859,0.000125
27,0.8839013506060712,0.14605303582006984,0.4493618310983822,0.560807980339723,0.12939976037704384,0.5756920712916584,0.12939976037704384,0.8987854415580067,1.3540166210049518,2.95332800866582,2.6830411196811514,0.7597312661977776,14.537322420440587,94.49610348815627,5.7512587484187945,13.763710426304955,False,inf,mean_error_too_high,0.6761363636363635,0.5862068965517241,0.7986577181208053,0.000125
28,0.8507817361053227,0.14026663199356057,0.44500633241507265,0.5382121646833552,0.12210271317762901,0.5449244576918231,0.12210271317762901,0.8574940277048535,1.3540166206967468,3.0697423837737814,2.800742243734385,0.7347588308737955,15.14145837937366,96.40915617758353,6.112889366270303,14.376434421498615,False,inf,mean_error_too_high,0.6820809248554913,0.5989847715736041,0.7919463087248322,6.25e-05
