accuracy,balanced_accuracy,best_epoch,best_test_loss,f1,false_negative_rate,false_positive_rate,feature_columns,final_test_loss,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fly_threshold_km,fn,fp,group_column,identity_column,k,model,n_features,pos_weight,pr_auc,precision,raw_pos_weight,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples,use_bird_id
0.9201121233356693,0.8277820217011724,17,1.7182262129272374,0.7205882352941178,0.3033175355450237,0.04111842105263158,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7182262129272374,0.8927820602662929,0.843081582065353,0.6805845511482255,0.22748815165876776,0.08634868421052631,48,105,0.7292455141155129,0.6082089552238806,0.7725118483412322,0.9114063669244201,0.9136513157894737,0.5,1111,163,10.0,64,50,path_id,source_individual_local_identifier,10,compact_with_bird_id,10,4.2559852670349905,0.7292455141155129,0.7461928934010152,4.2559852670349905,0.6966824644549763,0.9114063669244201,0.6951232175901533,0.9588815789473685,chronological,0.14786264300346375,1427,0.6951232175901533,1166,147,0.19025927782058716,5708,True
0.8927820602662929,0.7857638705241445,17,1.939247241952491,0.6765327695560254,0.38223938223938225,0.046232876712328765,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.939247241952491,0.8521373510861948,0.8075101153012112,0.6441821247892074,0.2625482625482625,0.12243150684931507,68,143,0.7016225112059912,0.5718562874251497,0.7374517374517374,0.8809931506849316,0.877568493150685,0.5,1025,191,10.0,99,54,path_id,source_individual_local_identifier,10,compact_with_bird_id,10,4.499036608863198,0.7016225112059912,0.7476635514018691,4.499036608863198,0.6177606177606177,0.8809931506849316,0.772030735015868,0.9537671232876712,stratified,0.181499645113945,1427,0.772030735015868,1114,160,0.18185003101825714,5708,True
0.9144,0.8442854197128182,13,1.9320499267578124,0.7383863080684597,0.25980392156862747,0.05162523900573614,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.9320499267578124,0.9136,0.8457803771604244,0.7378640776699028,0.2549019607843137,0.05353728489483748,52,56,0.7404864542443303,0.7307692307692307,0.7450980392156863,0.9121349304540172,0.9464627151051626,0.5,990,152,10.0,53,54,path_id,source_individual_local_identifier,20,compact_with_bird_id,10,4.4873765093304065,0.7404864542443303,0.7365853658536585,4.4873765093304065,0.7401960784313726,0.9121349304540172,0.5096258882433176,0.9483747609942639,chronological,0.1632000058889389,1250,0.5096258882433176,992,151,0.182236447930336,4999,True
0.8752,0.7888927216281476,17,2.1531640739440916,0.6517857142857143,0.3452914798206278,0.07692307692307693,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",2.1531640739440916,0.8408,0.7977980185223189,0.620952380952381,0.26905829596412556,0.13534566699123662,60,139,0.6563963617982115,0.5397350993377483,0.7309417040358744,0.8627811423406587,0.8646543330087634,0.5,888,163,10.0,77,79,path_id,source_individual_local_identifier,20,compact_with_bird_id,10,4.604260089686099,0.6563963617982115,0.6488888888888888,4.604260089686099,0.6547085201793722,0.8627811423406587,0.6579182970523835,0.9230769230769231,stratified,0.17839999496936798,1250,0.6579182970523835,948,146,0.17843568325042725,4999,True
0.9177449168207024,0.8243808049535604,9,2.002093861151535,0.7244582043343653,0.31176470588235294,0.039473684210526314,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",2.002093861151535,0.8974121996303143,0.8314628482972137,0.6925207756232687,0.2647058823529412,0.07236842105263158,45,66,0.731362983594137,0.6544502617801047,0.7352941176470589,0.9020704334365325,0.9276315789473685,0.5,846,125,10.0,53,36,path_id,source_individual_local_identifier,30,compact_with_bird_id,10,4.62077922077922,0.731362983594137,0.7647058823529411,4.62077922077922,0.6882352941176471,0.9020704334365325,0.7057417543977499,0.9605263157894737,chronological,0.15711645781993866,1082,0.7057417543977499,876,117,0.17791128158569336,4328,True
0.8770794824399261,0.7974975010709695,10,2.0734224870332727,0.6563307493540051,0.324468085106383,0.08053691275167785,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",2.0734224870332727,0.8243992606284658,0.8034235327716692,0.6041666666666666,0.22872340425531915,0.1644295302013423,43,147,0.6670484498192069,0.4965753424657534,0.7712765957446809,0.8714717502022944,0.8355704697986577,0.5,747,145,10.0,61,72,path_id,source_individual_local_identifier,30,compact_with_bird_id,10,4.75531914893617,0.6670484498192069,0.6381909547738693,4.75531914893617,0.675531914893617,0.8714717502022944,0.6510899197310209,0.9194630872483222,stratified,0.1737523078918457,1082,0.6510899197310209,822,127,0.1737523078918457,4328,True
0.9235836627140975,0.8322725418196655,10,1.9187778212493274,0.7339449541284404,0.2982456140350877,0.037209302325581395,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.9187778212493274,0.9038208168642952,0.8314769481844145,0.694560669456067,0.2719298245614035,0.06511627906976744,31,42,0.7245711166574307,0.664,0.7280701754385965,0.8733850129198967,0.9348837209302325,0.5,603,83,10.0,34,24,path_id,source_individual_local_identifier,50,compact_with_bird_id,10,4.679775280898877,0.7245711166574307,0.7692307692307693,4.679775280898877,0.7017543859649122,0.8733850129198967,0.7624141672626138,0.9627906976744186,chronological,0.15019762516021729,759,0.7624141672626138,621,80,0.17606329917907715,3033,True
0.8880105401844532,0.7768191268191268,16,2.016518043121016,0.6502057613168724,0.3923076923076923,0.05405405405405406,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",2.016518043121016,0.8642951251646904,0.7777669071786719,0.6199261992619927,0.35384615384615387,0.09062003179650238,46,57,0.6926527912165137,0.5957446808510638,0.6461538461538462,0.8595328360034242,0.9093799682034976,0.5,572,84,10.0,51,34,path_id,source_individual_local_identifier,50,compact_with_bird_id,10,4.855212355212355,0.6926527912165137,0.6991150442477876,4.855212355212355,0.6076923076923076,0.8595328360034242,0.6934846449643374,0.9459459459459459,stratified,0.1712779998779297,759,0.6934846449643374,595,79,0.1707880049943924,3033,True
0.9194113524877365,0.8332462895984036,,,0.7228915662650603,0.2890995260663507,0.044407894736842105,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8934828311142257,0.8415342822399601,0.680672268907563,0.23222748815165878,0.08470394736842106,49,103,0.713666060519832,0.6113207547169811,0.7677725118483413,0.8871952170117235,0.915296052631579,0.5,1113,162,,61,54,path_id,source_individual_local_identifier,10,logistic_regression_balanced,10,,0.713666060519832,0.7352941176470589,,0.7109004739336493,0.8871952170117235,0.6388148485543264,0.9555921052631579,chronological,0.14786264300346375,1427,0.6388148485543264,1162,150,0.19025927782058716,5708,
0.9215136650315346,0.8266459060863058,,,0.7227722772277227,0.3080568720379147,0.038651315789473686,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9215136650315346,0.7933516774756797,0.6972972972972973,0.3886255924170616,0.024671052631578948,82,30,0.7585173475211293,0.8113207547169812,0.6113744075829384,0.911499906460464,0.975328947368421,0.5,1186,129,,65,47,path_id,source_individual_local_identifier,10,random_forest_balanced,10,,0.7585173475211293,0.7564766839378239,,0.6919431279620853,0.911499906460464,0.3800998133460731,0.9613486842105263,chronological,0.14786264300346375,1427,0.3800998133460731,1169,146,0.19025927782058716,5708,
