path_id,model,with_mean_rollout_error_km,without_mean_rollout_error_km,with_minus_without_mean_km,without_minus_with_mean_km,with_final_rollout_error_km,without_final_rollout_error_km,with_minus_without_final_km
Angela_DER_AY470_eobs_4001__2022__southbound_01,direct,85.87211993614255,97.23978135092295,-11.3676614147804,11.3676614147804,69.34237327157129,68.03693765318314,1.3054356183881453
Angela_DER_AY470_eobs_4001__2023__southbound_01,direct,9.20361361772138,4.334925540040403,4.868688077680978,-4.868688077680978,12.936269937965385,10.812195255279857,2.124074682685528
Baunach_1_9698_ABR25__2023__southbound_01,direct,13.157142440743565,13.613908586238749,-0.4567661454951839,0.4567661454951839,0.9330773630093292,0.7590103640823442,0.17406699892698496
Baunach_2_plus_9704_ABR20__2023__southbound_01,direct,10.043798635360629,10.223404866672327,-0.1796062313116984,0.1796062313116984,10.112148941130965,9.861557599041362,0.2505913420896029
Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,direct,18.298033781621218,19.83032216296833,-1.5322883813471115,1.5322883813471115,1.041699851902019,0.7915191944954595,0.2501806574065596
Bembo_Sparky_DER_AU891_eobs_3042__2023__southbound_01,direct,45.35051043733188,48.00299070402468,-2.6524802666928053,2.6524802666928053,2.1008851432629885,2.6922205850332026,-0.5913354417702141
Ed_plus_AAL16_e-obs_7210__2021__southbound_01,direct,18.13525855769312,17.33263898167426,0.8026195760188592,-0.8026195760188592,0.4000655460787606,1.432821708380568,-1.0327561623018076
Elfie_plus_DER_AU860_eobs_4408__2021__southbound_01,direct,6.39215278311729,6.045888140775007,0.34626464234228305,-0.34626464234228305,14.705680662955936,16.448444718737882,-1.7427640557819455
Europa_DER_A1A26_eobs_4004__2021__southbound_01,direct,4.400933028760872,4.76954355689572,-0.3686105281348482,0.3686105281348482,7.383870514368823,8.927705792414535,-1.5438352780457123
Europa_DER_A1A26_eobs_4004__2022__southbound_01,direct,3.775851743924112,4.873330935527092,-1.0974791916029805,1.0974791916029805,1.1597843495307032,2.66272097229883,-1.502936622768127
Europa_DER_A1A26_eobs_4004__2023__southbound_01,direct,5.595411030442395,5.32494524374752,0.2704657866948743,-0.2704657866948743,9.232991770713117,10.162930825298895,-0.9299390545857786
Frensdorf_3_plus_12173_ABR24__2023__southbound_01,direct,3.210877006511647,1.561411793319047,1.6494652131926002,-1.6494652131926002,2.9658507170818487,0.8942123868071268,2.071638330274722
Loriana_plus_A3M19_e-obs_7990__2021__southbound_01,direct,3.5600052455577136,3.4062459013741133,0.15375934418360027,-0.15375934418360027,12.897640132220364,13.439671053121124,-0.5420309209007605
Louis_DER_AU050_eobs_3264__2021__southbound_01,direct,1.3336589978799578,1.3379141479820391,-0.004255150102081329,0.004255150102081329,1.274987962888383,1.3213738177605776,-0.04638585487219471
Louis_DER_AU050_eobs_3264__2022__southbound_01,direct,1.5644446305605262,0.7476533347025409,0.8167912958579853,-0.8167912958579853,1.5644446305605262,0.7476533347025409,0.8167912958579853
Moenchsambach_4_12183_ABR27__2023__southbound_01,direct,9.336721823108748,9.20648090308988,0.13024092001886878,-0.13024092001886878,1.2118860031795662,0.3890337741181387,0.8228522290614275
Rosalie_DER_A2M38_e-obs_6993__2021__southbound_01,direct,15.157213720132122,15.57940688392982,-0.422193163797699,0.422193163797699,8.971284630928423,10.40404901083753,-1.4327643799091074
Rosalie_DER_A2M38_e-obs_6993__2022__southbound_01,direct,37.35000463637548,38.21911921180739,-0.8691145754319081,0.8691145754319081,2.7145165238147464,0.2953975431242123,2.419118980690534
Rosalie_DER_A2M38_e-obs_6993__2023__southbound_01,direct,17.09784165002513,14.027887906867164,3.069953743157967,-3.069953743157967,0.9756921773669665,0.7918661116105009,0.18382606575646554
Rudolph_plus_A3M22_e-obs_8046__2021__southbound_01,direct,3.122271704365577,6.558950470250129,-3.436678765884552,3.436678765884552,5.552365122010052,15.137142810659409,-9.584777688649357
Sierit_DER_AN858_eobs2561__2021__southbound_01,direct,1.714925149524407,1.0558849687557688,0.6590401807686384,-0.6590401807686384,1.4543169734507149,1.3396850187688898,0.11463195468182508
Steppach_2_12178_AEH96__2023__southbound_01,direct,4.759056718404547,3.955130221713857,0.8039264966906896,-0.8039264966906896,20.897822851996477,15.565482915992398,5.332339936004079
Steppach_3_12179_AEH97__2023__southbound_01,direct,6.92561265298973,6.804943059822365,0.12066959316736536,-0.12066959316736536,1.4547155489988772,0.5015410946276572,0.9531744543712201
Steppach_5_12185__2023__southbound_01,direct,7.650202752064731,6.508093043210949,1.1421097088537815,-1.1421097088537815,2.903850022079758,0.5225224536312126,2.3813275684485453
Wingersdorf_1_12174_A1X36__2023__southbound_01,direct,8.63171618445158,9.43868790188482,-0.8069717174332407,0.8069717174332407,0.9272073885636124,0.5068551648086349,0.4203522237549775
Wingersdorf_2_12175_AEH98__2023__southbound_01,direct,140.8836412594614,174.44478587844276,-33.56114461898136,33.56114461898136,102.675564440489,174.614273862011,-71.938709421522
Wingersdorf_3_12176_AEH99__2023__southbound_01,direct,13.149703816886994,11.51347331419613,1.6362305026908643,-1.6362305026908643,3.11424854923971,2.46867790863082,0.6455706406088901
Angela_DER_AY470_eobs_4001__2022__southbound_01,lstm,101.09710399477576,99.83604855114112,1.2610554436346462,-1.2610554436346462,46.662103306360265,32.178414916587414,14.483688389772851
Angela_DER_AY470_eobs_4001__2023__southbound_01,lstm,1.3140109987711397,1.3140109987711397,0.0,0.0,1.312399558781437,1.312399558781437,0.0
Baunach_1_9698_ABR25__2023__southbound_01,lstm,12.675490649430955,13.928024305893771,-1.2525336564628162,1.2525336564628162,0.2562502639612162,0.2562502639612162,0.0
Baunach_2_plus_9704_ABR20__2023__southbound_01,lstm,8.169648769719835,9.169271880278036,-0.9996231105582005,0.9996231105582005,7.302536859692747,6.291749329213936,1.0107875304788108
Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,lstm,15.56777569383765,16.011412336723357,-0.44363664288570703,0.44363664288570703,0.1846403122160277,0.1846403122160277,0.0
Bembo_Sparky_DER_AU891_eobs_3042__2023__southbound_01,lstm,44.917816095761474,45.32044150017974,-0.40262540441826644,0.40262540441826644,2.599931537976855,2.599931537976855,0.0
Ed_plus_AAL16_e-obs_7210__2021__southbound_01,lstm,15.488165399015886,15.483995052077956,0.004170346937929281,-0.004170346937929281,1.493866188539327,1.493866188539327,0.0
Elfie_plus_DER_AU860_eobs_4408__2021__southbound_01,lstm,5.71228223151456,5.71228223151456,0.0,0.0,16.335138361344423,16.335138361344423,0.0
Europa_DER_A1A26_eobs_4004__2021__southbound_01,lstm,4.114148092279917,3.9994675310732126,0.11468056120670456,-0.11468056120670456,8.4150557042822,8.4150557042822,0.0
Europa_DER_A1A26_eobs_4004__2022__southbound_01,lstm,4.345592250381039,4.217698434996576,0.12789381538446332,-0.12789381538446332,1.7585459657168532,1.7585459657168532,0.0
Europa_DER_A1A26_eobs_4004__2023__southbound_01,lstm,4.900230132960836,5.034429177156892,-0.13419904419605633,0.13419904419605633,9.90833206799913,9.90833206799913,0.0
Frensdorf_3_plus_12173_ABR24__2023__southbound_01,lstm,0.0096542805722418,0.0096542805722418,0.0,0.0,0.0051822148146139,0.0051822148146139,0.0
Loriana_plus_A3M19_e-obs_7990__2021__southbound_01,lstm,3.0245884189634413,3.0245884189634413,0.0,0.0,13.170621783941684,13.170621783941684,0.0
