epoch,train_loss,test_delta_mse_norm,lr
1,0.6535834841591988,1.5892403336481813,0.001
2,0.6192911849137093,1.518621604501104,0.001
3,0.6113975208238392,1.4540181731336688,0.001
4,0.5927961869821802,1.4120692194330913,0.001
5,0.5781643568825714,1.4971364611314117,0.001
6,0.5793977919224039,1.4291048916570979,0.001
7,0.5638355856198715,1.51224500000294,0.001
8,0.563974735186139,1.526855955368902,0.001
9,0.5677452396154542,1.4091668315460346,0.001
10,0.5457437771729733,1.5062730701788802,0.001
11,0.5499545367541262,1.44810251992173,0.001
12,0.5372369178301393,1.6342760979946405,0.001
13,0.5329979547306908,1.558214830840292,0.001
14,0.5255397969928024,1.5647690192413477,0.0005
15,0.510860146580223,1.5688709699394512,0.0005
16,0.4985960604989173,1.4854890491150639,0.0005
17,0.4840285441225074,1.522640212730396,0.0005
18,0.47145106745104026,1.5927075352405478,0.0005
19,0.46720047084840244,1.5347031853133184,0.00025
20,0.4474156221244867,1.6059372734986932,0.00025
21,0.43448150390504947,1.6057362657931684,0.00025
22,0.4295362022858632,1.619317330831399,0.00025
23,0.41627265129295904,1.6712199296413754,0.00025
24,0.41726061197685843,1.7145872343720103,0.000125
25,0.40341072156549457,1.654539901603219,0.000125
26,0.3859802409720994,1.726031663593339,0.000125
27,0.38729725315891733,1.6804722761449638,0.000125
28,0.3887419262188207,1.7193956423116608,0.000125
29,0.3786777306926498,1.7277189086368478,6.25e-05
30,0.37370046869745766,1.733703551391151,6.25e-05
31,0.36326813645208356,1.7565415736996324,6.25e-05
32,0.36672715722109406,1.7489116840475907,6.25e-05
33,0.36902421832624566,1.748703856912493,6.25e-05
34,0.36175642313545775,1.7485887854377185,3.125e-05
35,0.3580383038620489,1.7722471136531215,3.125e-05
36,0.35395197776943227,1.7765939601359924,3.125e-05
37,0.34279329005523695,1.7511830871090568,3.125e-05
38,0.3528934527517763,1.7888790209966203,3.125e-05
39,0.3609735660766312,1.7631805198141401,1.5625e-05
