individual_local_identifier,date,lat_median,lon_median,n_points,timestamp_min_utc,step_length_km,heading_deg,speed_km_per_day,turning_angle_deg,stopover_duration_days
Adi + / DER AU893 (eobs 3029),2016-06-14 00:00:00+00:00,48.6564536,11.4685764,17,2016-06-14T18:40:07+00:00,0.0,,0.0,,0
Adi + / DER AU893 (eobs 3029),2016-06-15 00:00:00+00:00,48.65646335,11.4685371,216,2016-06-15T02:00:23+00:00,0.003083553670150147,290.5847193790971,0.003083553670150147,,1
Adi + / DER AU893 (eobs 3029),2016-06-16 00:00:00+00:00,48.656448749999996,11.46855475,216,2016-06-16T02:00:23+00:00,0.002077577314508843,141.39022383875079,0.002077577314508843,149.19449554034634,2
Adi + / DER AU893 (eobs 3029),2016-06-17 00:00:00+00:00,48.65645645,11.46855895,216,2016-06-17T02:00:23+00:00,0.0009100848258683563,19.814711600074588,0.0009100848258683563,121.5755122386762,3
Adi + / DER AU893 (eobs 3029),2016-06-18 00:00:00+00:00,48.6564491,11.4685573,213,2016-06-18T02:00:23+00:00,0.0008262211928765679,188.43502217858605,0.0008262211928765679,168.62031057851146,4
Adi + / DER AU893 (eobs 3029),2016-06-19 00:00:00+00:00,48.656463,11.468557,215,2016-06-19T02:00:23+00:00,0.0015457686883401974,359.18319188030614,0.0015457686883401974,170.7481697017201,5
Adi + / DER AU893 (eobs 3029),2016-06-20 00:00:00+00:00,48.6564474,11.4685548,219,2016-06-20T02:00:23+00:00,0.00174215391126872,185.32218064661262,0.00174215391126872,173.86101123369352,6
Adi + / DER AU893 (eobs 3029),2016-06-21 00:00:00+00:00,48.656448,11.46855,217,2016-06-21T02:00:23+00:00,0.0003588285049624149,280.7153705159398,0.0003588285049624149,95.39318986932719,7
Adi + / DER AU893 (eobs 3029),2016-06-22 00:00:00+00:00,48.65644905,11.46854425,216,2016-06-22T02:00:23+00:00,0.00043819217785599985,285.4529324226958,0.00043819217785599985,4.737561906756014,8
Adi + / DER AU893 (eobs 3029),2016-06-23 00:00:00+00:00,48.6564498,11.4685555,217,2016-06-23T02:00:23+00:00,0.0008305372767056175,84.23707221498933,0.0008305372767056175,158.7841397922935,9
Adi + / DER AU893 (eobs 3029),2016-06-24 00:00:00+00:00,48.6564535,11.4685591,215,2016-06-24T02:00:23+00:00,0.0004890709769354757,32.72963107002721,0.0004890709769354757,51.507441144962115,10
Adi + / DER AU893 (eobs 3029),2016-06-25 00:00:00+00:00,48.656448,11.46855305,216,2016-06-25T02:00:23+00:00,0.000755977082468534,216.00327283630307,0.000755977082468534,176.72635823372414,11
Adi + / DER AU893 (eobs 3029),2016-06-26 00:00:00+00:00,48.6564518,11.4685594,219,2016-06-26T02:00:23+00:00,0.0006293579297653089,47.82596831573039,0.0006293579297653089,168.17730452057268,12
