epoch,train_loss,test_delta_mse_norm,lr
1,0.697596872186835,1.3512113752303185,0.001
2,0.5660853786677594,1.2948301488702947,0.001
3,0.5111207231558584,1.2722627470245609,0.001
4,0.47194106285764686,1.2006872451150572,0.001
5,0.43185900823885087,1.2172431821946974,0.001
6,0.4128900909394788,1.172295021739873,0.001
7,0.3779890364473833,1.1751713841766507,0.001
8,0.36160215907860616,1.211566511299703,0.001
9,0.3488093281706997,1.1870834854516117,0.001
10,0.3307640604550791,1.2066384308136904,0.001
11,0.3163481295967896,1.1594843508361221,0.001
12,0.2966442920427907,1.219797596335411,0.001
13,0.28321723586725017,1.318991165269505,0.001
14,0.2764121934838088,1.229323627886834,0.001
15,0.26304459937863656,1.2196436690819727,0.001
16,0.25435992920490674,1.2642610965224055,0.0005
17,0.22829198201424797,1.252972518081789,0.0005
18,0.21921151990189672,1.2513729922183148,0.0005
19,0.2170453108680766,1.2443305581034003,0.0005
20,0.211809245759861,1.276146549489591,0.0005
21,0.20699454504592701,1.2655159618173326,0.00025
22,0.19320687557254146,1.2588069924673477,0.00025
23,0.18667759335820286,1.2650510188821074,0.00025
24,0.1871082574625205,1.2860107760537753,0.00025
25,0.18481419747600797,1.2965452194987954,0.00025
26,0.18324076655043658,1.3204825878530353,0.000125
27,0.18017876545104175,1.2930705827939046,0.000125
28,0.1747495805617033,1.2893394158258067,0.000125
29,0.1717005275852352,1.2881517189663727,0.000125
30,0.17359635905127094,1.2898561633252479,0.000125
31,0.17236417055226805,1.2734402758734567,6.25e-05
32,0.16968365052319426,1.2791413308738113,6.25e-05
33,0.16858203346427747,1.27418614923954,6.25e-05
34,0.17132333288263413,1.2878153016427896,6.25e-05
35,0.16732189666980463,1.2843452808144804,6.25e-05
36,0.16642996686965628,1.287350774004862,3.125e-05
37,0.16698102913176777,1.2833384646997823,3.125e-05
38,0.16539767476489184,1.2855838618495248,3.125e-05
39,0.1637517040609781,1.2862117847838959,3.125e-05
40,0.16032883458949665,1.2895639035608861,3.125e-05
41,0.16466047471730244,1.2912470831886513,1.5625e-05
