accuracy,balanced_accuracy,best_epoch,best_test_loss,f1,false_negative_rate,false_positive_rate,feature_columns,final_test_loss,fly_threshold_km,fn,fp,k,model,n_features,pos_weight,pr_auc,precision,recall,roc_auc,specificity,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples,use_bird_id
0.8990825688073395,0.8833020637898688,28,1.6577218081973015,0.5056179775280899,0.1346153846153846,0.09878048780487805,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6577218081973015,30.0,14,162,10,compact_with_bird_id,10,18.31301939058172,0.663616645599623,0.35714285714285715,0.8653846153846154,0.9292800187617262,0.901219512195122,0.059633027762174606,1744,0.5,1478,90,0.05177854374051094,6972,True
0.9093298291721419,0.8074898785425101,6,1.6788484029638313,0.28865979381443296,0.3,0.08502024291497975,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.6788484029638313,30.0,12,126,20,compact_with_bird_id,10,25.68421052631579,0.27975845188924675,0.18181818181818182,0.7,0.8989203778677461,0.9149797570850202,0.026281209662556648,1522,0.5,1356,28,0.0374753437936306,6084,True
0.8366111951588502,0.762968989280245,12,1.5039787263624969,0.09243697478991596,0.3125,0.16156202143950996,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.5039787263624969,30.0,5,211,30,compact_with_bird_id,10,35.72222222222222,0.22956270940771747,0.04954954954954955,0.6875,0.7879498468606432,0.8384379785604901,0.012102873995900154,1322,0.5,1095,11,0.02723146788775921,5288,True
0.991675338189386,0.5,1,1.7518466774928583,0.0,1.0,0.0,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",1.7518466774928583,30.0,8,0,50,compact_with_bird_id,10,49.53947368421053,0.03236620346809879,0.0,0.0,0.636411332633788,1.0,0.00832466222345829,961,0.5,953,0,0.019786514341831207,3841,True
