epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,2.5277546541538776,1.2051644673635895,1.0453577527554705,0.8798146629552948,2.1153783304775904,0.8528252299605782,0.11016949152542373,0.65,0.18840579710144925,0.1417004048582996,0.001
2,2.318835405986768,1.1757538113289958,0.9894949680562869,0.7414635173746194,1.9160873471672368,0.7509855453350854,0.0794044665012407,0.8,0.14446952595936793,0.25033738191632926,0.001
3,2.3142998963496466,1.1033970535702802,0.9689229736392393,0.7936783978062817,1.9237074297455075,0.8948751642575559,0.125,0.5,0.2,0.09446693657219973,0.001
4,2.2032499231843867,1.0685042022953373,0.9497074227361284,0.7192904018477967,1.9188507605789527,0.9086727989487516,0.15384615384615385,0.55,0.24043715846994534,0.0816464237516869,0.001
5,2.0972599395398324,0.9937526764327331,0.9376560540907796,0.6627275346338083,1.740544688920937,0.8521681997371879,0.13438735177865613,0.85,0.23208191126279862,0.14777327935222673,0.001
6,2.0307929286981867,0.9165401600208195,0.8921686138156838,0.6803542328000383,1.7547626116272654,0.8633377135348226,0.1440677966101695,0.85,0.2463768115942029,0.13630229419703105,0.001
7,1.9033864814148853,0.852984266560145,0.851944742549179,0.6249496040573095,1.7238115246129881,0.9290407358738502,0.23846153846153847,0.775,0.3647058823529412,0.06680161943319839,0.001
8,1.8783702626187577,0.8510614778163165,0.8620191729829,0.5908203695868286,1.7656012413222906,0.9113009198423128,0.19745222929936307,0.775,0.3147208121827411,0.08502024291497975,0.001
9,1.776109459994264,0.8057118604286653,0.8304198175413996,0.5428336941043771,1.7635086986301136,0.9021024967148489,0.18128654970760233,0.775,0.29383886255924174,0.09446693657219973,0.001
10,1.7422891272909151,0.8027014142976319,0.808694038478894,0.5322443757458473,1.8675289429753588,0.9467805519053877,0.2696629213483146,0.6,0.37209302325581395,0.043859649122807015,0.001
11,1.6791087881974842,0.7741593565696325,0.7989821508477817,0.4930469557731109,1.6447624570436765,0.8922470433639947,0.1736842105263158,0.825,0.28695652173913044,0.10593792172739541,0.001
12,1.6357916994050958,0.7374201867237129,0.8011245640150267,0.4659570532751115,1.7498910344069953,0.90473061760841,0.18181818181818182,0.75,0.2926829268292683,0.09109311740890688,0.001
13,1.555420874452058,0.733914029903901,0.7773883485778392,0.4110755114708975,1.7336461996750199,0.9303547963206308,0.225,0.675,0.3375,0.06275303643724696,0.001
14,1.4586078916075667,0.6796743528847629,0.7469303267006808,0.3718403800587212,1.869624633043417,0.8955321944809461,0.15204678362573099,0.65,0.24644549763033174,0.09784075573549257,0.001
15,1.4902426011463594,0.712917769840875,0.7600413815196135,0.37374232978823935,1.7060387692219638,0.9231274638633377,0.21052631578947367,0.7,0.3236994219653179,0.0708502024291498,0.001
16,1.4765078135025806,0.6554073549312326,0.747820736192544,0.40098338590336036,1.7296540976040624,0.8469119579500657,0.10931174089068826,0.675,0.18815331010452963,0.1484480431848853,0.0005
17,1.3326774675700321,0.6091043502778148,0.7157909180834292,0.3123343724078994,1.767342596580415,0.9093298291721419,0.16891891891891891,0.625,0.26595744680851063,0.08299595141700405,0.0005
18,1.273370066533976,0.5620184534380579,0.7008087051142053,0.29155213111505784,1.9752714063742158,0.9303547963206308,0.21052631578947367,0.6,0.3116883116883116,0.06072874493927125,0.0005
19,1.2066087222741984,0.5401631932286821,0.6864057866700929,0.2501213435845341,1.8675739078264826,0.8955321944809461,0.15204678362573099,0.65,0.24644549763033174,0.09784075573549257,0.0005
20,1.1660461907007442,0.546575949703056,0.6775967948613866,0.21516142059595156,1.7907225499015287,0.9323258869908015,0.22123893805309736,0.625,0.3267973856209151,0.059379217273954114,0.0005
21,1.1251343848437247,0.4802801345697286,0.6629571494971507,0.2220371715102362,1.936832018578413,0.9231274638633377,0.18699186991869918,0.575,0.2822085889570552,0.06747638326585695,0.00025
