epoch,train_loss,val_loss
1,4.266431500335532,4.036895647370742
2,3.2958690547566563,3.1041807557907575
3,2.966362684864766,2.7883256432468904
4,2.8168182410702114,2.7613438331276363
5,2.6971258893133165,2.714883406469427
6,2.5493467590864523,2.6460962310159135
7,2.5022308086078073,2.494630327253985
8,2.4454841046725924,2.683298696038182
9,2.420848685625524,2.662421342054028
10,2.3910839401766086,2.718700329950251
11,2.3485478098391654,2.5559229243752415
12,2.3476391945022583,2.6034363764195354
13,2.3062559985322633,2.7051811452292225
14,2.313883168787896,2.854528292556482
15,2.3434580303819432,2.7032353446527493
16,2.2958841044483886,2.5774866291350382
17,2.311452182960931,2.560539333366909
18,2.3415137642338886,2.535663079630378
19,2.349693910514363,2.51981942346491
20,2.3670020466163146,2.5118461883872563
21,2.354454778043973,2.7084006721988048
22,2.346016781654885,2.6249508769965613
23,2.329727791338872,2.668432278135803
24,2.3177292146218695,2.577492170538639
25,2.3133954187813375,2.614862050015502
26,2.318757221543987,2.6342725066319566
27,2.314362850079566,2.507576785935946
28,2.2970514812753002,2.492391306929793
29,2.322527371802932,2.531086140615077
30,2.2847959257393207,2.537790462283269
31,2.2742272500113567,2.5046790041075164
32,2.28732309830395,2.669295482108929
33,2.267748192480502,2.5837016215353654
34,2.234014933622336,2.5551854942473895
35,2.2373346304757824,2.772080848553429
36,2.2389597590688686,2.575125625528441
37,2.2317643820125044,2.6969152454949596
38,2.214805601781398,2.5300556765012217
39,2.222328751306752,2.4846497306063133
40,2.2124736409834656,2.6384295276337606
41,2.1908649552395887,2.491588106915995
42,2.173367517139283,2.5552413214935115
43,2.170159700398328,2.4764218271875675
44,2.177531247271324,2.601445089088627
45,2.145657869155586,2.6105710194886096
46,2.179252368206901,2.5741616845862265
47,2.1647930027037297,2.6621513790879514
48,2.138079410036216,2.5142918349775067
49,2.134782027068585,2.497919022671284
50,2.137735344615773,2.4775115997513377
51,2.1732318580475933,2.4775425575993544
52,2.136961408863637,2.517262092397257
53,2.123766919016326,2.5138346051877263
54,2.121920480419155,2.5769687313243654
55,2.113518710142505,2.656579286042898
56,2.0977406717457017,2.630359327866256
57,2.113673350437498,2.7312245164180826
58,2.0913282139848683,2.6907214204226535
59,2.094687065476256,2.681156104327711
60,2.0877500507643574,2.6373281171716796
61,2.1004715865116035,2.596530270722746
62,2.091013759094281,2.577401636568315
63,2.0678724090253664,2.657005375879674
64,2.0302771675837272,2.735403547989079
65,2.0060736731831694,2.7614250300120724
66,2.0137238295121747,2.794557638694904
67,2.0278623081668443,2.6693031831753036
68,1.9837120251433524,2.664724886051716
69,1.9819849971112937,2.817640984716591
70,2.0004791042804997,3.0459177874348646
71,1.9599577414007943,2.769484611376663
72,1.9652190338290259,2.712888447784939
73,1.9469358906376557,2.64786078008406
