epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,2.4722449544238003,1.121451421811262,1.2028458919322702,0.7086733576215962,2.3061480806508197,0.8927752293577982,0.3359683794466403,0.8173076923076923,0.47619047619047616,0.1024390243902439,0.001
2,2.2184075190291894,1.0059017526371616,1.1131636841298518,0.6022929637957358,2.1049735239886362,0.8170871559633027,0.2345679012345679,0.9134615384615384,0.3732809430255402,0.18902439024390244,0.001
3,2.136009882868396,0.958610886174649,1.0741065507706595,0.5825979015092636,1.9315676995373647,0.867545871559633,0.30094043887147337,0.9230769230769231,0.4539007092198582,0.13597560975609757,0.001
4,2.010185473552054,0.8618554469845586,0.9734647916913101,0.6057929695507472,1.8973007759916674,0.9151376146788991,0.4026548672566372,0.875,0.5515151515151515,0.08231707317073171,0.001
5,1.8391919149725997,0.8064058644636157,0.9289274217066106,0.5070615449104922,1.9026080566808719,0.9214449541284404,0.42105263157894735,0.8461538461538461,0.5623003194888179,0.07378048780487804,0.001
6,1.7972479766631222,0.7967094762258261,0.9181452043358785,0.4807480306236893,1.8717207044636437,0.8887614678899083,0.33695652173913043,0.8942307692307693,0.4894736842105263,0.11158536585365854,0.001
7,1.7739218694344376,0.7779192774718476,0.8986609445449886,0.48630129080426054,1.949192392716714,0.9277522935779816,0.44660194174757284,0.8846153846153846,0.5935483870967742,0.06951219512195123,0.001
8,1.7304816518237518,0.7721673337741618,0.8830110846205956,0.46138688085821944,1.9150554171395957,0.8692660550458715,0.3037974683544304,0.9230769230769231,0.45714285714285713,0.13414634146341464,0.001
9,1.7413081215225412,0.7730227488932497,0.8935355726016094,0.46126116190706257,1.955746662726096,0.8698394495412844,0.30097087378640774,0.8942307692307693,0.450363196125908,0.13170731707317074,0.001
10,1.6796013185229715,0.7416728318113742,0.8780277780739658,0.4307371309380797,1.7959931148301571,0.9071100917431193,0.38114754098360654,0.8942307692307693,0.5344827586206896,0.09207317073170732,0.001
11,1.6559098967860229,0.7422253062378997,0.8709087150232312,0.4138885301313931,1.8231889370384566,0.9157110091743119,0.4052863436123348,0.8846153846153846,0.5558912386706948,0.08231707317073171,0.001
12,1.6037701375171225,0.7312250351570696,0.8533286295673044,0.3848289851819518,1.9668246682630766,0.8618119266055045,0.28923076923076924,0.9038461538461539,0.4382284382284382,0.14085365853658535,0.001
13,1.5840292052845126,0.7086595469894453,0.8441984942092063,0.3855009431888232,1.8054854519870303,0.8904816513761468,0.33948339483394835,0.8846153846153846,0.49066666666666664,0.10914634146341463,0.001
14,1.5898163515606354,0.7144643092251207,0.851734888977657,0.38084930244339515,1.9608639161521142,0.8916284403669725,0.33962264150943394,0.8653846153846154,0.48780487804878053,0.10670731707317073,0.001
15,1.5830757999926275,0.7012798324338472,0.8317911461448779,0.4006447363911999,1.846648535597215,0.8721330275229358,0.30363036303630364,0.8846153846153846,0.45208845208845205,0.12865853658536586,0.0005
16,1.4754146016061271,0.642155898349147,0.8165560087046949,0.33778063958052307,1.7368860135384656,0.8887614678899083,0.3381294964028777,0.9038461538461539,0.49214659685863876,0.11219512195121951,0.0005
17,1.4350351690904066,0.6315785041843005,0.7927113256438053,0.32653458391936585,1.8684254458191198,0.8830275229357798,0.32517482517482516,0.8942307692307693,0.47692307692307695,0.11768292682926829,0.0005
18,1.4229216103709708,0.6140077556609013,0.8007579506366881,0.31515977414120766,1.753120501107032,0.8767201834862385,0.31313131313131315,0.8942307692307693,0.46384039900249385,0.12439024390243902,0.0005
19,1.399315133972956,0.6204026746496824,0.7926711040670271,0.29644269872792345,1.731786841646247,0.8979357798165137,0.35546875,0.875,0.5055555555555555,0.10060975609756098,0.0005
20,1.3854653020050083,0.6097388409090945,0.7801707911888074,0.3004250821972194,1.7399444744127606,0.8790137614678899,0.3174061433447099,0.8942307692307693,0.46851385390428213,0.12195121951219512,0.0005
21,1.3671326960083814,0.6209862107048757,0.7756052548968785,0.2810343411963217,1.6942723344225403,0.9168577981651376,0.4072398190045249,0.8653846153846154,0.553846153846154,0.0798780487804878,0.0005
22,1.3711840142755076,0.6061795441774684,0.7873107061191872,0.2807835430607875,1.7766302408428367,0.8864678899082569,0.3284671532846715,0.8653846153846154,0.4761904761904762,0.11219512195121951,0.0005
23,1.3090622535192344,0.5792927610005583,0.7601410347500274,0.2592748360888957,1.6975232253380872,0.8841743119266054,0.325,0.875,0.4739583333333333,0.1152439024390244,0.0005
24,1.3361621315425931,0.58743691023779,0.7678481169083443,0.27459555867753765,1.7707432486595365,0.8744266055045872,0.3063973063973064,0.875,0.4538653366583541,0.12560975609756098,0.0005
25,1.2973369258064273,0.5657239270087159,0.7646059151428976,0.24986904680010785,1.7135360361239231,0.8658256880733946,0.29430379746835444,0.8942307692307693,0.44285714285714284,0.13597560975609757,0.0005
26,1.260563363717058,0.549790235134766,0.7469648762947516,0.23870336715339316,1.7131645351374916,0.8870412844036697,0.32967032967032966,0.8653846153846154,0.47745358090185674,0.11158536585365854,0.00025
27,1.1972700920996828,0.5273642947601301,0.7264732183633149,0.20711472658712976,1.750165380469156,0.8537844036697247,0.27596439169139464,0.8942307692307693,0.4217687074829932,0.14878048780487804,0.00025
28,1.1722597252412972,0.5037766173182721,0.7237607194511493,0.19661070106361903,1.6577218081973015,0.8990825688073395,0.35714285714285715,0.8653846153846154,0.5056179775280899,0.09878048780487805,0.00025
29,1.1616996310595733,0.5059714277824724,0.7220239101369971,0.18669000839920338,1.687615436151487,0.8962155963302753,0.34901960784313724,0.8557692307692307,0.4958217270194986,0.10121951219512196,0.00025
30,1.141142801040216,0.492089210333526,0.7171295520155442,0.17796865068012727,1.6804074869243377,0.8956422018348624,0.35,0.875,0.4999999999999999,0.10304878048780487,0.00025
31,1.115907324741985,0.48838212985248314,0.7083384723103874,0.16337778577415407,1.683861579370061,0.8853211009174312,0.3273381294964029,0.875,0.47643979057591623,0.11402439024390244,0.00025
32,1.0746472289489728,0.45647006715705046,0.6931451583346346,0.15326703935263147,1.7664360464166065,0.8881880733944955,0.33210332103321033,0.8653846153846154,0.48000000000000004,0.11036585365853659,0.00025
33,1.0725886988626152,0.4435032335287938,0.6940757638410939,0.15676131726969814,1.7891208906786158,0.8698394495412844,0.2983606557377049,0.875,0.44498777506112475,0.13048780487804879,0.000125
34,1.0305988676439943,0.42710327796052394,0.6731714147708913,0.1438758084769572,1.7849157479924893,0.8738532110091743,0.30272108843537415,0.8557692307692307,0.4472361809045226,0.125,0.000125
35,1.0308582135062072,0.4179574501322934,0.6742441032511437,0.14763539114339694,1.8010523089575112,0.8853211009174312,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.11219512195121951,0.000125
36,0.9952477886973614,0.416836516599305,0.6649872074507464,0.12184231848430853,1.8579744942691347,0.8853211009174312,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.11219512195121951,0.000125
37,1.007964755157869,0.41601096217617245,0.6663100857948067,0.13364919035241854,1.834004098122273,0.8801605504587156,0.31316725978647686,0.8461538461538461,0.45714285714285713,0.11768292682926829,0.000125
38,0.9984443815562893,0.39659443360871444,0.6627313406455126,0.13741582414916514,1.838486597078656,0.8950688073394495,0.3413654618473896,0.8173076923076923,0.481586402266289,0.1,6.25e-05
