epoch,train_loss,test_delta_mse_norm,lr
1,0.8460116317003359,2.0090382447304433,0.001
2,0.652643654571223,1.8961076613054257,0.001
3,0.5852261951361919,1.7544567439560528,0.001
4,0.534642827048099,1.7700884637462453,0.001
5,0.4711249033316226,1.7680217862790262,0.001
6,0.4198726926295021,1.8431410022672134,0.001
7,0.3678296397331682,1.8624414348778575,0.001
8,0.3247083751639685,1.8995912308613607,0.0005
9,0.26129478475082385,1.8966350061836172,0.0005
10,0.23635530515871736,1.9213501794501284,0.0005
11,0.22641202994723858,1.9379817236373253,0.0005
12,0.1976337081954131,1.9453727136918666,0.0005
13,0.18619250800880618,1.9855655945162676,0.00025
14,0.1704296571049364,1.9398263765571298,0.00025
15,0.1662140826035339,1.966670503457681,0.00025
16,0.15090643268856677,1.9461657229721436,0.00025
17,0.14686289754680698,1.9425272315795672,0.00025
18,0.14198804942825585,1.9443259741594523,0.000125
19,0.12959391951505886,1.9733046251392188,0.000125
20,0.12951819035405374,1.9410322439648529,0.000125
21,0.12633974753774688,1.968414955350696,0.000125
22,0.12718752837720948,1.962269555618935,0.000125
23,0.1262959847553821,1.990192561405203,6.25e-05
