epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,5.041982106466813,1.026503327315534,3.7900294575995024,0.4508986915577812,3.029487805001073,0.5939108638442014,4.352946581360596,1.7702677752502738,2.9238321749463214,3.328029168409294,0.5308056872037915,0.3971631205673759,0.8,0.001
2,3.5104677139997262,0.886944267525237,2.4248547185490996,0.39733745237246554,2.4402100154017257,0.5455028288197099,3.599905723525987,1.7702677746558784,2.7989836689992704,3.2752745211388548,0.5167173252279634,0.3794642857142857,0.8095238095238095,0.001
3,3.1470309697359884,0.8448255522429448,2.107882312944611,0.38864622263586973,2.101925887801751,0.5350185836561279,3.214260742516839,1.7702677744797612,2.409626252542042,2.3892036216825994,0.6554621848739497,0.5864661654135338,0.7428571428571429,0.001
4,2.8011993902211705,0.8047813984936074,1.8074058522588108,0.37802423449544476,1.7652216857159897,0.5235866385263529,2.831796404177242,1.7702677754924347,2.7884172667780867,3.3938030703557294,0.5377358490566038,0.4014084507042254,0.8142857142857143,0.001
5,2.707567769074374,0.7882139382049758,1.7363327486913511,0.3660421850443547,1.7920032364289626,0.50609899396051,2.833266673435905,1.7702677748760247,2.2298092694190967,2.1285322434440848,0.6936936936936937,0.6581196581196581,0.7333333333333333,0.001
6,2.605174824889897,0.7677190103249096,1.6500860397835517,0.3747395359303042,1.6401300346862355,0.5167593780316805,2.6662287398608657,1.770267774259615,2.2667377216953293,2.3613224642315505,0.6993006993006993,0.684931506849315,0.7142857142857143,0.001
7,2.600919322800218,0.768169041331565,1.6453871672173286,0.3747262919818706,1.6757239794797185,0.5156602713099697,2.701723185976897,1.7702677748760247,2.3229585000295936,2.6217039304082466,0.6556016597510373,0.5808823529411765,0.7523809523809524,0.001
8,2.5244316709779087,0.7612430069585256,1.5801972646242144,0.36598279618710583,1.6412443635206144,0.5070465429557878,2.6560106270861428,1.77026777485401,2.2907436218008157,2.0609409171686215,0.7107843137254901,0.7323232323232324,0.6904761904761905,0.001
9,2.508514481172007,0.7601467921353003,1.5703803573178672,0.3559746977915284,1.5450778478180383,0.4955896583070165,2.553019478006266,1.7702677749420688,2.262008887097966,2.428293636665739,0.6784922394678492,0.6348547717842323,0.7285714285714285,0.001
10,2.405644798763131,0.7318662126418737,1.4984790000228672,0.35059923005676447,1.5075295046756143,0.4947343410327274,2.486762871966798,1.7702677742155855,2.2991507771800506,2.1218316871975516,0.7058823529411765,0.6976744186046512,0.7142857142857143,0.0005
