epoch,train_loss,train_fly_loss,train_movement_class_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,epoch_fly_threshold,epoch_mean_error_km,epoch_migration50_error_mean_km,epoch_stationary_error_mean_km,epoch_gated_mean_error_km,balanced_checkpoint_accepted,balanced_checkpoint_score,balanced_checkpoint_reason,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.7288854919091925,0.9165645294022142,0.8878392988514923,2.3364790554081853,0.5077641783438671,1.8439891143518803,0.5788921256584915,3.27195954010207,1.1770083099631172,2.5339061382778287,2.4551140402761487,0.6387181564420461,15.43936952067086,97.71675041414076,4.975005322894502,14.16394575125045,False,inf,mean_error_too_high,0.6183206106870229,0.5159235668789809,0.7714285714285715,0.001
2,2.8003313625067996,0.7924407870045219,0.6882617078879754,1.6164045339586113,0.4388412857622541,1.4266382500295383,0.5107200997798177,2.646504533147768,1.1770083102493074,2.3561798198536543,2.3065455590252335,0.6731065268814563,14.825278879447163,91.5956347527733,4.819246335043812,13.889508721358887,False,inf,mean_error_too_high,0.673728813559322,0.6068702290076335,0.7571428571428571,0.001
3,2.670827734591448,0.7656381673649958,0.6674990284145704,1.5236278696183463,0.4293739965417709,1.3767272174853697,0.4999885942136812,2.5592344355385057,1.1770083099851318,2.3241663211557677,2.135178023990535,0.522061782963574,14.092656932690671,103.33660609576386,3.336058632689648,13.585177771092642,True,13.585177771092642,accepted,0.7166276346604216,0.7050691244239631,0.7285714285714285,0.001
4,2.5610003493389155,0.7366964619905995,0.6549404923605456,1.4545524966133379,0.41203253375416204,1.2835494937879117,0.4838266497668797,2.425894408609068,1.177008310029161,2.36924694066914,2.343656611407349,0.7474534568190575,14.632172231925793,89.53185999386346,4.881380597852339,13.291513057110942,False,inf,mean_error_too_high,0.6150870406189556,0.5179153094462541,0.7571428571428571,0.001
5,2.5090588954897357,0.7278983089952478,0.6503353398152225,1.4155407394398614,0.40607203959538113,1.2793150506631599,0.4760910794015076,2.4078427326205913,1.17700831040341,2.25085005415067,2.170883235410186,0.650688472725451,14.182277784978835,93.3320031896074,4.222822220021356,13.385149304759645,True,13.385149304759645,accepted,0.6608695652173913,0.608,0.7238095238095238,0.001
6,2.420144182162932,0.7040521717137577,0.6363378081405372,1.3588255405426026,0.3963640326498178,1.2162283070750073,0.46650564670562744,2.312617779262398,1.177008310579527,2.294419780967859,2.1300219116041896,0.5926368961110712,13.964769331942907,98.7200870501791,3.584652384728988,13.22187412774744,True,13.22187412774744,accepted,0.7079207920792079,0.7371134020618557,0.680952380952381,0.001
7,2.350074075551795,0.6902937385404099,0.6280334171606012,1.3064003015379055,0.39274337252091174,1.179467704542676,0.4602949889577987,2.2569172725563016,1.17700831040341,2.3462139795942885,2.316276095290304,0.8186341347731649,14.484831442435812,87.90703069983037,4.967241980470519,13.28829990155309,False,inf,mean_error_too_high,0.625,0.5298013245033113,0.7619047619047619,0.001
8,2.2682857577930635,0.6605424096049364,0.6170250543817148,1.261952732848769,0.38306874370310773,1.1591954122179653,0.4533721263388848,2.2006801477759828,1.1770083101832636,2.33641870194383,2.174035943593373,0.6048268326150719,13.984759605586616,94.50002326366946,3.679694682946865,13.49010474969832,True,13.49010474969832,accepted,0.698019801980198,0.7268041237113402,0.6714285714285714,0.001
9,2.2357441928578217,0.6494934949518241,0.6106221640869521,1.2453770248953766,0.37643625468208297,1.1277372517854334,0.4428829977827169,2.151327768917559,1.1770083102052782,2.326390664369704,2.221502180113574,0.7683279488701373,14.10186359185002,91.71686587591037,4.116278812765681,13.345954788986717,True,13.345954788986717,accepted,0.6431718061674009,0.5983606557377049,0.6952380952380952,0.001
10,2.1246551983464346,0.6217697226329744,0.601776760590924,1.173713286827806,0.35745598372219894,1.0674758930065404,0.4240285651615562,2.051704096155704,1.1770083101392343,2.331195138229753,2.256336319921992,0.7632098949735519,14.912951425315395,92.52804894860054,4.529207105133955,14.067089730566185,False,inf,mean_error_too_high,0.6348547717842323,0.5625,0.7285714285714285,0.0005
11,1.996542116237369,0.5819498018875017,0.5814162219660434,1.0952711423788484,0.3479342091887061,1.0119188557040988,0.4131919920059232,1.9458187205419426,1.177008310777659,2.3343807612071186,2.16496578664512,0.791827086522244,13.544021677756977,97.55924853212063,3.3432777013533634,12.953538835072989,True,12.953538835072989,accepted,0.6636771300448431,0.6271186440677966,0.7047619047619048,0.0005
12,1.904507163731125,0.5587498819618895,0.573568596337971,1.0367063268730186,0.3313176169675033,0.9530185043206395,0.39279080471393696,1.8515559253269946,1.1770083104254245,2.377763419947209,2.2318197360243017,0.7835351014137272,13.817553843928122,95.99508828940473,3.6721109569643975,13.113856496998013,True,13.113856496998013,accepted,0.6504424778761061,0.6074380165289256,0.7,0.0005
13,1.813741367741635,0.5259478019380173,0.5662069003667858,0.9805106924951682,0.3314623164943491,0.9079163025070536,0.3920028386078603,1.771417276482833,1.1770083100511757,2.5331203145149717,2.419679291667403,0.7449355518817901,14.655941520104486,94.09959094565681,4.38406686388623,13.865421964847583,False,inf,mean_error_too_high,0.6204081632653061,0.5428571428571428,0.7238095238095238,0.0005
14,1.7326307021790044,0.5063396886885442,0.5551444856248734,0.926226968382204,0.3225558545175572,0.8635999189299339,0.3804832476217881,1.698967351235401,1.1770083104914686,2.4970444780684997,2.3331743744662803,0.7460481824818997,14.313077872494004,100.24755739147972,3.7891106448415157,13.656915712180078,True,13.656915712180078,accepted,0.6591928251121075,0.6228813559322034,0.7,0.0005
15,1.7304265482383863,0.5045507323598818,0.5553091981074156,0.9249763987841478,0.3241442512139499,0.86319979305963,0.38087319114751983,1.697014406095031,1.177008310469454,2.5736611477557454,2.430779692341341,0.7559514736174605,14.549688219749818,97.05858112911717,4.11418072746898,13.77306280332321,False,inf,mean_error_too_high,0.6439232409381662,0.583011583011583,0.719047619047619,0.00025
16,1.5609232553814918,0.45560389877136176,0.5368716777196552,0.8195896476259522,0.30302358380865413,0.7682380906762839,0.3595919913724959,1.537855886422366,1.177008310579527,2.647342952350746,2.4912874892332,0.8111612039709871,14.775525449807157,99.36728901726451,4.219477092333807,13.985864635846763,False,inf,mean_error_too_high,0.630901287553648,0.57421875,0.7,0.00025
17,1.5145531236519993,0.44283327873613915,0.5249119453538047,0.7944884407993609,0.2920068372704866,0.7502374748774182,0.34509590911513,1.4968466963244056,1.177008310095205,2.657087059809855,2.477499757594865,0.7666254225338344,14.319682641362721,99.5267272624253,4.0180602816253685,13.503865177723753,True,13.503865177723753,accepted,0.6340425531914894,0.573076923076923,0.7095238095238096,0.00025
18,1.4600430623316039,0.4243030527952305,0.5213677077742495,0.7622869437641274,0.28622227248117427,0.7149218404612273,0.33811354498040974,1.438623595964215,1.177008310161249,2.6870521259448727,2.544140640354579,0.7675009640841745,14.628302089404267,98.71491200074723,4.231444481036285,13.801742898263065,False,inf,mean_error_too_high,0.6313559322033898,0.5687022900763359,0.7095238095238096,0.00025
19,1.4198051946425152,0.4147304134025468,0.5167274497112299,0.7316609818519317,0.28846387751985236,0.6920170781024605,0.33984496963321337,1.4058518267734559,1.1770083101832636,2.693867597481349,2.519212212837253,0.6631079372883687,14.53255121019605,100.36550626611242,3.917222076548898,13.888503716184944,False,inf,mean_error_too_high,0.6788990825688074,0.6548672566371682,0.7047619047619048,0.00025
20,1.3887481072162546,0.39751363234836967,0.5108353547332249,0.7240926451960429,0.2788659583691195,0.6808726592627479,0.33103921035320144,1.3716147398354275,1.177008310161249,2.8334400002326006,2.6655160222131005,0.7281333993664885,14.660828959750628,100.67167645374829,4.17125384325089,13.922632934539038,False,inf,mean_error_too_high,0.6353944562899786,0.5752895752895753,0.7095238095238096,0.000125
21,1.3288004538359075,0.37987210663621995,0.5052525957425436,0.6871039818528617,0.2710224363447226,0.64853907600114,0.32063265813794933,1.3150406522874136,1.1770083101832636,2.7592335184004315,2.609854474905851,0.7033535675520034,14.769227656880268,99.86246869239078,4.327025689295869,14.017098043254162,False,inf,mean_error_too_high,0.6357894736842105,0.569811320754717,0.719047619047619,0.000125
22,1.2899824284230352,0.3708748580181037,0.49611071420838626,0.6588470291122726,0.2724657088875881,0.6316286894643296,0.3222315921567704,1.2876470277404082,1.1770083100071465,2.794472299967418,2.6318946173483373,0.6935954002380822,15.072414495957323,101.13080993518676,4.325161962299213,14.40487394068393,False,inf,mean_error_too_high,0.6434782608695652,0.592,0.7047619047619048,0.000125
23,1.2648825319630068,0.3574538840646559,0.4927065220125714,0.650483735842718,0.26753655910932234,0.6183624044459722,0.31645880848692176,1.257222327146944,1.1770083106235565,2.8666200778685083,2.715583830851748,0.7386208020200138,15.194156905756207,100.44230003534432,4.572419134452512,14.430661125463217,False,inf,mean_error_too_high,0.625531914893617,0.5653846153846154,0.7,0.000125
24,1.2456653890627354,0.3504921912073759,0.4907879344809419,0.6411134467175572,0.2627254935788096,0.6076104066378523,0.31076424384931667,1.2361817026402482,1.1770083099631172,2.894466399442146,2.7321388865855454,0.7088164129119104,15.392804040160852,102.59048954728043,4.414439099091901,14.754079588693973,False,inf,mean_error_too_high,0.6377440347071583,0.5856573705179283,0.7,0.000125
25,1.2212529506709766,0.3469746350911846,0.4884535151395331,0.6259619118104021,0.2524060336891854,0.6021893948068909,0.29855376321302995,1.2205542895932606,1.1770083100071465,2.924312259809305,2.750166804258721,0.7188965532720613,14.883864944690682,100.93915689110729,4.215955393381515,14.199075941981189,False,inf,mean_error_too_high,0.6349892008639308,0.5810276679841897,0.7,6.25e-05
26,1.193427228575378,0.3297818234450049,0.4831659343379136,0.6133145899653765,0.25907867679085206,0.5822211325884086,0.3051012016289342,1.1853450503485794,1.1770083103813953,2.9412256245070756,2.7503547957235814,0.6465178990364074,14.78657321164836,101.45935100545364,4.092212624477668,14.145219074638698,False,inf,mean_error_too_high,0.6502242152466368,0.614406779661017,0.6904761904761905,6.25e-05
27,1.1818655160215312,0.33270496280789924,0.48331376121535086,0.6018979654087584,0.2528682853926802,0.5815454851227123,0.3023071518565149,1.1862324634967638,1.1770083100731903,2.949763790367273,2.77182766324132,0.7090583606951986,14.934290239472018,101.13337670305935,4.253195472364464,14.25324170655187,False,inf,mean_error_too_high,0.6445916114790288,0.6008230452674898,0.6952380952380952,6.25e-05
28,1.1588941937558428,0.3222023360837089,0.4811184889501922,0.591427032989368,0.24997041130770387,0.5607432222652523,0.296268954273186,1.1513596589325317,1.177008310777659,2.9561060633581886,2.790117787117444,0.7140435245231493,15.23098814157466,101.91230264741881,4.391475947071147,14.507064400190682,False,inf,mean_error_too_high,0.6359649122807017,0.5894308943089431,0.6904761904761905,6.25e-05
29,1.151951795645808,0.31884069149954275,0.4765933930928907,0.5903829071330232,0.24715968981343953,0.5634994951751864,0.289921798363727,1.146449423562787,1.1770083106235565,2.9984957358333526,2.813555492079945,0.689068610752147,14.978542688274514,101.76486950124767,4.264834315459441,14.291356512915435,False,inf,mean_error_too_high,0.6375545851528385,0.5887096774193549,0.6952380952380952,6.25e-05
30,1.1380007264356533,0.3145195174126414,0.4767111368016413,0.5781309231221401,0.2523449994878205,0.5541645489406057,0.29834906755501983,1.1370363921339823,1.177008310777659,2.994545697109386,2.811017485101607,0.7141239816772394,15.00630497681132,101.86020582315334,4.278905401247563,14.318419039147049,False,inf,mean_error_too_high,0.6417582417582418,0.5959183673469388,0.6952380952380952,3.125e-05
31,1.1242863808092098,0.3122782814370628,0.4762653262661435,0.5702510143361044,0.24538147690003378,0.5462641568395239,0.2910142735706252,1.123115909484835,1.1770083099851318,2.969620278526092,2.7917764190380825,0.7191474927199306,15.019171415160399,101.67448275874133,4.2538423144300435,14.305387403689375,False,inf,mean_error_too_high,0.6460176991150443,0.6033057851239669,0.6952380952380952,3.125e-05
