epoch,train_loss,test_delta_mse_norm,lr
1,0.63332683049844,1.436266924456806,0.001
2,0.5758910862133121,1.388242062511714,0.001
3,0.5613229334930261,1.309597290586841,0.001
4,0.5368761236038111,1.312292729075876,0.001
5,0.5191449813369936,1.313006758237239,0.001
6,0.5022124620250411,1.313006299999528,0.001
7,0.48153788877756104,1.5294191401952046,0.001
8,0.47279699956906274,1.318738843228515,0.0005
9,0.44006310434196644,1.491184717875577,0.0005
10,0.42368134809712316,1.3088936718488753,0.0005
11,0.3972141919094978,1.3135521717222962,0.0005
12,0.38866524285211573,1.241769597741872,0.0005
13,0.3671339848106967,1.354556504059628,0.0005
14,0.368497805596537,1.3081190104644218,0.0005
15,0.3550579073936877,1.3051499066206353,0.0005
16,0.34723392620323595,1.3427103639760016,0.0005
17,0.34156309467033286,1.3235856313972092,0.00025
18,0.30267204947817894,1.3172478035560427,0.00025
19,0.2918073135296723,1.3671623153607517,0.00025
20,0.2856902836683842,1.3678005325164637,0.00025
21,0.27254177030041055,1.3521873202865438,0.00025
22,0.26619184260972556,1.341488291404969,0.000125
23,0.2621803676509999,1.3449489868711841,0.000125
24,0.24474820769292582,1.3343474783484262,0.000125
25,0.2424800231117822,1.3480713475273114,0.000125
26,0.23078679221807133,1.373791885244299,0.000125
27,0.23275671527857536,1.341997361899163,6.25e-05
28,0.23273337435059163,1.3191124860442915,6.25e-05
29,0.22709025726337723,1.3592289986180814,6.25e-05
30,0.22573733473737878,1.3297106025545689,6.25e-05
31,0.21712134412021847,1.2894963009998557,6.25e-05
32,0.21719117375939676,1.3240954735215713,3.125e-05
33,0.21310134664413619,1.326341296542625,3.125e-05
34,0.21834270123280414,1.2972066218909784,3.125e-05
35,0.208159334779621,1.3055846873011143,3.125e-05
36,0.21226552538854554,1.328030371279152,3.125e-05
37,0.20390481250670092,1.3214906739250396,1.5625e-05
38,0.20367285450251066,1.3225608854652644,1.5625e-05
39,0.1976096590118482,1.3313937623376553,1.5625e-05
40,0.19758601136579168,1.3296040017151363,1.5625e-05
41,0.20407232857171942,1.329347472870642,1.5625e-05
42,0.20696502164273597,1.317615457678977,7.8125e-06
