direct_final_rollout_error_km_delta_weighted_minus_weather,direct_final_rollout_error_km_improved,direct_final_rollout_error_km_weather,direct_final_rollout_error_km_weighted,direct_mean_rollout_error_km_delta_weighted_minus_weather,direct_mean_rollout_error_km_improved,direct_mean_rollout_error_km_weather,direct_mean_rollout_error_km_weighted,lstm_final_rollout_error_km_delta_weighted_minus_weather,lstm_final_rollout_error_km_improved,lstm_final_rollout_error_km_weather,lstm_final_rollout_error_km_weighted,lstm_mean_rollout_error_km_delta_weighted_minus_weather,lstm_mean_rollout_error_km_improved,lstm_mean_rollout_error_km_weather,lstm_mean_rollout_error_km_weighted,path_id,setup,transformer_final_rollout_error_km_delta_weighted_minus_weather,transformer_final_rollout_error_km_improved,transformer_final_rollout_error_km_weather,transformer_final_rollout_error_km_weighted,transformer_mean_rollout_error_km_delta_weighted_minus_weather,transformer_mean_rollout_error_km_improved,transformer_mean_rollout_error_km_weather,transformer_mean_rollout_error_km_weighted
-1318.7941890437166,True,2906.400788664744,1587.6065996210275,-257.2761159871566,True,1713.6626367877486,1456.386520800592,284.7370683560294,False,273.74181622247164,558.478884578501,77.01429015856837,False,328.5105236821361,405.5248138407045,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_30km,565.7124603475014,False,265.8175586258965,831.5300189733979,291.6615211357293,False,335.8935773252928,627.5550984610221
230.62026155017136,False,237.4636722896412,468.0839338398126,53.32432166634513,False,197.6693631280577,250.99368479440284,-614.7630205152068,True,977.527466180741,362.7644456655343,-455.5189946819692,True,823.0304770962568,367.5114824142876,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_30km,-975.89090229368,True,1131.3566741609632,155.46577186728317,-668.2936814751336,True,980.3189667092216,312.025285234088
480.5897285934386,False,48.08164462350689,528.6713732169455,231.7582912088895,False,118.56248731979257,350.32077852868207,-520.5829758876629,True,1173.011117073536,652.4281411858732,-335.52040975463404,True,653.4736483976789,317.9532386430448,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_30km,-444.96371074640297,True,1306.15316507976,861.1894543333569,-176.66076809778588,True,736.5246514759974,559.8638833782115
548.3304047075495,False,433.8160380315993,982.1464427391488,289.56969025058334,False,373.2542791305506,662.8239693811339,-415.51460308219754,True,742.9916603205141,327.4770572383166,-176.10877479473828,True,448.4644872588012,272.35571246406295,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_30km,-710.3862042826717,True,864.8868718290562,154.50066754638453,-272.069435213123,True,502.7267701202702,230.65733490714723
153.76310317039838,False,1054.7932188427603,1208.5563220131587,-46.688068773541545,True,730.6942666037996,684.0061978302581,-674.9435520415872,True,764.906354623992,89.96280258240482,-461.9505256800709,True,602.8464953183566,140.8959696382857,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_30km,-352.0823970052469,True,577.5883779687869,225.50598096354,-256.4407483410732,True,477.1946989894126,220.7539506483394
-379.6654655770403,True,2906.251889208185,2526.5864236311445,30.680985664854234,False,1553.5624926222513,1584.2434782871055,466.86927250185624,False,248.7790694308852,715.6483419327415,229.59115554544394,False,286.50580035052883,516.0969558959728,Europa_DER_A1A26_eobs_4004__2019__southbound_01,setup_30km,709.7833761439393,False,237.18526677042948,946.9686429143688,376.76960811312,False,322.95739991903434,699.7270080321543
255.16634875643558,False,1385.204075159017,1640.3704239154526,271.41767505887367,False,741.3803023037353,1012.797977362609,107.26144017836191,False,333.1807102055081,440.44215038387,44.49368503642171,False,278.815537483584,323.30922252000573,Europa_DER_A1A26_eobs_4004__2020__southbound_01,setup_30km,294.2238373625919,False,376.7149119587682,670.9387493213601,151.26343620651664,False,318.66586375304183,469.9292999595585
138.01280576265754,False,2165.975940475831,2303.9887462384886,513.9704599352881,False,1108.478167636948,1622.448627572236,440.3314374312845,False,247.41184944213717,687.7432868734217,391.14137160899134,False,229.81989549431557,620.9612671033069,Europa_DER_A1A26_eobs_4004__2021__southbound_01,setup_30km,358.69089948482866,False,265.2853700948288,623.9762695796575,298.83642229710375,False,242.47267061235044,541.3090929094542
-153.89098852110737,True,2477.031021995312,2323.1400334742048,-14.009130352204693,True,1400.5223779327637,1386.513247580559,205.56522871012714,False,395.0007802931958,600.566009003323,95.06893228618173,False,378.8968361111636,473.96576839734536,Europa_DER_A1A26_eobs_4004__2022__southbound_01,setup_30km,260.7326341299424,False,438.4132414467632,699.1458755767056,79.0786786771726,False,440.5640472456792,519.6427259228518
391.69373641619086,False,1340.5092799869046,1732.2030164030955,527.3493038974323,False,639.3663398308784,1166.7156437283106,224.81876888298305,False,59.61975796388881,284.43852684687187,156.8991678476815,False,42.11137351631129,199.0105413639928,Europa_DER_A1A26_eobs_4004__2023__southbound_01,setup_30km,122.91450758449335,False,105.54210420147729,228.45661178597064,79.5892507520221,False,66.28408458136794,145.87333533339003
-972.8436918857626,True,1617.873391930258,645.0297000444955,-516.4155331973636,True,863.8949731892053,347.47943999184173,379.56174621395934,False,91.08243384417686,470.6441800581362,242.8052992899322,False,103.64364236603828,346.4489416559705,Louis_DER_AU050_eobs_3264__2021__southbound_01,setup_30km,632.4243563192699,False,78.11461719431696,710.5389735135869,473.84219952143525,False,78.22320779915508,552.0654073205903
-767.3385904827903,True,1025.381066228157,258.0424757453666,-475.1534547572812,True,621.3239405570038,146.1704857997225,449.35491299183747,False,51.16012194405312,500.5150349358906,287.9485458575076,False,37.42287311668901,325.3714189741966,Louis_DER_AU050_eobs_3264__2022__southbound_01,setup_30km,265.35826044572605,False,44.64190193558882,310.00016238131485,151.34180969745742,False,26.361801864119432,177.70361156157685
96.4443584874711,False,423.8980345096426,520.3423929971137,187.75104421116876,False,217.8396946110934,405.59073882226215,-26.77676184437621,True,358.16624372128456,331.38948187690835,-24.441842134059016,True,237.56940691679057,213.12756478273155,Louis_DER_AU050_eobs_3264__2023__southbound_01,setup_30km,-415.14613957955675,True,519.3556908241504,104.20955124459368,-239.07403834886117,True,351.13806559331505,112.06402724445388
-762.101234751531,True,812.6196360664362,50.51840131490524,-380.6061065694599,True,589.91800851182,209.31190194236007,-605.556973513143,True,982.569141215448,377.0121677023049,-355.99160429602193,True,749.9949398823545,394.0033355863326,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,setup_30km,-537.1349906430933,True,1153.399866872782,616.2648762296888,-382.74176460121123,True,921.5216693674756,538.7799047662644
-406.1123806934505,True,608.4884409457815,202.37606025233097,-12.462963020789118,True,306.7856115266948,294.3226485059057,-136.9285231077622,True,527.846450478071,390.9179273703088,-301.9703437893498,True,535.5962084483766,233.62586465902683,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,setup_30km,-280.8170424044563,True,671.0038233819395,390.1867809774832,-333.04473871030604,True,650.3345142315504,317.2897755212444
-733.0200629890985,True,1578.4093363792151,845.3892733901166,-309.0786503667332,True,866.1096300089075,557.0309796421743,483.34722891692286,False,494.0377226554356,977.3849515723584,87.17684888071108,False,520.6480452810608,607.8248941617719,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,setup_30km,1002.7064263196131,False,294.0392399338963,1296.7456662535094,276.16059943835114,False,446.6296301728722,722.7902296112234
-947.436170819884,True,1497.1799354565162,549.7437646366322,-550.2403375119584,True,1038.3107682960426,488.0704307840843,803.0158327133976,False,270.7752900489089,1073.7911227623065,454.5953940030152,False,361.16971623012176,815.765110233137,Sierit_DER_AN858_eobs2561__2020__southbound_01,setup_30km,1052.8774834875987,False,145.32017578431172,1198.1976592719104,623.9749676139268,False,247.34272046655025,871.3176880804771
-29.87408021334477,True,748.1621120114199,718.2880317980752,-192.74591322636252,True,576.5238562460645,383.777943019702,584.9295975900243,False,294.90158262682206,879.8311802168464,308.11608058555777,False,294.267875829563,602.3839564151208,Sierit_DER_AN858_eobs2561__2021__southbound_01,setup_30km,996.7130736396346,False,61.53973505313028,1058.2528086927648,481.6091481190448,False,122.38791081929251,603.9970589383373
138.55329426799273,False,399.1744690206479,537.7277632886406,353.0064516927186,False,238.0654132880082,591.0718649807268,1152.0160154716764,False,222.9323276664196,1374.948343138096,1003.569419423276,False,156.42051250200615,1159.9899319252822,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,setup_30km,1158.4802193816074,False,197.93600717891223,1356.4162265605196,1019.9731904801359,False,116.1297423420834,1136.1029328222194
-305.1851840401698,True,969.2920061518444,664.1068221116745,-133.05752251576905,True,744.2653230234865,611.2078005077175,1167.9191309012715,False,92.21893646819906,1260.1380673694705,759.4695017141479,False,176.0019412247473,935.4714429388952,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,setup_30km,1051.36773440567,False,330.00343712690864,1381.3711715325787,631.1803136370688,False,350.32810219410675,981.5084158311756
-1318.7941890437166,True,2906.400788664744,1587.6065996210275,-257.2761159871566,True,1713.6626367877486,1456.386520800592,231.19294785238077,False,495.22172693665226,726.414674789033,-7.467201589014849,True,555.3579180086552,547.8907164196404,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_10km,488.68128534639703,False,384.3446621395272,873.0259474859242,354.09737116493983,False,273.472835922676,627.5702070876158
230.62026155017136,False,237.4636722896412,468.0839338398126,53.32432166634513,False,197.6693631280577,250.99368479440284,-880.4678462479022,True,1142.7328248478166,262.26497859991434,-691.158636005334,True,989.6601275568802,298.5014915515462,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_10km,-477.1780741169866,True,659.2863865126947,182.10831239570808,-323.4465362459303,True,674.8225575228562,351.3760212769259
480.5897285934386,False,48.08164462350689,528.6713732169455,231.7582912088895,False,118.56248731979257,350.32077852868207,-808.4410847571685,True,1381.7253936325787,573.2843088754103,-507.2442079517769,True,782.7152634049759,275.47105545319897,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_10km,-280.47773758814765,True,1152.721649333277,872.2439117451293,-164.54016079505152,True,717.757148457024,553.2169876619724
548.3304047075495,False,433.8160380315993,982.1464427391488,289.56969025058334,False,373.2542791305506,662.8239693811339,-598.6064156693141,True,783.5654250821001,184.959009412786,-249.97318220577097,True,464.46257431453057,214.4893921087596,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_10km,-93.7198577471211,True,312.354419794986,218.63456204786488,-17.866862619927105,True,272.8363071530793,254.9694445331522
153.76310317039838,False,1054.7932188427603,1208.5563220131587,-46.688068773541545,True,730.6942666037996,684.0061978302581,-310.6616277165469,True,576.3333949463689,265.671767229822,-171.50301220083549,True,471.5390736510577,300.03606145022223,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_10km,-195.78584428908346,True,419.2862789730752,223.50043468399173,-168.28126851401208,True,380.6620757455555,212.38080723154343
-379.6654655770403,True,2906.251889208185,2526.5864236311445,30.680985664854234,False,1553.5624926222513,1584.2434782871055,894.9489569863588,False,36.54441046969326,931.493367456052,617.9218523855027,False,85.76878475114717,703.6906371366499,Europa_DER_A1A26_eobs_4004__2019__southbound_01,setup_10km,818.5087455205344,False,59.95871823722974,878.4674637577641,510.1817008238446,False,129.81325416522228,639.9949549890669
255.16634875643558,False,1385.204075159017,1640.3704239154526,271.41767505887367,False,741.3803023037353,1012.797977362609,337.83840350129896,False,325.4595844777652,663.2979879790641,241.50510298744786,False,264.26288941989924,505.7679924073471,Europa_DER_A1A26_eobs_4004__2020__southbound_01,setup_10km,452.8745701158524,False,55.639840597067,508.5144107129194,260.79369337096944,False,93.518966072815,354.3126594437844
138.01280576265754,False,2165.975940475831,2303.9887462384886,513.9704599352881,False,1108.478167636948,1622.448627572236,629.367539665224,False,210.04232692250687,839.4098665877308,551.9322863585198,False,209.22245188913303,761.1547382476529,Europa_DER_A1A26_eobs_4004__2021__southbound_01,setup_10km,311.25812199255074,False,277.02150910191574,588.2796310944665,259.6320360213988,False,241.6475122111409,501.2795482325397
-153.89098852110737,True,2477.031021995312,2323.1400334742048,-14.009130352204693,True,1400.5223779327637,1386.513247580559,675.3446877499586,False,135.0395642895944,810.384252039553,493.363768776415,False,164.95822767297798,658.3219964493929,Europa_DER_A1A26_eobs_4004__2022__southbound_01,setup_10km,456.8959256363588,False,210.8042957640836,667.7002214004424,326.12622967988625,False,171.28777253125023,497.4140022111365
391.69373641619086,False,1340.5092799869046,1732.2030164030955,527.3493038974323,False,639.3663398308784,1166.7156437283106,220.10402307968494,False,100.52687150817351,320.63089458785845,162.51911950654596,False,62.873865632961135,225.3929851395071,Europa_DER_A1A26_eobs_4004__2023__southbound_01,setup_10km,81.0485906569649,False,163.3993150196029,244.4479056765678,58.25199002617033,False,100.21675240207144,158.46874242824177
-972.8436918857626,True,1617.873391930258,645.0297000444955,-516.4155331973636,True,863.8949731892053,347.47943999184173,652.9901841925166,False,26.547117729486647,679.5373019220033,481.2786016404215,False,46.11048893501828,527.3890905754398,Louis_DER_AU050_eobs_3264__2021__southbound_01,setup_10km,634.1815134163252,False,47.97799972146715,682.1595131377924,436.84359266208975,False,82.60952683560907,519.4531194976988
-767.3385904827903,True,1025.381066228157,258.0424757453666,-475.1534547572812,True,621.3239405570038,146.1704857997225,722.7405727703651,False,60.27032443770677,783.0108972080719,478.76789135693906,False,37.167088551959104,515.9349799088982,Louis_DER_AU050_eobs_3264__2022__southbound_01,setup_10km,252.901998955864,False,62.66143701495153,315.56343597081553,138.82292557806366,False,39.13738898996697,177.96031456803064
96.4443584874711,False,423.8980345096426,520.3423929971137,187.75104421116876,False,217.8396946110934,405.59073882226215,140.39791969969002,False,336.75424913522886,477.1521688349189,45.321725193424555,False,255.55266767557785,300.8743928690024,Louis_DER_AU050_eobs_3264__2023__southbound_01,setup_10km,-35.49895971484358,True,110.47194087597074,74.97298116112717,-15.387898717708083,True,124.86571943453782,109.47782071682974
-762.101234751531,True,812.6196360664362,50.51840131490524,-380.6061065694599,True,589.91800851182,209.31190194236007,-450.8138528357382,True,931.7959844526208,480.9821316168826,-228.84172644016974,True,704.5885863596751,475.74685991950537,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,setup_10km,397.55167338695077,False,108.63103028981764,506.1827036767684,257.67066990509227,False,192.26371999918103,449.9343899042733
-406.1123806934505,True,608.4884409457815,202.37606025233097,-12.462963020789118,True,306.7856115266948,294.3226485059057,-72.70249975867296,True,556.7964761423738,484.0939763837008,-287.2433919084219,True,526.7073556586976,239.46396375027564,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,setup_10km,245.84458334512144,False,77.65643404728067,323.5010173924021,22.155452708443363,False,290.5103888019153,312.6658415103587
-733.0200629890985,True,1578.4093363792151,845.3892733901166,-309.0786503667332,True,866.1096300089075,557.0309796421743,676.4460928928055,False,405.795503112074,1082.2415960048795,177.4148126157222,False,495.66330406710176,673.078116682824,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,setup_10km,173.50283625821442,False,963.2340015709952,1136.7368378292097,36.93818340950179,False,575.9389929088687,612.8771763183705
-947.436170819884,True,1497.1799354565162,549.7437646366322,-550.2403375119584,True,1038.3107682960426,488.0704307840843,866.0682516567048,False,322.1532933719137,1188.2215450286185,503.1576025521694,False,401.820404290921,904.9780068430904,Sierit_DER_AN858_eobs2561__2020__southbound_01,setup_10km,631.1783281647595,False,553.3465834136314,1184.5249115783909,396.09115734894533,False,422.99952305170007,819.0906804006454
-29.87408021334477,True,748.1621120114199,718.2880317980752,-192.74591322636252,True,576.5238562460645,383.777943019702,599.7838467961772,False,364.5511758296852,964.3350226258624,309.6809712785065,False,361.9520404305324,671.6330117090389,Sierit_DER_AN858_eobs2561__2021__southbound_01,setup_10km,468.8984065542994,False,521.1002191338546,989.998625688154,250.88911014827323,False,298.97235732081214,549.8614674690854
138.55329426799273,False,399.1744690206479,537.7277632886406,353.0064516927186,False,238.0654132880082,591.0718649807268,1208.8040977751102,False,297.8902236363691,1506.6943214114792,1090.0957726161478,False,195.7628005113619,1285.8585731275095,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,setup_10km,820.8790841592518,False,471.3022398225134,1292.1813239817652,718.7227531061233,False,337.9491359721692,1056.6718890782925
-305.1851840401698,True,969.2920061518444,664.1068221116745,-133.05752251576905,True,744.2653230234865,611.2078005077175,1174.05652898351,False,275.43335595651934,1449.4898849400292,856.841137776353,False,226.34748508919807,1083.188622865551,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,setup_10km,751.574759538159,False,570.3017132369762,1321.8764727751352,519.5891955681147,False,411.7944761437124,931.3836717118272
