epochs_logged,k,last_test_delta_mse_norm,last_test_loss,last_test_unweighted_loss,last_train_direction_loss,last_train_distance_loss,last_train_loss,last_train_mean_distance_weight,last_train_unweighted_direction_loss,last_train_unweighted_distance_loss,min_test_delta_mse_norm,min_test_loss,min_test_unweighted_loss,min_train_direction_loss,min_train_distance_loss,min_train_loss,min_train_mean_distance_weight,min_train_unweighted_direction_loss,min_train_unweighted_distance_loss,model,setup,training_log
1,1,1.2477322483121942,,,,,0.7420503943441373,,,,1.2477322483121942,,,,,0.7420503943441373,,,,direct_mlp_last_day_k1,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_1\direct_mlp_last_day_k1\training_log.csv
1,30,2.0067109197873947,,,,,0.835079351656979,,,,2.0067109197873947,,,,,0.835079351656979,,,,direct_mlp_sequence_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_30\direct_mlp_sequence_k30\training_log.csv
1,30,,3.5422636991067207,4.0382143309728935,0.6107163592319171,5.784945426278106,7.104526101992002,1.7021719032206508,0.7139201103649386,2.609194107725528,,3.5422636991067207,4.0382143309728935,0.6107163592319171,5.784945426278106,7.104526101992002,1.7021719032206508,0.7139201103649386,2.609194107725528,triline_linear_ar_delta_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_30\triline_linear_ar_delta_k30\training_log.csv
1,30,,3.2294666132512684,3.5611815241039797,0.5107980931862885,3.463265352019981,4.770160891873118,1.7021719032206508,0.6526930639571932,2.90560673477469,,3.2294666132512684,3.5611815241039797,0.5107980931862885,3.463265352019981,4.770160891873118,1.7021719032206508,0.6526930639571932,2.90560673477469,triline_transformer_3l_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_30\triline_transformer_3l_k30\training_log.csv
1,30,,3.7521286389744,3.462190183826383,0.5208562208742399,3.7222044569286976,5.057545409845997,1.7021719032206508,0.6591905878233602,3.0392869880591653,,3.7521286389744,3.462190183826383,0.5208562208742399,3.7222044569286976,5.057545409845997,1.7021719032206508,0.6591905878233602,3.0392869880591653,triline_transformer_4l_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_30\triline_transformer_4l_k30\training_log.csv
1,7,1.1699897992321744,,,,,0.6603434509986815,,,,1.1699897992321744,,,,,0.6603434509986815,,,,direct_transformer_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_7\direct_transformer_2l_k7\training_log.csv
1,7,,2.5337779084948515,2.623114958606319,0.4099117414649285,3.276069918732759,4.4009179034323065,1.808456872672726,0.5384346696565736,2.2738613420419616,,2.5337779084948515,2.623114958606319,0.4099117414649285,3.276069918732759,4.4009179034323065,1.808456872672726,0.5384346696565736,2.2738613420419616,triline_linear_ar_full_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_7\triline_linear_ar_full_k7\training_log.csv
1,7,,2.405235708241836,2.3578229419626,0.395700230110045,2.7715034176397197,3.8849264232296186,1.808456872672726,0.5374118804610322,2.4039770040229325,,2.405235708241836,2.3578229419626,0.395700230110045,2.7715034176397197,3.8849264232296186,1.808456872672726,0.5374118804610322,2.4039770040229325,triline_lstm_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_7\triline_lstm_2l_k7\training_log.csv
1,7,,2.689623806354492,3.0569709189175915,0.4228224216124439,3.123159991441711,4.262964316776821,1.808456872672726,0.5591569923647651,2.758071716262324,,2.689623806354492,3.0569709189175915,0.4228224216124439,3.123159991441711,4.262964316776821,1.808456872672726,0.5591569923647651,2.758071716262324,triline_transformer_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_10km\k_7\triline_transformer_2l_k7\training_log.csv
1,1,1.2477322483121942,,,,,0.7420503943441373,,,,1.2477322483121942,,,,,0.7420503943441373,,,,direct_mlp_last_day_k1,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_1\direct_mlp_last_day_k1\training_log.csv
1,30,2.0067109197873947,,,,,0.835079351656979,,,,2.0067109197873947,,,,,0.835079351656979,,,,direct_mlp_sequence_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_30\direct_mlp_sequence_k30\training_log.csv
1,30,,3.4881460274433693,3.958301177527239,0.5519517113122394,5.789240223643079,7.1217381231445485,1.7021719032206508,0.6018465470915141,2.610494529033104,,3.4881460274433693,3.958301177527239,0.5519517113122394,5.789240223643079,7.1217381231445485,1.7021719032206508,0.6018465470915141,2.610494529033104,triline_linear_ar_delta_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_30\triline_linear_ar_delta_k30\training_log.csv
1,30,,3.2122911490265853,3.5376546422567032,0.4105171025790921,3.4612370568590998,4.768789242904861,1.7021719032206508,0.474321554361562,2.9182401197013927,,3.2122911490265853,3.5376546422567032,0.4105171025790921,3.4612370568590998,4.768789242904861,1.7021719032206508,0.474321554361562,2.9182401197013927,triline_transformer_3l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_30\triline_transformer_3l_k30\training_log.csv
1,30,,3.967465554059323,3.804561730012876,0.4280415234085372,3.727937163354729,5.084547599009798,1.7021719032206508,0.4901353403402564,3.083057204808854,,3.967465554059323,3.804561730012876,0.4280415234085372,3.727937163354729,5.084547599009798,1.7021719032206508,0.4901353403402564,3.083057204808854,triline_transformer_4l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_30\triline_transformer_4l_k30\training_log.csv
1,7,1.1699897992321744,,,,,0.6603434509986815,,,,1.1699897992321744,,,,,0.6603434509986815,,,,direct_transformer_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_7\direct_transformer_2l_k7\training_log.csv
1,7,,2.4110229304537296,2.4585869440813912,0.335770485937756,3.2808214152919635,4.362058923572222,1.808456872672726,0.3771421289186915,2.272822316444788,,2.4110229304537296,2.4585869440813912,0.335770485937756,3.2808214152919635,4.362058923572222,1.808456872672726,0.3771421289186915,2.272822316444788,triline_linear_ar_full_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_7\triline_linear_ar_full_k7\training_log.csv
1,7,,2.2912118916884268,2.103279248723444,0.3094645094357411,2.766015710213756,3.818703431646136,1.808456872672726,0.3567602611937613,2.416528022835518,,2.2912118916884268,2.103279248723444,0.3094645094357411,2.766015710213756,3.818703431646136,1.808456872672726,0.3567602611937613,2.416528022835518,triline_lstm_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_7\triline_lstm_2l_k7\training_log.csv
1,7,,2.5144012347064573,2.7881856793663253,0.3381685763195839,3.12630670732565,4.232818649785538,1.808456872672726,0.3854485753411553,2.7956950021882583,,2.5144012347064573,2.7881856793663253,0.3381685763195839,3.12630670732565,4.232818649785538,1.808456872672726,0.3854485753411553,2.7956950021882583,triline_transformer_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\smoke_run\setup_30km\k_7\triline_transformer_2l_k7\training_log.csv
