threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
0.005954389926046133,147,1103,0,0,0.1176,0.1176,1.0,0.0,0.21045096635647817,1.0,0.0,0.5,0.9462874905175125,0.7370662853892374
0.008174779396504163,146,1091,12,1,0.1264,0.11802748585286985,0.9931972789115646,0.010879419764279238,0.21098265895953758,0.9891205802357208,0.006802721088435374,0.5020383493379219,0.9462874905175125,0.7370662853892374
0.009364678654819727,146,1079,24,1,0.136,0.11918367346938775,0.9931972789115646,0.021758839528558477,0.21282798833819241,0.9782411604714415,0.006802721088435374,0.5074780592200615,0.9462874905175125,0.7370662853892374
0.01070268732495606,146,1066,37,1,0.1464,0.12046204620462046,0.9931972789115646,0.033544877606527655,0.21486387049300956,0.9664551223934723,0.006802721088435374,0.5133710782590462,0.9462874905175125,0.7370662853892374
0.010823796123731882,146,1064,39,1,0.148,0.1206611570247934,0.9931972789115646,0.03535811423390753,0.2151805453205601,0.9646418857660924,0.006802721088435374,0.514277696572736,0.9462874905175125,0.7370662853892374
0.011408203579485417,146,1054,49,1,0.156,0.12166666666666667,0.9931972789115646,0.044424297370806894,0.21677802524127693,0.9555757026291931,0.006802721088435374,0.5188107881411858,0.9462874905175125,0.7370662853892374
0.012337044253945351,146,1041,62,1,0.1664,0.12299915754001685,0.9931972789115646,0.056210335448776065,0.21889055472263866,0.9437896645512239,0.006802721088435374,0.5247038071801703,0.9462874905175125,0.7370662853892374
0.013836694173514843,146,1029,74,1,0.176,0.12425531914893617,0.9931972789115646,0.06708975521305531,0.22087745839636913,0.9329102447869447,0.006802721088435374,0.53014351706231,0.9462874905175125,0.7370662853892374
0.01526724106632173,146,1016,87,1,0.1864,0.12564543889845095,0.9931972789115646,0.07887579329102448,0.22307104660045837,0.9211242067089755,0.006802721088435374,0.5360365361012945,0.9462874905175125,0.7370662853892374
0.015693202321417632,146,1008,95,1,0.1928,0.1265164644714038,0.9931972789115646,0.08612873980054397,0.22444273635664871,0.9138712601994561,0.006802721088435374,0.5396630093560543,0.9462874905175125,0.7370662853892374
0.016572539657354356,146,1004,99,1,0.196,0.12695652173913044,0.9931972789115646,0.08975521305530372,0.2251349267540478,0.9102447869446962,0.006802721088435374,0.5414762459834341,0.9462874905175125,0.7370662853892374
0.017338104974478484,146,991,112,1,0.2064,0.1284080914687775,0.9931972789115646,0.10154125113327289,0.22741433021806853,0.898458748866727,0.006802721088435374,0.5473692650224188,0.9462874905175125,0.7370662853892374
0.018702940829098225,146,979,124,1,0.216,0.12977777777777777,0.9931972789115646,0.11242067089755213,0.22955974842767296,0.8875793291024479,0.006802721088435374,0.5528089749045584,0.9462874905175125,0.7370662853892374
0.020562608519103378,146,968,135,1,0.2248,0.1310592459605027,0.9931972789115646,0.12239347234814144,0.23156225218080886,0.8776065276518585,0.006802721088435374,0.557795375629853,0.9462874905175125,0.7370662853892374
0.020843173135071995,146,966,137,1,0.2264,0.13129496402877697,0.9931972789115646,0.1242067089755213,0.23193010325655278,0.8757932910244787,0.006802721088435374,0.5587019939435429,0.9462874905175125,0.7370662853892374
0.022664794847369194,146,954,149,1,0.236,0.13272727272727272,0.9931972789115646,0.13508612873980055,0.2341619887730553,0.8649138712601995,0.006802721088435374,0.5641417038256826,0.9462874905175125,0.7370662853892374
0.024529540706425906,146,941,162,1,0.2464,0.1343146274149034,0.9931972789115646,0.1468721668177697,0.23662884927066452,0.8531278331822303,0.006802721088435374,0.5700347228646672,0.9462874905175125,0.7370662853892374
0.025432014716789127,146,938,165,1,0.2488,0.13468634686346864,0.9931972789115646,0.14959202175883954,0.23720552396425668,0.8504079782411604,0.006802721088435374,0.5713946503352021,0.9462874905175125,0.7370662853892374
0.026597593203186994,146,929,174,1,0.256,0.13581395348837208,0.9931972789115646,0.15775158658204896,0.23895253682487724,0.8422484134179511,0.006802721088435374,0.5754744327468068,0.9462874905175125,0.7370662853892374
0.029305309336632487,146,916,187,1,0.2664,0.1374764595103578,0.9931972789115646,0.16953762466001812,0.24152191894127373,0.8304623753399819,0.006802721088435374,0.5813674517857914,0.9462874905175125,0.7370662853892374
0.030301420914474877,146,913,190,1,0.2688,0.13786591123701605,0.9931972789115646,0.17225747960108795,0.24212271973466004,0.827742520398912,0.006802721088435374,0.5827273792563263,0.9462874905175125,0.7370662853892374
