epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,2.739517511523087,0.9976133737451531,1.8278293889578545,0.41288142176622583,2.1030679428100587,0.8656,0.4606741573033708,0.8367346938775511,0.5942028985507247,0.13055303717135086,0.001
2,2.401336168117298,0.8845832400630536,1.6005492544240965,0.3584952754100625,2.0347118003845215,0.8256,0.3940298507462687,0.8979591836734694,0.5477178423236515,0.1840435176790571,0.001
3,2.2326722001046937,0.8246587356058782,1.4640068949210832,0.35633593498408545,1.9034818218231202,0.8344,0.40797546012269936,0.9047619047619048,0.562367864693446,0.17497733454215775,0.001
4,2.046111528957861,0.7476959045135062,1.3266728852099956,0.34559068843874363,1.8314846820831299,0.9248,0.6387434554973822,0.8299319727891157,0.7218934911242603,0.06255666364460562,0.001
5,1.982123390725432,0.7150899657108087,1.2899241118842206,0.33465431809163043,1.8413312530517578,0.9256,0.6436170212765957,0.8231292517006803,0.7223880597014926,0.06074342701722575,0.001
6,1.9139570923275078,0.7036332598529498,1.2559631491546799,0.3061773167011332,1.7859671310424805,0.928,0.6557377049180327,0.8163265306122449,0.7272727272727273,0.057116953762466005,0.001
7,1.8915761244919425,0.6780534781356125,1.2348987248139898,0.3176506690667567,1.8056196582794188,0.8984,0.5413223140495868,0.891156462585034,0.6735218508997429,0.10063463281958296,0.001
8,1.8665454638292847,0.6662120045387976,1.2333179371288763,0.3001215263804714,1.85401012840271,0.908,0.5701754385964912,0.8843537414965986,0.6933333333333334,0.08884859474161379,0.001
9,1.855283815548596,0.6762660479940255,1.2282094335730112,0.2889413501673113,1.7578862670898439,0.924,0.6262135922330098,0.8775510204081632,0.7308781869688386,0.06980961015412511,0.001
10,1.816619535801911,0.6553641937868336,1.1987437930231597,0.29019363886585625,1.7777194129943847,0.9232,0.625615763546798,0.8639455782312925,0.7257142857142858,0.06890299184043518,0.001
11,1.7829293922129381,0.6421288323893646,1.166675135120675,0.29518985226571526,1.7309156509399415,0.9288,0.6542553191489362,0.8367346938775511,0.7343283582089553,0.05893019038984588,0.001
12,1.7853177321460347,0.6516965911743235,1.1872455582162766,0.27222388366337513,1.7732021179199218,0.9272,0.6372549019607843,0.8843537414965986,0.7407407407407407,0.06708975521305531,0.001
13,1.797108865029861,0.651800836112099,1.1871613539393173,0.28404709090469216,1.8544182216644287,0.9328,0.6721311475409836,0.8367346938775511,0.7454545454545455,0.05439709882139619,0.001
14,1.7559724144516862,0.6414411385569913,1.168800469683895,0.26645138506222593,1.8671774864196777,0.9304,0.654639175257732,0.8639455782312925,0.7448680351906158,0.06074342701722575,0.001
15,1.7475719788618673,0.6306920788435488,1.1634289585463784,0.2687969600756089,1.7569196895599366,0.9128,0.5848214285714286,0.891156462585034,0.7061994609164419,0.0843155031731641,0.001
16,1.7405333467473219,0.6427005173850474,1.1565013543012788,0.2626817313390485,1.766717654800415,0.9256,0.6363636363636364,0.8571428571428571,0.7304347826086957,0.06527651858567543,0.0005
17,1.6772798311712742,0.6127734051797122,1.1130434129626352,0.2578497194342433,1.7109825782775878,0.9216,0.6183574879227053,0.8707482993197279,0.7231638418079096,0.07162284678150499,0.0005
18,1.6401073187917536,0.5975382600481164,1.100956339196077,0.24038185906332118,1.799414958190918,0.9288,0.6494845360824743,0.8571428571428571,0.7390029325513197,0.061650045330915684,0.0005
19,1.6237780449747634,0.5855140610441348,1.101637498334208,0.2293835158740599,1.7667251609802246,0.9264,0.6368159203980099,0.8707482993197279,0.735632183908046,0.06618313689936536,0.0005
20,1.6095762027218523,0.5742866683719301,1.0887621938764966,0.23367066509987408,1.8037332092285157,0.924,0.6287128712871287,0.8639455782312925,0.7277936962750716,0.06799637352674524,0.0005
21,1.5692258922308295,0.5650054911335222,1.0630895878391566,0.22363355632399673,1.9240676914215087,0.9288,0.657608695652174,0.8231292517006803,0.7311178247734139,0.057116953762466005,0.0005
22,1.6052737489512596,0.5856229114214119,1.0914946484146035,0.22096765400131277,1.7861546913146973,0.9216,0.6150234741784038,0.891156462585034,0.7277777777777777,0.0743427017225748,0.00025
23,1.521598509154956,0.5512219121346928,1.0490338236218717,0.19695372599307287,1.8562647106170653,0.9144,0.591743119266055,0.8775510204081632,0.7068493150684931,0.08068902991840435,0.00025
24,1.5051491510798918,0.532925066922123,1.0362015458721474,0.20248507232421825,1.8449057277679444,0.9216,0.6195121951219512,0.8639455782312925,0.7215909090909091,0.07071622846781506,0.00025
25,1.477730695582266,0.5224023241654805,1.0176991203125059,0.19883041759566514,1.8605409767150878,0.924,0.6262135922330098,0.8775510204081632,0.7308781869688386,0.06980961015412511,0.00025
26,1.4902554427439938,0.5362415567150735,1.01642104048542,0.20571362845872398,1.899398279953003,0.9224,0.6213592233009708,0.8707482993197279,0.7252124645892352,0.07071622846781506,0.00025
27,1.4538577558947077,0.5145275057089475,1.0009950516724209,0.19559896457288284,1.9817823554992675,0.9136,0.5915492957746479,0.8571428571428571,0.7000000000000001,0.07887579329102448,0.000125
