condition,paths,skipped_paths,direct_mean_rollout_error_km,direct_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_final_rollout_error_km,persistence_mean_rollout_error_km,const_velocity_mean_rollout_error_km
with_weather,27,7,417.2237074645716,603.5777617529542,199.93685887760057,248.81537900871623,226.77969901065262,316.3885587897351,388.61881565126066,1204.7359356546333
without_weather,27,7,240.06871769651627,343.52082587988303,208.863016002393,266.35272236729037,200.8863256339677,257.2151368201554,388.61881565126066,1204.7359356546333
