path_id,model,with_mean_rollout_error_km,without_mean_rollout_error_km,with_minus_without_mean_km,without_minus_with_mean_km,with_final_rollout_error_km,without_final_rollout_error_km,with_minus_without_final_km
Angela_DER_AY470_eobs_4001__2022__southbound_01,direct,761.9566468729457,248.5708283025322,513.3858185704136,-513.3858185704136,1421.8176879486127,437.4805193726857,984.3371685759271
Angela_DER_AY470_eobs_4001__2023__southbound_01,direct,48.537871306294655,35.95443723143924,12.583434074855411,-12.583434074855411,128.45910635145754,80.48739186392753,47.97171448753001
Baunach_1_9698_ABR25__2023__southbound_01,direct,1554.5031212261904,1346.9120166496205,207.59110457656993,-207.59110457656993,1937.650285422693,2326.409352202896,-388.75906678020306
Baunach_2_plus_9704_ABR20__2023__southbound_01,direct,12.002822736897544,177.65506812911002,-165.65224539221248,165.65224539221248,15.820198526167433,370.1430502553615,-354.3228517291941
Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,direct,653.0185843299661,1255.6240102284808,-602.6054258985147,602.6054258985147,1112.3659264469024,2276.8289072268158,-1164.4629807799133
Bembo_Sparky_DER_AU891_eobs_3042__2023__southbound_01,direct,331.2024679984886,470.73445355815625,-139.53198555966765,139.53198555966765,549.6915157136337,953.1268810176532,-403.43536530401946
Ed_plus_AAL16_e-obs_7210__2021__southbound_01,direct,158.71866761499052,880.3363349808889,-721.6176673658983,721.6176673658983,123.11358142471045,1424.2740102869784,-1301.160428862268
Elfie_plus_DER_AU860_eobs_4408__2021__southbound_01,direct,75.31957427041368,47.82090222860421,27.49867204180947,-27.49867204180947,158.91850487262226,72.79728704329783,86.12121782932444
Europa_DER_A1A26_eobs_4004__2021__southbound_01,direct,49.40369736349981,89.78901207449036,-40.38531471099055,40.38531471099055,119.62376005463426,156.96792685174702,-37.34416679711276
Europa_DER_A1A26_eobs_4004__2022__southbound_01,direct,686.0893989393852,100.92806044301284,585.1613384963723,-585.1613384963723,877.8858881928936,236.0374565562769,641.8484316366167
Europa_DER_A1A26_eobs_4004__2023__southbound_01,direct,50.310668606281936,43.31133354780879,6.999335058473143,-6.999335058473143,104.45795084241128,80.27114102576988,24.1868098166414
Frensdorf_3_plus_12173_ABR24__2023__southbound_01,direct,12.980597779302965,44.25195978158239,-31.271362002279428,31.271362002279428,26.573216055273512,91.6507554574724,-65.07753940219888
Loriana_plus_A3M19_e-obs_7990__2021__southbound_01,direct,63.31997021454917,44.63180424036038,18.68816597418879,-18.68816597418879,114.95690470123112,101.93811093226846,13.018793768962666
Louis_DER_AU050_eobs_3264__2021__southbound_01,direct,28.401246347435627,17.05926549762409,11.341980849811538,-11.341980849811538,54.31418041314468,31.30106894461616,23.013111468528525
Louis_DER_AU050_eobs_3264__2022__southbound_01,direct,1.1205612667433231,1.3979835147363322,-0.2774222479930091,0.2774222479930091,1.1205612667433231,1.3979835147363322,-0.2774222479930091
Moenchsambach_4_12183_ABR27__2023__southbound_01,direct,178.85037455751703,98.75655973399547,80.09381482352156,-80.09381482352156,343.00613633962723,140.064556291204,202.94158004842322
Rosalie_DER_A2M38_e-obs_6993__2021__southbound_01,direct,428.437435229228,694.1299396197934,-265.6925043905654,265.6925043905654,359.1830984866627,765.0508189007595,-405.8677204140968
Rosalie_DER_A2M38_e-obs_6993__2022__southbound_01,direct,296.5653344854041,811.0842977672769,-514.5189632818729,514.5189632818729,460.3884447198993,964.027517885796,-503.63907316589666
Rosalie_DER_A2M38_e-obs_6993__2023__southbound_01,direct,186.76797633651705,1098.211453186099,-911.4434768495821,911.4434768495821,298.0242964887538,1590.4785324805775,-1292.4542359918237
Rudolph_plus_A3M22_e-obs_8046__2021__southbound_01,direct,12.635997530974077,13.14866111336677,-0.5126635823926939,0.5126635823926939,15.470857048127602,34.68235370306218,-19.211496654934574
Sierit_DER_AN858_eobs2561__2021__southbound_01,direct,7.632229004985675,8.258655564730423,-0.6264265597447487,0.6264265597447487,13.594060725508111,16.281313231802088,-2.6872525062939765
Steppach_2_12178_AEH96__2023__southbound_01,direct,41.51259555070805,354.89474185214493,-313.3821463014369,313.3821463014369,20.12696172412397,595.2677150074617,-575.1407532833377
Steppach_3_12179_AEH97__2023__southbound_01,direct,433.62160883568737,1780.9712485541856,-1347.3496397184983,1347.3496397184983,448.40928585065353,2765.3307525254995,-2316.9214666748458
Steppach_5_12185__2023__southbound_01,direct,56.617492689943646,549.0721031755736,-492.4546104856299,492.4546104856299,113.81787693747874,884.1904087458431,-770.3725318083643
Wingersdorf_1_12174_A1X36__2023__southbound_01,direct,1284.916265953861,2090.791585675877,-805.8753197220158,805.8753197220158,1964.837751294592,3514.157447418506,-1549.319696123914
Wingersdorf_2_12175_AEH98__2023__southbound_01,direct,356.97884495848285,377.4552508680087,-20.47640590952585,20.47640590952585,766.3004727179143,785.0697427399748,-18.769270022060482
Wingersdorf_3_12176_AEH99__2023__southbound_01,direct,761.4818019213009,1740.9196575404344,-979.4378556191335,979.4378556191335,1419.4879391949073,2991.012631277068,-1571.5246920821608
Angela_DER_AY470_eobs_4001__2022__southbound_01,lstm,468.1670131979933,461.0047554379656,7.162257760027671,-7.162257760027671,850.0707193060803,795.4170120963614,54.653707209718846
Angela_DER_AY470_eobs_4001__2023__southbound_01,lstm,7.970908325456992,9.99554321118157,-2.024634885724578,2.024634885724578,14.277080939616742,33.36898452269981,-19.09190358308307
Baunach_1_9698_ABR25__2023__southbound_01,lstm,452.8769782989229,474.1214021306176,-21.24442383169469,21.24442383169469,574.5277832863761,491.2214869934489,83.30629629292724
Baunach_2_plus_9704_ABR20__2023__southbound_01,lstm,14.382865183347551,36.11096136190792,-21.728096178560367,21.728096178560367,33.61075453531124,70.55040880308628,-36.93965426777505
Bembo_Sparky_DER_AU891_eobs_3042__2021__southbound_01,lstm,69.14166057109098,337.9894036420266,-268.8477430709356,268.8477430709356,85.03322993354617,524.9708479302304,-439.93761799668425
Bembo_Sparky_DER_AU891_eobs_3042__2023__southbound_01,lstm,196.09335000012896,223.51881565485567,-27.425465654726707,27.425465654726707,62.99296457397855,310.8844087210598,-247.89144414708124
Ed_plus_AAL16_e-obs_7210__2021__southbound_01,lstm,343.5690127697402,293.86387701778995,49.70513575195025,-49.70513575195025,405.3725898452169,306.24775083917314,99.12483900604377
Elfie_plus_DER_AU860_eobs_4408__2021__southbound_01,lstm,40.24099332205039,73.86435260522947,-33.62335928317908,33.62335928317908,57.34507086824544,126.60821172068496,-69.26314085243952
Europa_DER_A1A26_eobs_4004__2021__southbound_01,lstm,37.13046692011852,66.96376362042653,-29.83329670030801,29.83329670030801,52.00283814072285,108.20789106283814,-56.20505292211529
Europa_DER_A1A26_eobs_4004__2022__southbound_01,lstm,59.50373984057193,183.1027802168304,-123.59904037625847,123.59904037625847,101.2480126341768,288.57138669186287,-187.32337405768607
