epoch,train_loss,test_delta_mse_norm,lr
1,0.7176857656225433,1.4731939321138612,0.001
2,0.6249890278353681,1.3178371012711725,0.001
3,0.5918197624320641,1.1968407403855097,0.001
4,0.5730061012177482,1.4092866764015177,0.001
5,0.5667420986921856,1.243644673750848,0.001
6,0.5294468109432006,1.3575582146310672,0.001
7,0.5309496206975377,1.1320791068197298,0.001
8,0.49141779390828355,1.3278592555796733,0.001
9,0.4970897019377073,1.2741452428139224,0.001
10,0.5025459287980919,1.2474053016897677,0.001
11,0.453152626260184,1.1459715354342421,0.001
12,0.4443417408947986,1.111192658368279,0.001
13,0.4101377944713816,1.128945887589655,0.001
14,0.4050313006198249,1.15225071626551,0.001
15,0.4063118964592326,1.1140684432342274,0.001
16,0.39035138899487054,1.1526448973754542,0.001
17,0.3741922954503947,1.2575245021104144,0.0005
18,0.3458606400771046,1.2128290117621756,0.0005
19,0.3068164101449272,1.1602111378303763,0.0005
20,0.28680671192444684,1.2676897770216484,0.0005
21,0.29270922474648714,1.2394562964345894,0.0005
22,0.2833886890726685,1.352788187876469,0.00025
23,0.2599432170558089,1.294509812897327,0.00025
24,0.2411094852883664,1.2718209007541004,0.00025
25,0.24656143425041369,1.2723746708461217,0.00025
26,0.23852410270373473,1.2463015676546498,0.00025
27,0.22740276529445605,1.3323657102611552,0.000125
28,0.22108193833676332,1.255447060721261,0.000125
29,0.20917085692407572,1.2652842502967985,0.000125
30,0.21041520449269482,1.2955951786842668,0.000125
31,0.20803235074608023,1.2945518675304595,0.000125
32,0.21396281907549422,1.2789031287869153,6.25e-05
33,0.2096497658447045,1.2928834354176242,6.25e-05
34,0.2135467799304747,1.2785142615395768,6.25e-05
35,0.19947467109725467,1.2970563744296546,6.25e-05
36,0.19096273443517847,1.3082190462855063,6.25e-05
37,0.19846155721789216,1.293816918552089,3.125e-05
38,0.19304662162548156,1.3091451158710554,3.125e-05
39,0.18955967602658988,1.3146338027398459,3.125e-05
40,0.1930939168380936,1.315777970428894,3.125e-05
41,0.18107332916746088,1.3091285107182522,3.125e-05
42,0.18821238309487337,1.3041598344049534,1.5625e-05
