path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,north_anchor_date,south_anchor_date,north_anchor_lat,south_anchor_lat,north_anchor_lon,south_anchor_lon,lat_drop_deg
Niclas_DER_AU053_eobs_3341__2015__southbound_01,Niclas / DER AU053 (eobs 3341),2015,1,191,134,2015-07-12 00:00:00+00:00,2015-11-22 00:00:00+00:00,47.3893515,41.537176,8.7367099,0.5552791,5.852175499999994
Niclas_DER_AU053_eobs_3341__2016__southbound_01,Niclas / DER AU053 (eobs 3341),2016,1,197,107,2016-08-26 00:00:00+00:00,2016-12-10 00:00:00+00:00,47.2786038,41.5045035,8.7714026,0.4849951,5.774100300000001
Pjotre_plus_DER_AU003_eobs_3925__2014__southbound_01,Pjotre + / DER AU003 (eobs 3925),2014,1,102,54,2014-08-17 00:00:00+00:00,2014-10-12 00:00:00+00:00,47.8190155,34.5018241,8.8820818,-6.2049657,13.317191399999999
Redrunner_plus_DER_AU057_eobs_3339__2014__southbound_01,Redrunner + / DER AU057 (eobs 3339),2014,1,191,70,2014-08-11 00:00:00+00:00,2014-10-19 00:00:00+00:00,47.81732185,33.3981299,8.8893973,-5.3914306,14.419191949999998
Redrunner_plus_DER_AU057_eobs_3339__2015__southbound_01,Redrunner + / DER AU057 (eobs 3339),2015,1,124,112,2015-06-13 00:00:00+00:00,2015-10-02 00:00:00+00:00,41.9957538,31.2740846,-1.3063332,-8.9721047,10.721669200000004
Redrunner_plus_DER_AU057_eobs_3339__2016__southbound_01,Redrunner + / DER AU057 (eobs 3339),2016,1,128,56,2016-08-26 00:00:00+00:00,2016-10-20 00:00:00+00:00,49.66284975,33.8853983,8.397196699999999,-5.5583657,15.777451450000001
Redrunner_plus_DER_AU057_eobs_3339__2017__southbound_01,Redrunner + / DER AU057 (eobs 3339),2017,1,118,75,2017-09-05 00:00:00+00:00,2017-11-18 00:00:00+00:00,49.20253565,34.0052413,8.2237936,-4.9349541,15.19729435
Ronja_plus_DER_AU004_eobs_3926__2014__southbound_01,Ronja + / DER AU004 (eobs 3926),2014,1,199,78,2014-07-31 00:00:00+00:00,2014-10-16 00:00:00+00:00,47.8238286,36.1720464,8.8835031,-5.4566102,11.6517822
Sara_plus_DER_AU017_eobs_3941__2014__southbound_01,Sara + / DER AU017 (eobs 3941),2014,1,197,63,2014-08-13 00:00:00+00:00,2014-10-14 00:00:00+00:00,47.8203952,30.69423765,8.8760885,-8.38735535,17.12615755
Sara_plus_DER_AU017_eobs_3941__2015__southbound_01,Sara + / DER AU017 (eobs 3941),2015,1,199,183,2015-06-07 00:00:00+00:00,2015-12-06 00:00:00+00:00,45.5693494,37.0964127,6.2361764,-6.04474445,8.472936699999998
Sara_plus_DER_AU017_eobs_3941__2016__southbound_01,Sara + / DER AU017 (eobs 3941),2016,1,170,130,2016-06-08 00:00:00+00:00,2016-10-15 00:00:00+00:00,49.2054227,41.53722625,10.5602089,0.61304425,7.668196449999996
Sara_plus_DER_AU017_eobs_3941__2018__southbound_01,Sara + / DER AU017 (eobs 3941),2018,1,214,146,2018-07-25 00:00:00+00:00,2018-12-17 00:00:00+00:00,49.8899053,41.52806585,8.5041561,0.49022855,8.361839450000005
Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,Sara + / DER AU017 (eobs 3941),2019,1,208,80,2019-07-23 00:00:00+00:00,2019-10-10 00:00:00+00:00,49.89955475,41.5241537,8.538199500000001,0.43048175,8.37540105
Sierit_DER_AN858_eobs2561__2013__southbound_01,Sierit  / DER AN858 (eobs2561),2013,1,191,133,2013-08-10 00:00:00+00:00,2013-12-20 00:00:00+00:00,47.7515108,33.87231185,8.93143965,-6.81590895,13.879198949999996
Sierit_DER_AN858_eobs2561__2015__southbound_01,Sierit  / DER AN858 (eobs2561),2015,1,214,79,2015-08-08 00:00:00+00:00,2015-10-25 00:00:00+00:00,47.824197,41.5372537,8.8810108,0.6152658,6.286943299999997
Sierit_DER_AN858_eobs2561__2017__southbound_01,Sierit  / DER AN858 (eobs2561),2017,1,214,113,2017-06-25 00:00:00+00:00,2017-10-15 00:00:00+00:00,47.8424911,41.5373927,8.837416,0.6141334,6.3050983999999985
Sierit_DER_AN858_eobs2561__2018__southbound_01,Sierit  / DER AN858 (eobs2561),2018,1,213,127,2018-06-02 00:00:00+00:00,2018-10-06 00:00:00+00:00,47.815114,41.5267776,8.8809693,0.4309014,6.288336399999999
Sierit_DER_AN858_eobs2561__2020__southbound_01,Sierit  / DER AN858 (eobs2561),2020,1,214,139,2020-07-08 00:00:00+00:00,2020-11-23 00:00:00+00:00,47.8074046,41.53495435000001,8.88580825,0.51965565,6.2724502499999915
Sierit_DER_AN858_eobs2561__2021__southbound_01,Sierit  / DER AN858 (eobs2561),2021,1,211,66,2021-08-13 00:00:00+00:00,2021-10-17 00:00:00+00:00,47.8109808,41.53828245,8.8902253,0.61490965,6.272698350000006
Tammy_plus_DER_AN918_eobs_3917__2014__southbound_01,Tammy + / DER AN918 (eobs 3917),2014,1,199,89,2014-08-17 00:00:00+00:00,2014-11-13 00:00:00+00:00,47.8136192,37.0177039,8.8926304,-6.2699750000000005,10.795915299999997
Tammy_plus_DER_AN918_eobs_3917__2015__southbound_01,Tammy + / DER AN918 (eobs 3917),2015,1,214,171,2015-06-16 00:00:00+00:00,2015-12-03 00:00:00+00:00,42.3404713,37.04549605,-1.351702,-5.99174915,5.29497525
Tobi_plus_DER_AU052_eobs_3340__2014__southbound_01,Tobi + / DER AU052 (eobs 3340),2014,1,191,92,2014-08-06 00:00:00+00:00,2014-11-05 00:00:00+00:00,47.77321065,33.871612299999995,8.88609855,-6.8049405,13.901598350000008
Wibi_2_plus_DER_AU044_eobs_3943__2014__southbound_01,Wibi 2 + / DER AU044 (eobs 3943),2014,1,191,101,2014-08-29 00:00:00+00:00,2014-12-07 00:00:00+00:00,47.8167783,42.2126332,8.8897224,3.0952888,5.604145100000004
Yolo_plus_DER_AN861_eobs2666__2013__southbound_01,Yolo + / DER AN861 (eobs2666),2013,1,90,54,2013-07-30 00:00:00+00:00,2013-09-21 00:00:00+00:00,47.804306,31.2690418,8.89663045,-8.8076073,16.535264199999997
Yolo_plus_DER_AN861_eobs2666__2014__southbound_01,Yolo + / DER AN861 (eobs2666),2014,1,90,90,2014-06-01 00:00:00+00:00,2014-08-29 00:00:00+00:00,41.9616595,30.2642669,-0.3791754,-9.1157545,11.697392600000004
Zlipi_plus_DER_AU010_eobs_3934__2014__southbound_01,Zlipi + / DER AU010 (eobs 3934),2014,1,199,58,2014-08-09 00:00:00+00:00,2014-10-05 00:00:00+00:00,47.7553621,38.2012396,8.9180469,-0.7652433,9.554122499999998
Zozu_plus_DER_AL581_eobs2541__2013__southbound_01,Zozu + / DER AL581 (eobs2541),2013,1,191,89,2013-08-10 00:00:00+00:00,2013-11-06 00:00:00+00:00,47.75163185,34.2713528,8.930337999999999,-6.5528738,13.48027905
Zozu_plus_DER_AL581_eobs2541__2016__southbound_01,Zozu + / DER AL581 (eobs2541),2016,1,214,130,2016-07-07 00:00:00+00:00,2016-11-13 00:00:00+00:00,47.76058975,41.51177725,8.997805750000001,0.49006525,6.2488125
Zozu_plus_DER_AL581_eobs2541__2017__southbound_01,Zozu + / DER AL581 (eobs2541),2017,1,214,158,2017-07-24 00:00:00+00:00,2017-12-28 00:00:00+00:00,47.7655131,41.5166096,8.9635051,0.4874551,6.248903499999997
Zozu_plus_DER_AL581_eobs2541__2018__southbound_01,Zozu + / DER AL581 (eobs2541),2018,1,211,189,2018-06-16 00:00:00+00:00,2018-12-24 00:00:00+00:00,47.75608555,39.9564395,8.95500675,-3.9832203,7.79964605
Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,Zozu + / DER AL581 (eobs2541),2019,1,214,145,2019-08-06 00:00:00+00:00,2019-12-28 00:00:00+00:00,47.7542203,41.5365587,9.06452145,0.61693255,6.2176616
Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,Zozu + / DER AL581 (eobs2541),2020,1,213,136,2020-06-03 00:00:00+00:00,2020-10-16 00:00:00+00:00,47.8050238,41.5266963,8.988107,0.4314196,6.278327500000003
