path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,lat_drop_deg,individual_local_identifier,date,lat_median,lon_median,n_points,timestamp_min_utc,step_length_km,heading_deg,speed_km_per_day,turning_angle_deg,stopover_duration_days,year
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-09 00:00:00+00:00,41.5888737,0.6160386,217,2017-09-09T02:00:23+00:00,2.9690628660941942,3.643331454320332,2.9690628660941942,5.648411828410133,4,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-10 00:00:00+00:00,41.5414947,0.6151835,219,2017-09-10T02:00:23+00:00,5.268792015289003,180.7739358853113,5.268792015289003,177.13060443099096,5,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-11 00:00:00+00:00,41.5845043,0.6161084,217,2017-09-11T02:00:23+00:00,4.783074961715729,0.921516608764648,4.783074961715729,179.85241927654664,6,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-12 00:00:00+00:00,41.61767185,0.60461475,218,2017-09-12T02:00:23+00:00,3.8098827448239256,345.47617475921714,3.8098827448239256,15.445341849547503,7,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-13 00:00:00+00:00,41.5565841,0.55497595,216,2017-09-13T02:00:23+00:00,7.948808848565513,211.3063881197113,7.948808848565513,134.16978663950584,8,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-14 00:00:00+00:00,41.5699107,0.6096521,217,2017-09-14T02:00:23+00:00,4.784265834974296,71.93863127716793,4.784265834974296,139.36775684254337,9,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-15 00:00:00+00:00,41.5382632,0.615028,219,2017-09-15T02:00:23+00:00,3.547364184394416,172.7537825799152,3.547364184394416,100.81515130274728,10,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-16 00:00:00+00:00,41.5401726,0.6136613,219,2017-09-16T02:00:23+00:00,0.2408674268096363,331.81988546663285,0.2408674268096363,159.06610288671766,11,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-17 00:00:00+00:00,41.555552,0.61459255,218,2017-09-17T02:00:23+00:00,1.711868692239749,2.5943926561380977,1.711868692239749,30.774507189505243,12,2017
Adi_plus_DER_AU893_eobs_3029__2017__southbound_01,Adi + / DER AU893 (eobs 3029),2017,1,129,58,12.620176049999998,Adi + / DER AU893 (eobs 3029),2017-09-18 00:00:00+00:00,41.5555073,0.6136236,217,2017-09-18T02:00:23+00:00,0.0807781762274097,266.4725850535142,0.0807781762274097,96.1218076026239,13,2017
