epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,2.503294035898624,0.9394644538166973,1.4230633276423412,0.6104984733461917,2.1301764540490953,0.7818791946308725,0.23265306122448978,0.890625,0.36893203883495146,0.22650602409638554,0.001
2,2.1407489618410214,0.8158328813900398,1.2222735211492801,0.5105589907322042,1.7370946271307517,0.8394854586129754,0.29023746701846964,0.859375,0.4339250493096647,0.16204819277108434,0.001
3,1.9775542458726416,0.7261732577644117,1.1094280960942928,0.5050395282060679,1.642461371101789,0.8791946308724832,0.36075949367088606,0.890625,0.5135135135135135,0.1216867469879518,0.001
4,1.901333898385077,0.6869378292782292,1.0591550293943628,0.498709973005661,1.7857626401871376,0.8965324384787472,0.398576512455516,0.875,0.5476772616136919,0.10180722891566266,0.001
5,1.8348638458596027,0.6652157485210017,1.0359887135243886,0.46626725794968615,1.709810909808882,0.8568232662192393,0.32222222222222224,0.90625,0.4754098360655738,0.14698795180722893,0.001
6,1.7796772292836898,0.6400427349529605,1.006179315162662,0.45347653377924646,1.6717494088798028,0.9032438478747203,0.4163568773234201,0.875,0.5642317380352645,0.09457831325301205,0.001
7,1.7846005893790493,0.6381618326284755,1.0107868446401576,0.4547328205562741,1.6422862425213158,0.8439597315436241,0.3038961038961039,0.9140625,0.456140350877193,0.1614457831325301,0.001
8,1.7452071429865958,0.6313771126303969,1.0032091519496205,0.42630943201910515,1.5735232379345818,0.9328859060402684,0.5194174757281553,0.8359375,0.6407185628742514,0.05963855421686747,0.001
9,1.697169603842686,0.6188704924989523,0.9967697716696148,0.3909645826603846,1.5917945814879415,0.9077181208053692,0.42745098039215684,0.8515625,0.5691906005221932,0.08795180722891566,0.001
10,1.6598666729818372,0.6066416060902858,0.9596123369302537,0.3969335349631166,1.7771567663623715,0.8417225950782998,0.2987012987012987,0.8984375,0.44834307992202727,0.16265060240963855,0.001
11,1.6294612790501013,0.5884580411638951,0.9500854243399997,0.385146823805073,1.6863768351424726,0.8875838926174496,0.3771043771043771,0.875,0.5270588235294117,0.11144578313253012,0.001
12,1.6299508610166482,0.5983571059769508,0.9544907581671154,0.37628154385141555,1.667893806826615,0.8747203579418344,0.3490566037735849,0.8671875,0.4977578475336322,0.1246987951807229,0.001
13,1.612392338618184,0.5906649283463598,0.9511945074029009,0.36586536499790806,1.7385762479214593,0.8931767337807607,0.3902439024390244,0.875,0.5397590361445784,0.10542168674698796,0.0005
14,1.50709670347828,0.5568401261720269,0.9169599693682691,0.3117166736870775,1.6210923637586419,0.9256152125279642,0.4885844748858447,0.8359375,0.61671469740634,0.06746987951807229,0.0005
15,1.4764144715688026,0.5463211772000435,0.9037819615762028,0.29947191201241063,1.6522902047607455,0.8389261744966443,0.2948717948717949,0.8984375,0.44401544401544396,0.16566265060240964,0.0005
16,1.4507279885663733,0.5358513517657154,0.8994789512203116,0.2833233676603867,1.7343542826522382,0.9043624161073825,0.4163424124513619,0.8359375,0.5558441558441558,0.09036144578313253,0.0005
17,1.4280703474201368,0.5334549901860858,0.8951024126046322,0.2662404440973726,1.7006453553035488,0.9071588366890381,0.4251968503937008,0.84375,0.5654450261780105,0.08795180722891566,0.0005
18,1.4019022526032208,0.5210977593113069,0.8751753174813539,0.26617805326990174,1.6124680764989832,0.8937360178970917,0.3900709219858156,0.859375,0.5365853658536586,0.10361445783132531,0.00025
