fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc
0.10286445915699005,433,1591,0,0,0.21393280632411066,0.21393280632411066,1.0,0.0,0.35246235246235247,1.0,0.8506378982236977,0.7317102068398492
0.10730252765119076,432,1580,11,1,0.21887351778656128,0.2147117296222664,0.9976905311778291,0.0069138906348208675,0.35337423312883437,0.9930861093651792,0.8506378982236977,0.7317102068398492
0.10920885898172855,432,1571,20,1,0.22332015810276679,0.21567648527209185,0.9976905311778291,0.01257071024512885,0.354679802955665,0.9874292897548711,0.8506378982236977,0.7317102068398492
0.11174059614539146,432,1563,28,1,0.22727272727272727,0.21654135338345865,0.9976905311778291,0.01759899434318039,0.3558484349258649,0.9824010056568196,0.8506378982236977,0.7317102068398492
0.1157022151350975,432,1551,40,1,0.233201581027668,0.2178517397881997,0.9976905311778291,0.0251414204902577,0.35761589403973504,0.9748585795097423,0.8506378982236977,0.7317102068398492
0.11617866463959217,432,1549,42,1,0.2341897233201581,0.21807168096920748,0.9976905311778291,0.026398491514770583,0.35791217895608946,0.9736015084852294,0.8506378982236977,0.7317102068398492
0.11916846990585327,432,1531,60,1,0.24308300395256918,0.22007131940906777,0.9976905311778291,0.03771213073538655,0.36060100166944914,0.9622878692646134,0.8506378982236977,0.7317102068398492
0.12061673313379287,431,1524,67,2,0.24604743083003952,0.220460358056266,0.9953810623556582,0.04211187932118165,0.3609715242881072,0.9578881206788183,0.8506378982236977,0.7317102068398492
0.1250548016279936,431,1514,77,2,0.2509881422924901,0.22159383033419022,0.9953810623556582,0.04839723444374607,0.36248948696383515,0.9516027655562539,0.8506378982236977,0.7317102068398492
0.12588174819946288,431,1512,79,2,0.2519762845849802,0.2218219248584663,0.9953810623556582,0.049654305468258955,0.3627946127946128,0.950345694531741,0.8506378982236977,0.7317102068398492
0.1294928701221943,429,1494,97,4,0.2598814229249012,0.22308892355694226,0.9907621247113164,0.06096794468887492,0.364176570458404,0.9390320553111251,0.8506378982236977,0.7317102068398492
0.12950264066457748,428,1494,97,5,0.25938735177865613,0.222684703433923,0.9884526558891455,0.06096794468887492,0.3634819532908705,0.9390320553111251,0.8506378982236977,0.7317102068398492
0.133930938616395,427,1479,112,6,0.266304347826087,0.22402938090241342,0.9861431870669746,0.07039597737272156,0.36511329628046174,0.9296040226272785,0.8506378982236977,0.7317102068398492
0.13465520858764649,427,1475,116,6,0.2682806324110672,0.2245005257623554,0.9861431870669746,0.07291011942174733,0.36573875802997863,0.9270898805782527,0.8506378982236977,0.7317102068398492
0.1383690071105957,427,1461,130,6,0.27519762845849804,0.22616525423728814,0.9861431870669746,0.08170961659333752,0.3679448513571737,0.9182903834066625,0.8506378982236977,0.7317102068398492
0.14057032376527787,426,1456,135,7,0.27717391304347827,0.2263549415515409,0.9838337182448037,0.08485229415461974,0.3680345572354211,0.9151477058453803,0.8506378982236977,0.7317102068398492
0.1428070756047964,426,1444,147,7,0.28310276679841895,0.22780748663101605,0.9838337182448037,0.09239472030169704,0.3699522362136344,0.907605279698303,0.8506378982236977,0.7317102068398492
0.14407104432582854,425,1437,154,8,0.28606719367588934,0.22824919441460795,0.9815242494226328,0.09679446888749214,0.3703703703703704,0.9032055311125079,0.8506378982236977,0.7317102068398492
0.1472451440989971,425,1423,168,8,0.29298418972332013,0.22997835497835498,0.9815242494226328,0.10559396605908233,0.37264357737834286,0.8944060339409177,0.8506378982236977,0.7317102068398492
0.14814302518963815,424,1417,174,9,0.29545454545454547,0.23030961434003258,0.9792147806004619,0.10936517913262099,0.3729111697449428,0.890634820867379,0.8506378982236977,0.7317102068398492
0.15025428980588912,423,1398,193,10,0.30434782608695654,0.23228995057660626,0.976905311778291,0.1213073538654934,0.37533274179236914,0.8786926461345066,0.8506378982236977,0.7317102068398492
0.15168321259319784,423,1389,202,10,0.30879446640316205,0.23344370860927152,0.976905311778291,0.12696417347580138,0.37683741648106905,0.8730358265241986,0.8506378982236977,0.7317102068398492
0.1535984221100807,422,1379,212,11,0.3132411067193676,0.23431426985008327,0.9745958429561201,0.1332495285983658,0.37779767233661593,0.8667504714016342,0.8506378982236977,0.7317102068398492
0.15612128108739853,422,1367,224,11,0.3191699604743083,0.23588596981553941,0.9745958429561201,0.14079195474544312,0.3798379837983799,0.8592080452545569,0.8506378982236977,0.7317102068398492
0.1574411952495575,422,1359,232,11,0.3231225296442688,0.2369455362156092,0.9745958429561201,0.14582023884349465,0.3812104787714544,0.8541797611565053,0.8506378982236977,0.7317102068398492
0.16055934958159923,420,1345,246,13,0.3290513833992095,0.23796033994334279,0.9699769053117783,0.15461973601508486,0.38216560509554137,0.8453802639849152,0.8506378982236977,0.7317102068398492
0.16180789649486543,420,1341,250,13,0.3310276679841897,0.23850085178875638,0.9699769053117783,0.1571338780641106,0.38286235186873285,0.8428661219358894,0.8506378982236977,0.7317102068398492
0.16499741807579993,419,1326,265,14,0.33794466403162055,0.24011461318051575,0.9676674364896074,0.16656191074795726,0.38475665748393023,0.8334380892520428,0.8506378982236977,0.7317102068398492
0.16722846239805222,419,1321,270,14,0.3404150197628458,0.24080459770114943,0.9676674364896074,0.16970458830923948,0.38564196962724345,0.8302954116907605,0.8506378982236977,0.7317102068398492
0.16943548657000063,416,1314,277,17,0.3423913043478261,0.24046242774566473,0.9607390300230947,0.17410433689503457,0.38465094775774383,0.8258956631049654,0.8506378982236977,0.7317102068398492
0.17081619948148727,415,1305,286,18,0.34634387351778656,0.24127906976744187,0.9584295612009238,0.17976115650534255,0.3855085926614027,0.8202388434946575,0.8506378982236977,0.7317102068398492
0.17387355506420135,414,1289,302,19,0.35375494071146246,0.24310041103934232,0.9561200923787528,0.18981772470144564,0.38764044943820225,0.8101822752985544,0.8506378982236977,0.7317102068398492
0.1741740423440933,413,1287,304,20,0.3542490118577075,0.24294117647058824,0.953810623556582,0.1910747957259585,0.38724800750117205,0.8089252042740415,0.8506378982236977,0.7317102068398492
0.17831162355840208,412,1268,323,21,0.3631422924901186,0.24523809523809523,0.9515011547344111,0.20301697045883094,0.3899668717463322,0.7969830295411691,0.8506378982236977,0.7317102068398492
0.1783560371398926,412,1268,323,21,0.3631422924901186,0.24523809523809523,0.9515011547344111,0.20301697045883094,0.3899668717463322,0.7969830295411691,0.8506378982236977,0.7317102068398492
0.18201791048049926,410,1249,342,23,0.3715415019762846,0.24713682941531043,0.9468822170900693,0.21495914519170334,0.3919694072657744,0.7850408548082967,0.8506378982236977,0.7317102068398492
0.18274969205260277,410,1247,344,23,0.3725296442687747,0.24743512371756185,0.9468822170900693,0.21621621621621623,0.3923444976076555,0.7837837837837838,0.8506378982236977,0.7317102068398492
0.18521503150463103,408,1231,360,25,0.3794466403162055,0.24893227577791335,0.9422632794457275,0.2262727844123193,0.3938223938223938,0.7737272155876807,0.8506378982236977,0.7317102068398492
0.18718776054680347,407,1221,370,26,0.38389328063241107,0.25,0.9399538106235565,0.23255813953488372,0.39495390587093643,0.7674418604651163,0.8506378982236977,0.7317102068398492
0.18905583918094634,406,1213,378,27,0.38735177865612647,0.25077208153180974,0.9376443418013857,0.23758642363293525,0.3957115009746589,0.7624135763670647,0.8506378982236977,0.7317102068398492
0.19162582904100417,405,1202,389,28,0.3922924901185771,0.2520224019912881,0.9353348729792148,0.24450031426775612,0.3970588235294118,0.7554996857322439,0.8506378982236977,0.7317102068398492
0.19378857851028441,405,1194,397,28,0.39624505928853754,0.25328330206378985,0.9353348729792148,0.24952859836580768,0.39862204724409445,0.7504714016341923,0.8506378982236977,0.7317102068398492
0.19606389753520487,405,1185,406,28,0.4006916996047431,0.25471698113207547,0.9353348729792148,0.25518541797611566,0.4003954522985665,0.7448145820238844,0.8506378982236977,0.7317102068398492
0.1991710191965103,405,1173,418,28,0.4066205533596838,0.25665399239543724,0.9353348729792148,0.26272784412319294,0.4027846842366981,0.7372721558768071,0.8506378982236977,0.7317102068398492
0.2005019660294056,405,1165,426,28,0.4105731225296443,0.25796178343949044,0.9353348729792148,0.2677561282212445,0.40439340988517225,0.7322438717787555,0.8506378982236977,0.7317102068398492
0.2049400345236063,404,1154,437,29,0.41551383399209485,0.2593068035943517,0.9330254041570438,0.27467001885606535,0.40582621798091406,0.7253299811439347,0.8506378982236977,0.7317102068398492
0.2049474847316742,404,1154,437,29,0.41551383399209485,0.2593068035943517,0.9330254041570438,0.27467001885606535,0.40582621798091406,0.7253299811439347,0.8506378982236977,0.7317102068398492
0.20828615725040436,403,1135,456,30,0.4244071146245059,0.26202860858257476,0.930715935334873,0.2866121935889378,0.4089294774226281,0.7133878064110623,0.8506378982236977,0.7317102068398492
0.20937810301780702,402,1129,462,31,0.4268774703557312,0.26257348138471587,0.9284064665127021,0.2903834066624764,0.4093686354378819,0.7096165933375236,0.8506378982236977,0.7317102068398492
0.21114816516637802,401,1117,474,32,0.4323122529644269,0.264163372859025,0.9260969976905312,0.29792583280955376,0.4110712455151204,0.7020741671904462,0.8506378982236977,0.7317102068398492
0.2138161715120077,401,1109,482,32,0.43626482213438733,0.26556291390728476,0.9260969976905312,0.30295411690760526,0.41276376737004633,0.6970458830923947,0.8506378982236977,0.7317102068398492
0.21594276487827302,401,1097,494,32,0.44219367588932806,0.2676902536715621,0.9260969976905312,0.3104965430546826,0.41532884515794927,0.6895034569453174,0.8506378982236977,0.7317102068398492
0.2182542400062084,401,1090,501,32,0.44565217391304346,0.26894701542588867,0.9260969976905312,0.31489629164047767,0.41683991683991684,0.6851037083595223,0.8506378982236977,0.7317102068398492
0.22138543471693994,401,1076,515,32,0.4525691699604743,0.27149627623561273,0.9260969976905312,0.3236957888120679,0.41989528795811526,0.6763042111879322,0.8506378982236977,0.7317102068398492
0.2226923085004091,401,1073,518,32,0.4540513833992095,0.27204884667571233,0.9260969976905312,0.32558139534883723,0.4205558468799161,0.6744186046511628,0.8506378982236977,0.7317102068398492
0.22639859795570375,400,1057,534,33,0.4614624505928854,0.27453671928620454,0.9237875288683602,0.3356379635449403,0.42328042328042326,0.6643620364550598,0.8506378982236977,0.7317102068398492
0.22713037699460983,400,1053,538,33,0.4634387351778656,0.27529249827942187,0.9237875288683602,0.3381521055939661,0.4241781548250264,0.661847894406034,0.8506378982236977,0.7317102068398492
0.23035384550690652,399,1038,553,34,0.47035573122529645,0.2776617954070981,0.9214780600461894,0.3475801382778127,0.4267379679144385,0.6524198617221874,0.8506378982236977,0.7317102068398492
0.23156844548881053,398,1031,560,35,0.4733201581027668,0.27851644506648005,0.9191685912240185,0.3519798868636078,0.42749731471535984,0.6480201131363922,0.8506378982236977,0.7317102068398492
0.2338459610939026,397,1020,571,36,0.4782608695652174,0.2801693719124912,0.9168591224018475,0.35889377749842866,0.4291891891891892,0.6411062225015713,0.8506378982236977,0.7317102068398492
0.23600651398301123,396,1011,580,37,0.48221343873517786,0.2814498933901919,0.9145496535796767,0.36455059710873666,0.4304347826086956,0.6354494028912634,0.8506378982236977,0.7317102068398492
0.2384419284760952,395,1001,590,38,0.4866600790513834,0.2829512893982808,0.9122401847575058,0.37083595223130106,0.43193001640240564,0.6291640477686989,0.8506378982236977,0.7317102068398492
0.24044458247721195,395,992,599,38,0.49110671936758893,0.28478731074260993,0.9122401847575058,0.37649277184160906,0.4340659340659341,0.623507228158391,0.8506378982236977,0.7317102068398492
0.24165807843208312,395,981,610,38,0.4965415019762846,0.2870639534883721,0.9122401847575058,0.3834066624764299,0.4367053620784964,0.61659333752357,0.8506378982236977,0.7317102068398492
0.24488265097141265,395,968,623,38,0.5029644268774703,0.28980190755685986,0.9122401847575058,0.3915776241357637,0.4398663697104677,0.6084223758642363,0.8506378982236977,0.7317102068398492
