epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,2.4281561635362405,0.8936678593405553,1.4135217016729655,0.5678005179216252,1.926000316475713,0.8656330749354005,0.32,0.835820895522388,0.46280991735537186,0.13214880621876735,0.001
2,2.0884250240207596,0.7666105377099396,1.196557122915001,0.508562637645406,1.783866839969497,0.7767441860465116,0.2271062271062271,0.9253731343283582,0.36470588235294116,0.23431426985008327,0.001
3,1.952163337659694,0.7254698322742842,1.137626605385478,0.45180180849486024,1.6633474787692384,0.8852713178294573,0.36419753086419754,0.8805970149253731,0.5152838427947598,0.11438089950027762,0.001
4,1.8034797260677136,0.6604706664964859,1.0459190286359876,0.4273253643202261,1.6752256538824826,0.9276485788113695,0.4864864864864865,0.8059701492537313,0.6067415730337079,0.06329816768461966,0.001
5,1.7844845681469679,0.6382336179361457,1.0363395922911542,0.42902816018359047,1.5523667299470236,0.9250645994832042,0.4767932489451477,0.8432835820895522,0.6091644204851752,0.06885063853414769,0.001
6,1.7197372614143276,0.6290497886005169,1.0025970848922168,0.4026152951527554,1.578011087206907,0.9348837209302325,0.5194174757281553,0.7985074626865671,0.6294117647058823,0.054969461410327596,0.001
7,1.7263858481034053,0.6255363840472564,1.0005068554347594,0.4131108098472599,1.6602782889546042,0.9322997416020672,0.5067873303167421,0.835820895522388,0.6309859154929577,0.06052193225985564,0.001
8,1.66182515305944,0.6008027603502374,0.973674201959169,0.3877495578459503,1.603957725279707,0.9224806201550387,0.4672131147540984,0.8507462686567164,0.6031746031746033,0.07218212104386452,0.001
9,1.6527123452927757,0.6103074639762143,0.9738891116636305,0.3736694948269875,1.628174757279783,0.924547803617571,0.47413793103448276,0.8208955223880597,0.6010928961748634,0.06774014436424208,0.001
10,1.6098120185283322,0.5964146628927719,0.9554243353474151,0.35618035348715577,1.56695921923147,0.8971576227390181,0.391304347826087,0.8731343283582089,0.5404157043879908,0.10105496946141032,0.0005
11,1.5589379241365755,0.5596293810804608,0.9294372653258591,0.34968596944147046,1.5822124572995404,0.9059431524547804,0.4142857142857143,0.8656716417910447,0.5603864734299517,0.09106052193225986,0.0005
12,1.4864242638792196,0.5482174919274668,0.9017792940910155,0.31053621889401023,1.6005520948451928,0.8739018087855297,0.34195402298850575,0.8880597014925373,0.4937759336099585,0.1271515824541921,0.0005
13,1.4742061282923722,0.5342468229570607,0.9116172124838142,0.29546550079588896,1.5502412419294511,0.8987080103359173,0.39666666666666667,0.8880597014925373,0.5483870967741935,0.10049972237645752,0.0005
14,1.450018104817249,0.5393068404935413,0.8897423249460767,0.2906223526061991,1.5490763020761869,0.9064599483204134,0.4169611307420495,0.8805970149253731,0.565947242206235,0.09161576901721266,0.0005
15,1.4084667630847054,0.5263564527647215,0.878707406093126,0.2665811316232372,1.581497895317176,0.8987080103359173,0.3973509933774834,0.8955223880597015,0.5504587155963303,0.10105496946141032,0.0005
16,1.4085446283831775,0.5140650675665643,0.8745673883865704,0.2769447048035213,1.640219132998809,0.8630490956072352,0.3224932249322493,0.8880597014925373,0.4731610337972167,0.138811771238201,0.0005
17,1.3924479236802467,0.5154771570381582,0.8676638123260938,0.2670455378464246,1.6134346433388171,0.8770025839793282,0.34705882352941175,0.8805970149253731,0.4978902953586498,0.12326485285952249,0.0005
18,1.3635256839257672,0.5101567603511928,0.8566916955985717,0.25175560878138836,1.5820492827307038,0.8847545219638243,0.3630769230769231,0.8805970149253731,0.514161220043573,0.11493614658523042,0.0005
19,1.3290920586368442,0.5030354847506804,0.8422467114929391,0.23532760131724262,1.6824025963628015,0.8883720930232558,0.371875,0.8880597014925373,0.5242290748898679,0.1116046640755136,0.00025
20,1.2636233029230568,0.4813516514390973,0.8189360753840003,0.2040114137758746,1.574570088577517,0.8945736434108527,0.3848684210526316,0.8731343283582089,0.5342465753424658,0.10383120488617435,0.00025
21,1.2295726576994075,0.46166729808423784,0.7987805250711923,0.19995849277004185,1.6187817645627398,0.8992248062015504,0.39661016949152544,0.8731343283582089,0.5454545454545455,0.09883398112159911,0.00025
22,1.2120175713082686,0.44999121360820715,0.7949657582937785,0.1920561986606189,1.637839020407477,0.9023255813953488,0.40418118466898956,0.8656716417910447,0.5510688836104513,0.09494725152692948,0.00025
23,1.1742424161933074,0.43486243786469164,0.7735987546232238,0.18321244112489543,1.655695881091963,0.896124031007752,0.3864406779661017,0.8507462686567164,0.5314685314685315,0.10049972237645752,0.00025
24,1.1756891689359703,0.4362325049408095,0.77509706703224,0.1824758472897308,1.57235051116278,0.8842377260981912,0.36363636363636365,0.8955223880597015,0.5172413793103449,0.11660188784008883,0.000125
