direct_final_rollout_error_km_delta_weighted_minus_weather,direct_final_rollout_error_km_improved,direct_final_rollout_error_km_weather,direct_final_rollout_error_km_weighted,direct_mean_rollout_error_km_delta_weighted_minus_weather,direct_mean_rollout_error_km_improved,direct_mean_rollout_error_km_weather,direct_mean_rollout_error_km_weighted,lstm_final_rollout_error_km_delta_weighted_minus_weather,lstm_final_rollout_error_km_improved,lstm_final_rollout_error_km_weather,lstm_final_rollout_error_km_weighted,lstm_mean_rollout_error_km_delta_weighted_minus_weather,lstm_mean_rollout_error_km_improved,lstm_mean_rollout_error_km_weather,lstm_mean_rollout_error_km_weighted,path_id,setup,transformer_final_rollout_error_km_delta_weighted_minus_weather,transformer_final_rollout_error_km_improved,transformer_final_rollout_error_km_weather,transformer_final_rollout_error_km_weighted,transformer_mean_rollout_error_km_delta_weighted_minus_weather,transformer_mean_rollout_error_km_improved,transformer_mean_rollout_error_km_weather,transformer_mean_rollout_error_km_weighted
0.0,False,2906.400788664744,2906.400788664744,0.0,False,1713.6626367877486,1713.6626367877486,-51.696511461129575,True,273.74181622247164,222.04530476134207,-73.24448511801103,True,328.5105236821361,255.2660385641251,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_30km,1088.1643357717976,False,265.8175586258965,1353.981894397694,877.5568130596259,False,335.8935773252928,1213.4503903849188
0.0,False,237.4636722896412,237.4636722896412,0.0,False,197.6693631280577,197.6693631280577,-237.83322698058112,True,977.527466180741,739.6942392001599,-208.37109058024987,True,823.0304770962568,614.659386516007,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_30km,345.3967346621989,False,1131.3566741609632,1476.753408823162,232.7525769475775,False,980.3189667092216,1213.0715436567991
0.0,False,48.08164462350689,48.08164462350689,0.0,False,118.56248731979257,118.56248731979257,-253.00617447509762,True,1173.011117073536,920.0049425984384,-133.69164023647272,True,653.4736483976789,519.7820081612061,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_30km,317.16829110267986,False,1306.15316507976,1623.3214561824398,193.1567874321854,False,736.5246514759974,929.6814389081828
0.0,False,433.8160380315993,433.8160380315993,0.0,False,373.2542791305506,373.2542791305506,267.4566376246843,False,742.9916603205141,1010.4482979451984,115.63504753258667,False,448.4644872588012,564.0995347913879,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_30km,145.56142611614223,False,864.8868718290562,1010.4482979451984,61.37276467111769,False,502.7267701202702,564.0995347913879
0.0,False,1054.7932188427603,1054.7932188427603,0.0,False,730.6942666037996,730.6942666037996,-487.0444928845419,True,764.906354623992,277.8618617394501,-405.41110033031555,True,602.8464953183566,197.43539498804105,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_30km,-524.8741670739796,True,577.5883779687869,52.71421089480729,-329.73557417295297,True,477.1946989894126,147.4591248164596
0.0,False,2906.251889208185,2906.251889208185,0.0,False,1553.5624926222513,1553.5624926222513,215.13491454419457,False,248.7790694308852,463.91398397507976,120.27758021352639,False,286.50580035052883,406.7833805640552,Europa_DER_A1A26_eobs_4004__2019__southbound_01,setup_30km,676.7342847406493,False,237.18526677042948,913.9195515110788,535.4577666508919,False,322.95739991903434,858.4151665699263
0.0,False,1385.204075159017,1385.204075159017,0.0,False,741.3803023037353,741.3803023037353,-26.61990000014822,True,333.1807102055081,306.56081020535987,-70.46882413162476,True,278.815537483584,208.34671335195927,Europa_DER_A1A26_eobs_4004__2020__southbound_01,setup_30km,169.6937635319798,False,376.7149119587682,546.408675490748,113.05096013592299,False,318.66586375304183,431.7168238889648
0.0,False,2165.975940475831,2165.975940475831,0.0,False,1108.478167636948,1108.478167636948,98.09401478465276,False,247.41184944213717,345.5058642267899,142.15440167001992,False,229.81989549431557,371.9742971643355,Europa_DER_A1A26_eobs_4004__2021__southbound_01,setup_30km,137.26086796771762,False,265.2853700948288,402.5462380625464,88.57765470993809,False,242.47267061235044,331.05032532228853
0.0,False,2477.031021995312,2477.031021995312,0.0,False,1400.5223779327637,1400.5223779327637,-158.85385846511133,True,395.0007802931958,236.1469218280845,-160.17868622187694,True,378.8968361111636,218.71814988928668,Europa_DER_A1A26_eobs_4004__2022__southbound_01,setup_30km,183.70849456796384,False,438.4132414467632,622.121736014727,114.76377531392933,False,440.5640472456792,555.3278225596085
0.0,False,1340.5092799869046,1340.5092799869046,0.0,False,639.3663398308784,639.3663398308784,-49.33409019321422,True,59.61975796388881,10.285667770674586,-37.536414760238465,True,42.11137351631129,4.574958756072823,Europa_DER_A1A26_eobs_4004__2023__southbound_01,setup_30km,-95.2564364308027,True,105.54210420147729,10.285667770674586,-61.70912582529511,True,66.28408458136794,4.574958756072823
