path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,lat_drop_deg,individual_local_identifier,date,lat_median,lon_median,n_points,timestamp_min_utc,step_length_km,heading_deg,speed_km_per_day,turning_angle_deg,stopover_duration_days,year,weather_bird,weather_date,weather_file,temp_2m_celsius,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,weather_match_type,weather_match_days,wind_dir_sin,wind_dir_cos,precipitation_log1p_mm
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-07-29 00:00:00+00:00,48.03437525,7.78031805,216,2016-07-29T02:00:23+00:00,7.630829149129252,255.9755685033835,7.630829149129252,123.42767792952476,1,2016,Angela / DER AY470 (eobs 4001),2016-07-29,data\weather\weather_2016\dataset2_daily_weather_2016.csv,22.08348963,2.437695019,223.5624847,964.7434824,3.276348135,0.295432726,843.5130363,exact,0.0,-0.6891452331889764,-0.7246232452612263,1.4530994058917235
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-07-30 00:00:00+00:00,48.0421197,7.7820882,219,2016-07-30T02:00:23+00:00,0.8711435536112621,8.688611953371037,0.8711435536112621,112.71304344998754,2,2016,Angela / DER AY470 (eobs 4001),2016-07-30,data\weather\weather_2016\dataset2_daily_weather_2016.csv,23.37171352,1.94985777,213.3109445,963.0862926,2.388954183,0.469862005,869.2620673,exact,0.0,-0.5491824618636545,-0.8357024731214905,1.2205213732062923
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-07-31 00:00:00+00:00,48.0441349,7.7828867,217,2016-07-31T02:00:23+00:00,0.2318099044026133,14.837306925816565,0.2318099044026133,6.148694972445526,3,2016,Angela / DER AY470 (eobs 4001),2016-07-31,data\weather\weather_2016\dataset2_daily_weather_2016.csv,19.25559033,1.264177411,251.3572802,963.6208149,94.01130718,0.771383356,435.785903,exact,0.0,-0.9475303301565514,-0.3196658778059002,4.55399590746524
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-01 00:00:00+00:00,48.0824092,7.8571886,217,2016-08-01T02:00:23+00:00,6.971413798823194,52.34810016010261,6.971413798823194,37.51079323428604,4,2016,Angela / DER AY470 (eobs 4001),2016-08-01,data\weather\weather_2016\dataset2_daily_weather_2016.csv,18.21412108,1.148785517,184.9256596,956.4714331,1.348495478,0.503932828,691.4323936,exact,0.0,-0.0858631223223694,-0.9963069427766996,0.8537749009987072
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-02 00:00:00+00:00,47.9821591,7.9488214,219,2016-08-02T02:00:23+00:00,13.06474402689693,148.53137472886365,13.06474402689693,96.18327456876102,0,2016,Angela / DER AY470 (eobs 4001),2016-08-02,data\weather\weather_2016\dataset2_daily_weather_2016.csv,17.05506528,2.879480275,225.2474529,941.1542457,16.04413954,0.993557714,591.6001589,exact,0.0,-0.7101540777488664,-0.704046295250999,2.8358064226494464
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-03 00:00:00+00:00,47.9789409,7.9484722,219,2016-08-03T02:00:23+00:00,0.3587906963509317,184.1544160926808,0.3587906963509317,35.62304136381718,1,2016,Angela / DER AY470 (eobs 4001),2016-08-03,data\weather\weather_2016\dataset2_daily_weather_2016.csv,20.35205844,2.436853402,216.2406793,938.6612434,0.0,0.671922517,552.1277695,exact,0.0,-0.5911784506288789,-0.806540786018933,0.0
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-04 00:00:00+00:00,47.97890815,7.949051600000001,218,2016-08-04T02:00:23+00:00,0.0432807798591524,94.8263502296686,0.0432807798591524,89.3280658630122,2,2016,Angela / DER AY470 (eobs 4001),2016-08-04,data\weather\weather_2016\dataset2_daily_weather_2016.csv,19.07562222,1.981046824,253.5632472,936.0749942,98.9308358,0.798255848,611.3449906,exact,0.0,-0.9591326671810374,-0.2829567577319711,4.604478304693419
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-05 00:00:00+00:00,47.9805015,7.9477158,219,2016-08-05T02:00:23+00:00,0.2031651687541414,330.6996780013857,0.2031651687541414,124.12667222828291,3,2016,Angela / DER AY470 (eobs 4001),2016-08-05,data\weather\weather_2016\dataset2_daily_weather_2016.csv,14.46326606,2.222905315,286.3169391,941.3579647,59.8592757,0.93632389,559.4054749,exact,0.0,-0.9597222728638687,0.2809504564313965,4.10856424331355
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-06 00:00:00+00:00,47.98240765,7.939734599999999,220,2016-08-06T02:00:23+00:00,0.6307269031669869,289.63924239548265,0.6307269031669869,41.060435605903024,4,2016,Angela / DER AY470 (eobs 4001),2016-08-06,data\weather\weather_2016\dataset2_daily_weather_2016.csv,16.45517721,1.599028737,278.8315007,947.856432,3.026962281,0.453045568,617.7833516,exact,0.0,-0.9881441218693987,0.1535291321376988,1.3930123152995009
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-07 00:00:00+00:00,47.975827,7.7903361,219,2016-08-07T02:00:23+00:00,11.144396402881425,266.2907741667681,11.144396402881425,23.34846822871458,0,2016,Angela / DER AY470 (eobs 4001),2016-08-07,data\weather\weather_2016\dataset2_daily_weather_2016.csv,19.85901379,1.106906631,64.67714055,965.1920566,0.0,0.072754603,666.0065527,exact,0.0,0.903911973602923,0.42771853359103895,0.0
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-08 00:00:00+00:00,47.63123735,7.219909250000001,218,2016-08-08T02:00:23+00:00,57.29910025674701,228.2440047046712,57.29910025674701,38.04676946209688,0,2016,Angela / DER AY470 (eobs 4001),2016-08-08,data\weather\weather_2016\dataset2_daily_weather_2016.csv,21.85508601,2.0095698,255.5814253,975.6900404,1.398563394,0.236207456,837.8099802,exact,0.0,-0.9685024875384188,-0.24900387874869526,0.8748699722965424
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-09 00:00:00+00:00,47.63181045,7.21903155,216,2016-08-09T02:00:23+00:00,0.0915784777342301,314.09619995897776,0.0915784777342301,85.85219525430657,1,2016,Angela / DER AY470 (eobs 4001),2016-08-09,data\weather\weather_2016\dataset2_daily_weather_2016.csv,17.29089014,1.436136057,207.7384602,974.9670002,15.23160938,0.819440347,579.8445552,exact,0.0,-0.46543626773045726,-0.8850813977714943,2.7869605374237003
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-10 00:00:00+00:00,47.6378537,7.1243103,219,2016-08-10T02:00:23+00:00,7.129125186208498,275.4436271368614,7.129125186208498,38.65257282211638,2,2016,Angela / DER AY470 (eobs 4001),2016-08-10,data\weather\weather_2016\dataset2_daily_weather_2016.csv,15.38996565,1.913388422,320.972116,971.6959204,10.79463959,0.526425566,975.0531633,exact,0.0,-0.6296985282757167,0.7768395995875831,2.4676451562249215
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-11 00:00:00+00:00,47.4122981,6.53565245,218,2016-08-11T02:00:23+00:00,50.82005399446926,240.645301245266,50.82005399446926,34.798325891595425,0,2016,Angela / DER AY470 (eobs 4001),2016-08-11,data\weather\weather_2016\dataset2_daily_weather_2016.csv,15.29256916,1.746587149,246.5820686,979.8382705,2.377510142,0.578300826,889.368152,exact,0.0,-0.9176302885551502,-0.3974350934758931,1.2171387936604399
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-12 00:00:00+00:00,45.2511191,4.7305111,215,2016-08-12T02:00:23+00:00,277.3953889327071,210.62989993142384,277.3953889327071,30.01540131384209,0,2016,Angela / DER AY470 (eobs 4001),2016-08-12,data\weather\weather_2016\dataset2_daily_weather_2016.csv,21.44517544,2.397334282,204.2398447,997.0724726,0.0,0.325703183,825.1487484,exact,0.0,-0.4105572423386868,-0.9118348264698233,0.0
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-13 00:00:00+00:00,43.1390554,3.0111575,215,2016-08-13T02:00:23+00:00,271.9102826531589,210.87306282056852,271.9102826531589,0.2431628891447133,0,2016,Angela / DER AY470 (eobs 4001),2016-08-13,data\weather\weather_2016\dataset2_daily_weather_2016.csv,23.73376,2.722461339,106.5850754,1004.784641,0.0,0.003552956,533.0210908,exact,0.0,0.9583969590324372,-0.2854387305839502,0.0
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-14 00:00:00+00:00,42.2303635,3.0224155,219,2016-08-14T02:00:23+00:00,101.04625866663892,179.47438424245888,101.04625866663892,31.398678578109696,0,2016,Angela / DER AY470 (eobs 4001),2016-08-14,data\weather\weather_2016\dataset2_daily_weather_2016.csv,24.66326416,3.4412332,161.191625,1008.568644,0.0,0.043307091,488.5389853,exact,0.0,0.3224040647637688,-0.9466021439991563,0.0
