epochs_logged,k,last_epoch_gated_mean_error_km,last_epoch_mean_error_km,last_epoch_migration50_error_mean_km,last_test_delta_mse_norm,last_test_loss,last_test_unweighted_loss,last_train_direction_loss,last_train_distance_loss,last_train_loss,last_train_mean_distance_weight,last_train_movement_class_loss,last_train_unweighted_direction_loss,last_train_unweighted_distance_loss,min_epoch_gated_mean_error_km,min_epoch_mean_error_km,min_epoch_migration50_error_mean_km,min_test_delta_mse_norm,min_test_loss,min_test_unweighted_loss,min_train_direction_loss,min_train_distance_loss,min_train_loss,min_train_mean_distance_weight,min_train_movement_class_loss,min_train_unweighted_direction_loss,min_train_unweighted_distance_loss,model,setup,training_log
37,1,,,,1.013753041800766,,,,,0.3264643723453688,,,,,,,,0.9930513525216348,,,,,0.3232960488471976,,,,,direct_mlp_last_day_k1,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_1\direct_mlp_last_day_k1\training_log.csv
25,14,,,,1.4415439566269934,,,,,0.2255913391640532,,,,,,,,1.2850584427398275,,,,,0.2255913391640532,,,,,direct_transformer_2l_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_14\direct_transformer_2l_k14\training_log.csv
31,14,14.302493461954308,15.236187733052024,93.37068648232776,,3.0898195996418307,2.8403368390645376,0.2271561235106882,0.6705705674181134,1.2788644998247494,1.770267774501776,0.50625499561773,0.3333390022523956,0.7483534330916647,13.04747586935516,14.250116428103556,83.97429976685136,,2.333071273398012,2.2279166425172474,0.2271561235106882,0.6626911345721392,1.2740540102468192,1.7702677741715562,0.5019658377736339,0.3333390022523956,0.7349633257695072,triline_lstm_2l_k14__current_bins,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_14\triline_lstm_2l_k14__current_bins\training_log.csv
31,14,14.412201677355707,15.074559243862677,96.8459315499452,,3.0503252077313965,2.7900768220864864,0.2826215816281619,0.6374387950998485,1.2464444047306162,1.354016620828835,0.4882924820027303,0.2826215816281619,0.630333528040959,13.084155184721636,13.89607024910105,85.09343907823602,,2.3713328271355905,2.147884326636175,0.2826215816281619,0.6309411467717735,1.2365635735176277,1.35401662019041,0.4864240110525904,0.2826215816281619,0.6227236466724787,triline_lstm_2l_k14__distance_only,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_14\triline_lstm_2l_k14__distance_only\training_log.csv
31,14,14.195219172996492,14.93795062067957,97.2435736550182,,3.009902117347436,2.7560936492514223,0.2371477585970419,0.625897321289376,1.2092797361472527,1.354016620828835,0.4895730307557907,0.304506313244942,0.6181743307457076,13.03631649702267,13.813847257334174,84.27250487383589,,2.3253710548141684,2.14970810374622,0.2371477585970419,0.625897321289376,1.2092797361472527,1.35401662019041,0.4879702483077678,0.304506313244942,0.6174309140537364,triline_lstm_2l_k14__medium_bins,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_14\triline_lstm_2l_k14__medium_bins\training_log.csv
31,14,14.305387403689377,15.0191714151604,101.67448275874132,,2.969620278526092,2.7917764190380825,0.2453814769000337,0.5702510143361044,1.1242863808092098,1.1770083099851318,0.4762653262661435,0.2910142735706252,0.5462641568395239,12.953538835072989,13.544021677756977,87.90703069983037,,2.25085005415067,2.1300219116041896,0.2453814769000337,0.5702510143361044,1.1242863808092098,1.1770083099631172,0.4762653262661435,0.289921798363727,0.5462641568395239,triline_lstm_2l_k14__mild_bins,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_14\triline_lstm_2l_k14__mild_bins\training_log.csv
27,7,,,,1.1206467929233437,,,,,0.1799358282127791,,,,,,,,1.0118317051396537,,,,,0.1799358282127791,,,,,direct_transformer_2l_k7,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_7\direct_transformer_2l_k7\training_log.csv
27,7,13.300323081452174,14.054862530475823,92.9788817911174,,3.092609010938043,2.709615030699984,0.19801879672188,0.5409223254157527,1.0460308684171693,1.8084568736366824,0.4705312251241381,0.296829739992188,0.6130062817241946,12.648590938303892,13.82985899067219,85.1323971955277,,2.276830850585773,2.133306796981318,0.1943524602770484,0.5235629660099986,1.0164414634601768,1.808456873315364,0.4696752549503049,0.2875694757844559,0.6019133592872928,triline_lstm_2l_k7__current_bins,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_7\triline_lstm_2l_k7__current_bins\training_log.csv
39,7,12.910570615137392,13.491357287330915,95.24783465280991,,3.2307099370622248,2.8408030396844497,0.2167629157356174,0.4660684120944247,0.89384732060034,1.3701987870619947,0.4426842871701942,0.2167629157356174,0.4641105643501179,12.541106542688976,13.242631523072983,87.39933226141378,,2.2590992598520776,2.044792185575172,0.2167629157356174,0.4450703044785964,0.8710404383847014,1.3701987870619947,0.4380807285360248,0.2167629157356174,0.4493511399490171,triline_lstm_2l_k7__distance_only,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_7\triline_lstm_2l_k7__distance_only\training_log.csv
34,7,13.301877172558145,13.946145347298696,94.9739804840045,,3.1012978566624727,2.797363589716086,0.2006585988795982,0.4584342250123499,0.8752888503742989,1.3701987873833137,0.4393616173305922,0.2594969622449412,0.4578757756803878,12.628838153882429,13.2891189216311,88.032931384451,,2.2040276270349715,2.039030893793646,0.1954969924816866,0.4584342250123499,0.8752888503742989,1.3701987870619947,0.4393616173305922,0.2531005596777178,0.4578757756803878,triline_lstm_2l_k7__medium_bins,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTuneV2\setup_10km\k_7\triline_lstm_2l_k7__medium_bins\training_log.csv
