const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_model
14424.17723858551,6549.373788543222,1587.6065996210275,1456.386520800592,direct_mlp_last_day_k1,48.2204565,38.9345508,7.8322641,-5.755673,558.478884578501,405.5248138407045,triline_lstm_2l_k7 (distance weighted),65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_30km,Angela / DER AY470 (eobs 4001),831.5300189733979,627.5550984610221,triline_transformer_2l_k7 (distance weighted)
3163.500578504747,1315.6575135464705,468.0839338398126,250.99368479440284,direct_mlp_last_day_k1,48.1524172,36.284087,7.795102,-6.0298849,362.7644456655343,367.51148241428757,triline_lstm_2l_k7 (distance weighted),62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_30km,Angela / DER AY470 (eobs 4001),155.46577186728317,312.025285234088,triline_transformer_2l_k7 (distance weighted)
545.7114109333396,358.09940180587813,528.6713732169455,350.32077852868207,direct_mlp_last_day_k1,48.1519085,36.5685474,7.833475,-6.1475794,652.4281411858732,317.9532386430448,triline_lstm_2l_k7 (distance weighted),61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_30km,Angela / DER AY470 (eobs 4001),861.1894543333569,559.8638833782115,triline_transformer_2l_k7 (distance weighted)
1002.3008659702691,560.6692514022064,982.1464427391487,662.8239693811339,direct_mlp_last_day_k1,48.186889,36.573646,7.7548651,-6.1272018,327.4770572383166,272.35571246406295,triline_lstm_2l_k7 (distance weighted),30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_30km,Angela / DER AY470 (eobs 4001),154.50066754638453,230.65733490714723,triline_transformer_2l_k7 (distance weighted)
6929.809173723523,3109.9018102269038,1208.5563220131587,684.0061978302581,direct_mlp_last_day_k1,47.6932465,37.153416,7.6448794,-6.3756002,89.96280258240482,140.8959696382857,triline_lstm_2l_k7 (distance weighted),52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_30km,"Ed + (AAL16, e-obs 7210)",225.50598096354,220.7539506483394,triline_transformer_2l_k7 (distance weighted)
15016.928936502958,7276.836339085537,2526.5864236311445,1584.2434782871057,direct_mlp_last_day_k1,47.1668648,40.16209895,7.5708743,-3.65722925,715.6483419327415,516.0969558959728,triline_lstm_2l_k7 (distance weighted),33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_30km,Europa / DER A1A26 (eobs 4004),946.9686429143688,699.7270080321543,triline_transformer_2l_k7 (distance weighted)
3136.535116159868,1537.6318009538923,1640.3704239154526,1012.797977362609,direct_mlp_last_day_k1,47.1841832,37.7933722,7.5979627,-4.7490658,440.44215038387,323.30922252000573,triline_lstm_2l_k7 (distance weighted),30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_30km,Europa / DER A1A26 (eobs 4004),670.9387493213601,469.92929995955853,triline_transformer_2l_k7 (distance weighted)
13208.473771464045,6572.798251501954,2303.9887462384886,1622.4486275722359,direct_mlp_last_day_k1,47.17941505,40.13243435,7.4065439,-3.6785956,687.7432868734217,620.9612671033069,triline_lstm_2l_k7 (distance weighted),30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_30km,Europa / DER A1A26 (eobs 4004),623.9762695796575,541.3090929094542,triline_transformer_2l_k7 (distance weighted)
15976.214123682856,9200.861916547636,2323.1400334742048,1386.513247580559,direct_mlp_last_day_k1,47.1788117,39.8411549,7.4200194,-4.2708803,600.566009003323,473.96576839734536,triline_lstm_2l_k7 (distance weighted),48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_30km,Europa / DER A1A26 (eobs 4004),699.1458755767056,519.6427259228518,triline_transformer_2l_k7 (distance weighted)
23.652237610373362,18.634462866984677,1732.2030164030955,1166.7156437283106,direct_mlp_last_day_k1,47.1771678,40.1542867,7.4021174,-3.6455912,284.43852684687187,199.0105413639928,triline_lstm_2l_k7 (distance weighted),30,1174.3215620171952,1,Europa_DER_A1A26_eobs_4004__2023__southbound_01,2023,10.285667770674586,4.574958756072823,98,68,setup_30km,Europa / DER A1A26 (eobs 4004),228.45661178597064,145.87333533339003,triline_transformer_2l_k7 (distance weighted)
