epoch,train_loss,test_loss,accuracy,precision,recall,f1,false_positive_rate,lr
1,1.1131946846150285,0.7172771036078077,0.8715596330275229,0.30132450331125826,0.875,0.4482758620689656,0.12865853658536586,0.001
2,1.0086015307622878,0.7087344160867394,0.7723623853211009,0.19917864476386038,0.9326923076923077,0.32825719120135366,0.23780487804878048,0.001
3,0.9931088649057069,0.669523145627538,0.8577981651376146,0.2857142857142857,0.9230769230769231,0.43636363636363634,0.14634146341463414,0.001
4,0.94988204300301,0.6159081469982042,0.8469036697247706,0.2704225352112676,0.9230769230769231,0.41830065359477125,0.15792682926829268,0.001
5,0.9008414079181367,0.5928805929805161,0.8727064220183486,0.304635761589404,0.8846153846153846,0.45320197044334976,0.12804878048780488,0.001
6,0.8515915278723646,0.5742379030503264,0.9071100917431193,0.37815126050420167,0.8653846153846154,0.5263157894736842,0.09024390243902439,0.001
7,0.8420579193723113,0.5977053694221952,0.9260321100917431,0.43781094527363185,0.8461538461538461,0.5770491803278689,0.06890243902439025,0.001
8,0.7973169106145871,0.6526265833355965,0.8629587155963303,0.2829581993569132,0.8461538461538461,0.42409638554216866,0.13597560975609757,0.001
9,0.8007812582755731,0.7044311510313541,0.9283256880733946,0.44559585492227977,0.8269230769230769,0.579124579124579,0.06524390243902439,0.001
10,0.75762370592961,0.626660463186579,0.8577981651376146,0.28313253012048195,0.9038461538461539,0.43119266055045874,0.14512195121951219,0.001
11,0.753591164527648,0.6129953754604409,0.9277522935779816,0.44329896907216493,0.8269230769230769,0.5771812080536912,0.06585365853658537,0.0005
12,0.689856344882059,0.6183682808635431,0.911697247706422,0.3893805309734513,0.8461538461538461,0.5333333333333333,0.08414634146341464,0.0005
13,0.6489938633132788,0.6991362774044002,0.926605504587156,0.4368421052631579,0.7980769230769231,0.5646258503401361,0.06524390243902439,0.0005
14,0.6924446722897591,0.6321546320521504,0.9214449541284404,0.41708542713567837,0.7980769230769231,0.5478547854785478,0.07073170731707316,0.0005
15,0.6240301650793335,0.6551481192811913,0.8864678899082569,0.3233082706766917,0.8269230769230769,0.4648648648648649,0.10975609756097561,0.0005
16,0.6411780123729782,0.9071762031371441,0.9288990825688074,0.44505494505494503,0.7788461538461539,0.5664335664335663,0.061585365853658536,0.00025
