epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,5.892293479105772,0.9756959595508523,4.636604905062435,0.5599852037176641,2.6865625727099616,0.6677474334299399,3.996132277077475,1.7702677752502738,2.865954184285647,2.808875436092585,0.6272912423625255,0.5480427046263345,0.7333333333333333,0.001
2,2.800476389820666,0.7983213320553357,1.8240942121102428,0.35612171623074995,1.796337536585518,0.4853679231384344,2.837342839844229,1.7702677746558784,2.5411442111478775,2.6382503020006234,0.6429980276134124,0.5488215488215489,0.7761904761904762,0.001
3,2.4621105926298807,0.740750100914241,1.5549136785919315,0.3328935882996764,1.5643845396358882,0.4611815075464856,2.535725396007492,1.7702677744797612,2.6646872774712973,2.6404393427128983,0.6339468302658487,0.5555555555555556,0.7380952380952381,0.001
4,2.2265274076470596,0.6921009333510147,1.377626312626586,0.31360031252422493,1.443676057064412,0.43451680269708043,2.3530353786542477,1.7702677754924347,2.673906632681189,2.7716069200366427,0.6148148148148148,0.503030303030303,0.7904761904761904,0.001
5,2.0021578685288506,0.6424463358392125,1.213714959856986,0.2919931198283686,1.2974581178205495,0.4098612858758188,2.1448351007639426,1.7702677748760247,2.5864003084963145,2.5262707262306834,0.5970149253731343,0.49079754601226994,0.7619047619047619,0.001
6,1.7987721265518104,0.5876068734396197,1.0699951935122658,0.28234010201742116,1.1527611006660143,0.3961809219966195,1.9384584318567841,1.770267774259615,2.5530402015900155,2.4370427948685482,0.6317907444668008,0.5470383275261324,0.7476190476190476,0.001
7,1.660231083934217,0.5410577514770398,0.985832208367486,0.2666822751473192,1.0693412126816761,0.3735652689568334,1.7971816025502354,1.7702677748760247,2.7621616260691972,2.9039356028839967,0.5341614906832297,0.39631336405529954,0.819047619047619,0.0005
8,1.4421237321881817,0.4755589537783453,0.8460484077725714,0.24103273502787503,0.9523971827296559,0.3417554303219444,1.598833851316739,1.77026777485401,2.66917267648649,2.6069911248222586,0.5952813067150636,0.4809384164222874,0.780952380952381,0.0005
9,1.3111144156997554,0.4283066488589166,0.7645175566853799,0.23658043564961997,0.8559537425045601,0.33871484501760313,1.45361781076271,1.7702677749420688,2.7080069503896875,2.6832211507123893,0.5754385964912281,0.45555555555555555,0.780952380952381,0.0005
10,1.2634284538795633,0.40365703398170893,0.7470824164476861,0.22537800412098788,0.8313493009969688,0.323202936063733,1.3966078083711098,1.7702677742155855,2.748058342334967,2.6103361473477924,0.5869158878504673,0.48307692307692307,0.7476190476190476,0.0005
