threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
0.0010155229829251766,137,1798,0,0,0.07080103359173126,0.07080103359173126,1.0,0.0,0.13223938223938222,1.0,0.0,0.5,0.8083271761811583,0.2705841930366487
0.0035779813770204782,137,1779,19,0,0.08062015503875969,0.07150313152400835,1.0,0.010567296996662959,0.13346322454943982,0.9894327030033371,0.0,0.5052836484983315,0.8083271761811583,0.2705841930366487
0.03757660418748855,137,1759,39,0,0.09095607235142118,0.07225738396624473,1.0,0.021690767519466074,0.13477619281849484,0.9783092324805339,0.0,0.510845383759733,0.8083271761811583,0.2705841930366487
0.07402674973011017,137,1739,59,0,0.10129198966408269,0.0730277185501066,1.0,0.03281423804226919,0.1361152508693492,0.9671857619577308,0.0,0.5164071190211346,0.8083271761811583,0.2705841930366487
0.12559834659099578,137,1720,78,0,0.1111111111111111,0.07377490576198169,1.0,0.04338153503893215,0.1374122367101304,0.9566184649610678,0.0,0.5216907675194661,0.8083271761811583,0.2705841930366487
0.1504860818386078,137,1702,96,0,0.12041343669250645,0.07449700924415444,1.0,0.05339265850945495,0.13866396761133604,0.946607341490545,0.0,0.5266963292547274,0.8083271761811583,0.2705841930366487
0.18992238342761988,137,1681,117,0,0.13126614987080104,0.07535753575357536,1.0,0.06507230255839822,0.14015345268542198,0.9349276974416018,0.0,0.5325361512791991,0.8083271761811583,0.2705841930366487
0.23786354064941406,136,1666,132,1,0.13850129198966407,0.07547169811320754,0.9927007299270073,0.07341490545050056,0.14027849406910775,0.9265850945494994,0.0072992700729927005,0.5330578176887539,0.8083271761811583,0.2705841930366487
0.26623642683029175,136,1644,154,1,0.14987080103359174,0.07640449438202247,0.9927007299270073,0.08565072302558398,0.14188836724047993,0.914349276974416,0.0072992700729927005,0.5391757264762956,0.8083271761811583,0.2705841930366487
0.32278760492801667,136,1624,174,1,0.16020671834625322,0.07727272727272727,0.9927007299270073,0.0967741935483871,0.143384290985767,0.9032258064516129,0.0072992700729927005,0.5447374617376972,0.8083271761811583,0.2705841930366487
0.357830148935318,136,1605,193,1,0.17002583979328165,0.07811602527283171,0.9927007299270073,0.10734149054505006,0.14483493077742277,0.89265850945495,0.0072992700729927005,0.5500211102360287,0.8083271761811583,0.2705841930366487
0.44983284771442417,136,1586,212,1,0.17984496124031008,0.07897793263646923,0.9927007299270073,0.11790878754171301,0.14631522323830018,0.882091212458287,0.0072992700729927005,0.5553047587343601,0.8083271761811583,0.2705841930366487
0.48616141080856323,136,1567,231,1,0.1896640826873385,0.07985907222548444,0.9927007299270073,0.12847608453837597,0.14782608695652172,0.871523915461624,0.0072992700729927005,0.5605884072326917,0.8083271761811583,0.2705841930366487
0.5220628976821899,135,1549,249,2,0.19844961240310077,0.08016627078384798,0.9854014598540146,0.13848720800889877,0.14827018121911037,0.8615127919911012,0.014598540145985401,0.5619443339314567,0.8083271761811583,0.2705841930366487
