epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,3.0849606514944687,0.9697471274761449,1.796648576667748,0.6371298837547701,2.621558426868303,0.6100094428706327,0.5159744408945687,0.745958429561201,0.001
2,2.393793041247495,0.8128995297524977,1.2925331618651426,0.5767206874407276,2.366033324139863,0.626641651031895,0.5276461295418642,0.7713625866050808,0.001
3,2.296702812229106,0.7757127034800659,1.2325205461480235,0.576939140908838,2.41557048997389,0.6418056918547597,0.5580204778156996,0.7551963048498845,0.001
4,2.2074286231684987,0.7419075743627472,1.180927559817627,0.569186987760603,2.3562235323336758,0.6464646464646464,0.5745062836624776,0.7390300230946882,0.001
5,2.1926381771833,0.7293377779829172,1.1783748797047464,0.5698510585124639,2.3629082992614023,0.6294602012808783,0.5212121212121212,0.7944572748267898,0.001
6,2.119021706571439,0.7013433818921505,1.1396181179762128,0.5561203965373205,2.3647657543303,0.6236933797909407,0.5006993006993007,0.8267898383371824,0.001
7,2.049197588196387,0.6831277645762579,1.0927933032209587,0.5465530193375581,2.3910780999029106,0.6204933586337761,0.5265700483091788,0.7551963048498845,0.001
8,1.9794146159642467,0.6543755393163728,1.0629817428304105,0.5241146758252736,2.462128245312235,0.6109022556390977,0.5150554675118859,0.7505773672055427,0.001
9,1.920428107416894,0.6302295554149046,1.028218790523763,0.5239595390477203,2.5108511702345293,0.6037735849056604,0.49411764705882355,0.7759815242494227,0.0005
10,1.7878373048671485,0.5838362454486802,0.9486543252375147,0.5106934725607559,2.436325901110653,0.6182846371347785,0.5222929936305732,0.7575057736720554,0.0005
11,1.691838748525201,0.5411126224186683,0.9051388422463801,0.49117457469246806,2.56005762358428,0.6108374384236452,0.5326460481099656,0.7159353348729792,0.0005
12,1.6522605018453989,0.5262677691988124,0.880586400647529,0.4908126999345581,2.5093378549507954,0.6252465483234714,0.5456110154905336,0.7321016166281755,0.0005
13,1.5780834139801658,0.4943217752826164,0.8419571009074834,0.4836090772389363,2.68625600535879,0.5821854912764004,0.48323170731707316,0.7321016166281755,0.0005
14,1.5187213976394613,0.4652702735807433,0.8079169321222606,0.49106837027417455,2.6021237184878867,0.6050420168067226,0.5078369905956113,0.7482678983833718,0.00025
15,1.4242715504155987,0.42793675933148245,0.7622403186945867,0.4681889546800479,2.762931811479712,0.5914179104477612,0.49608763693270735,0.7321016166281755,0.00025
16,1.360158432253998,0.39524522576665233,0.7340706920499369,0.46168504103938296,2.894999750989228,0.5920925747348119,0.5082781456953642,0.7090069284064665,0.00025
17,1.3077935982068425,0.3760723881893252,0.7036206957775193,0.4562010457851279,2.9727935253867046,0.5866141732283464,0.5111492281303602,0.6882217090069284,0.00025
18,1.2704664174673055,0.3506962411653168,0.6926672305554855,0.45420589414536566,3.062434887226391,0.5937813440320963,0.524822695035461,0.6836027713625866,0.00025
19,1.2684196990751706,0.3526401391650027,0.6961415994079204,0.43927591807566824,3.137271462693045,0.5903614457831325,0.522202486678508,0.6789838337182448,0.000125
20,1.169297693207361,0.31512213062161826,0.6373959571870449,0.4335592039375482,3.231640854371866,0.5902636916835701,0.5262206148282098,0.6720554272517321,0.000125
21,1.1659900809668307,0.31159292114162845,0.6400720834697498,0.42865014231745824,3.1981767100307783,0.5969543147208122,0.532608695652174,0.6789838337182448,0.000125
22,1.1440416356068899,0.29931899185525557,0.6312449790374285,0.42695532809791226,3.341069042447056,0.5835866261398177,0.51985559566787,0.6651270207852193,0.000125
23,1.1243859072978435,0.29925132011620786,0.6181015636043491,0.41406603360335054,3.367662621109853,0.5877466251298027,0.5339622641509434,0.6535796766743649,0.000125
24,1.10264241520884,0.27978262197264625,0.6149343903781124,0.41585080875298447,3.4209142852677656,0.5918367346938775,0.5301645338208409,0.6697459584295612,6.25e-05
25,1.0602900190515128,0.25968686367164645,0.5968057905820716,0.407594726442133,3.4968730338477334,0.6033402922755742,0.5504761904761905,0.6674364896073903,6.25e-05
26,1.0672836785800977,0.2714002211316977,0.5932078388294011,0.40535121926761636,3.5312571355947866,0.5933609958506223,0.5386064030131826,0.6605080831408776,6.25e-05
27,1.0337580980157692,0.25239238720956897,0.5800441110422687,0.4026432017396025,3.576683698435546,0.5997910135841171,0.5477099236641222,0.6628175519630485,6.25e-05
28,1.0356297724867993,0.2535701348593588,0.5770467570215433,0.41002576127227175,3.5869093836531807,0.5954825462012321,0.5360443622920518,0.6697459584295612,6.25e-05
29,1.0231082730404553,0.25012178828766735,0.5747211837029005,0.39653061791457445,3.6302037568902783,0.5949367088607596,0.5475728155339806,0.651270207852194,3.125e-05
30,1.0143795870649484,0.24251433933951022,0.5698538593475949,0.40402278836731775,3.666222561018269,0.5919003115264798,0.5377358490566038,0.6581986143187067,3.125e-05
31,0.9729431429053065,0.23148111344584693,0.5480259760840593,0.38687211001225186,3.729298117603709,0.5851619644723093,0.5343511450381679,0.6466512702078522,3.125e-05
32,0.976601971804465,0.22934699278626688,0.5517409807237132,0.3910279910034642,3.7168521824561562,0.5849056603773586,0.5355086372360844,0.6443418013856813,3.125e-05
33,0.9941414754137403,0.24533391434276497,0.5522940005663772,0.3930271173589626,3.7350006621816885,0.587251828631139,0.5362595419847328,0.648960739030023,3.125e-05
34,0.9732111576744259,0.22570511676691843,0.5520771045471589,0.3908578739388816,3.7869824119236157,0.5825446898002103,0.5347490347490348,0.6397228637413395,1.5625e-05
