epoch,train_loss,val_loss
1,5.138592917500245,5.300741353649303
2,3.761215809426813,3.3234926367098567
3,2.8521302602194476,2.745170360693902
4,2.6235876454112006,2.6200226442945516
5,2.533727979732022,2.511447229999706
6,2.4875878986754687,2.388188027165419
7,2.435233368799947,2.4202676616563386
8,2.378011334192987,2.4644462528404283
9,2.36998503161922,2.62051252792218
10,2.361110667736048,2.343839714863549
11,2.2733944988516535,2.4844079895253564
12,2.277960750481044,2.389312050825248
13,2.236645154526059,2.4059367326139673
14,2.181074548495825,2.476553922781915
15,2.1540200604806583,2.4622172768130626
16,2.127500968089628,2.4375202962957276
17,2.062217559870936,2.626222436413443
18,2.0088642863166304,2.7072510368253555
19,1.9696904356755691,2.682575778727151
20,1.8817959456421083,2.7678424390547116
21,1.8098214896986977,2.8162695849600015
22,1.7200178209600956,2.8641490278068495
23,1.6330240665724185,2.9745958538874526
24,1.5192948973230085,3.1838560952730703
25,1.4390017171449299,3.1915985674945855
26,1.3414691283220808,3.6124192366570784
27,1.2382457779060463,3.8415092149395154
28,1.1883307100934388,3.7001215928902655
29,1.1114844632555752,4.064942874791432
30,1.0594041579526388,4.396223720597344
31,1.0052040305761714,4.952835956234142
32,0.9597693955271159,4.794373450835058
33,0.8972500860033489,5.101924559821381
34,0.8458849994608257,5.21179009068963
35,0.82778171005599,5.327803703904883
36,0.7754491028255763,5.50740186129611
37,0.7519920023458647,5.782260627102998
38,0.7265072263722746,6.011592806482607
39,0.6850662021988042,5.624406413797952
40,0.6672989306113761,5.964978240018973
