epoch,train_loss,train_fly_loss,train_movement_class_loss,train_distance_loss,train_direction_loss,train_unweighted_distance_loss,train_unweighted_direction_loss,train_unweighted_total_loss,train_mean_distance_weight,test_loss,test_unweighted_loss,epoch_fly_threshold,epoch_mean_error_km,epoch_migration50_error_mean_km,epoch_stationary_error_mean_km,epoch_gated_mean_error_km,balanced_checkpoint_accepted,balanced_checkpoint_score,balanced_checkpoint_reason,fixed_0_5_fly_f1,fixed_0_5_fly_precision,fixed_0_5_fly_recall,lr
1,4.4186653084371885,0.9346341648700605,0.95338226877091,3.0612906394352652,0.3687898787159889,2.4460572299094303,0.42056547484789747,3.829319727651961,1.7702677752502738,2.57599520014167,2.9240749287288335,0.8077159477770329,18.584659183303934,91.0030701018774,9.923865093826821,15.543937831798578,False,inf,mean_error_too_high,0.6255707762557077,0.4740484429065744,0.9194630872483222,0.001
2,2.8664144485170713,0.7207205220823033,0.6982691574404885,1.8268792133912486,0.2884948027926469,1.8528725720508608,0.33944490253099774,2.9178828232396232,1.7702677746558784,2.32584947919916,2.4325692597308928,0.772645518779755,16.378425529057644,85.75730147770292,8.275867495651275,14.384474971036115,False,inf,mean_error_too_high,0.6649616368286445,0.5371900826446281,0.87248322147651,0.001
3,2.7282351991146223,0.6935849585526538,0.6769657462477574,1.722698824788725,0.2854200185005685,1.7421306070748679,0.33763021218039213,2.7737721301181826,1.7702677744797612,2.292631212330287,2.3179466840611602,0.6556945166736841,15.358181727559076,87.85118246552696,7.221351967756717,13.621272642588433,False,inf,mean_error_too_high,0.671875,0.548936170212766,0.8657718120805369,0.001
4,2.594522039645927,0.6611105146390469,0.6670807414768145,1.6334888058466044,0.2663051084509517,1.579732095413701,0.3196553840215076,2.567440465062389,1.7702677754924347,2.360000371580814,2.517066830194155,0.8547430366743356,16.99880261708812,85.79201122445764,8.852910021658246,14.771825445667739,False,inf,mean_error_too_high,0.6282973621103118,0.48880597014925375,0.8791946308724832,0.001
5,2.458696722367904,0.6332002774775304,0.6528820157601453,1.5344624135412779,0.25562701983960384,1.5728447996678445,0.3041773926022971,2.5213542477686097,1.7702677748760247,2.252422736349627,2.207007549009788,0.73265208308585,14.850033948686864,87.98713215120611,6.653238163146112,13.36918308370362,False,inf,mean_error_too_high,0.6565656565656566,0.5263157894736842,0.87248322147651,0.001
6,2.384768468807499,0.6123874914117797,0.6471024496623574,1.486618200321497,0.24797423534776367,1.4601584873921543,0.29264449658816544,2.3806438459694,1.770267774259615,2.2599542961515033,2.1207161051836114,0.49148963158950215,15.000051941766927,87.09957326621638,6.659332259903909,13.84503840556287,False,inf,mean_error_too_high,0.7538940809968847,0.7034883720930233,0.8120805369127517,0.001
7,2.3095723837256323,0.5983610660745827,0.6409891664376439,1.4295939459805123,0.2427401633666603,1.4772155721872247,0.2872082879888934,2.3794280643058063,1.7702677748760247,2.380536130471279,2.532373927016378,0.8787674232386052,17.977940165955598,86.57248967525382,9.788435725500117,15.156254731444452,False,inf,mean_error_too_high,0.6246973365617433,0.48863636363636365,0.8657718120805369,0.001
8,2.2483814332844037,0.5713514345119314,0.637764962668344,1.40078810617424,0.23360124673154326,1.4864495243502236,0.27194024139218936,2.3532123221584964,1.77026777485401,2.2870921697715185,2.1350017139795434,0.7341357318870724,14.947952944610153,85.09461673959756,6.867243153093766,13.71252710572595,False,inf,mean_error_too_high,0.6756756756756757,0.5656108597285068,0.8389261744966443,0.001
9,2.2028162760307475,0.5644426913032461,0.627007609204022,1.3654118735814469,0.232419607761494,1.391320228092338,0.2771910591221252,2.25111034896125,1.7702677749420688,2.3310527026741332,2.304918182829458,0.8808792295656166,15.7873697937009,86.14193601558142,7.6140073622828925,13.967636353826727,False,inf,mean_error_too_high,0.6019417475728156,0.4714828897338403,0.8322147651006712,0.001
10,2.0647422372249133,0.5397657060667198,0.6159764665535833,1.270361665719544,0.20124149077459275,1.335797070047972,0.2377651982800562,2.148439477487284,1.7702677742155855,2.2937327843473088,2.1740792822450445,0.8471147394971922,14.832668443295859,87.39034698662773,6.665361409489051,13.319405985482014,False,inf,mean_error_too_high,0.645,0.5139442231075697,0.8657718120805369,0.0005
