const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_fly_threshold,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_fly_threshold,transformer_mean_rollout_error_km,transformer_model
14424.17723858551,6549.373788543222,2906.400788664744,1713.6626367877486,direct_transformer_2l_k7,48.2204565,38.9345508,7.8322641,-5.755673,902.5640231794928,0.7908257496543228,833.6995683716934,"triline_lstm_2l_k7 (distance weighted, fly-gated)",65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_30km,Angela / DER AY470 (eobs 4001),2052.714313619887,0.6021632643789052,1751.910235510322,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
3163.500578504747,1315.6575135464705,237.46367228964118,197.66936312805774,direct_transformer_2l_k7,48.1524172,36.284087,7.795102,-6.0298849,34.68778863764649,0.7908257496543228,132.36443871259033,"triline_lstm_2l_k7 (distance weighted, fly-gated)",62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_30km,Angela / DER AY470 (eobs 4001),1220.821829855392,0.6021632643789052,568.3379625671743,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
545.7114109333396,358.09940180587813,48.08164462350689,118.56248731979257,direct_transformer_2l_k7,48.1519085,36.5685474,7.833475,-6.1475794,458.38820485166076,0.7908257496543228,266.51870186498405,"triline_lstm_2l_k7 (distance weighted, fly-gated)",61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_30km,Angela / DER AY470 (eobs 4001),503.29898766472763,0.6021632643789052,348.6572934133847,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
1002.3008659702691,560.6692514022064,433.8160380315993,373.25427913055063,direct_transformer_2l_k7,48.186889,36.573646,7.7548651,-6.1272018,1010.4482979451984,0.7908257496543228,564.0995347913879,"triline_lstm_2l_k7 (distance weighted, fly-gated)",30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_30km,Angela / DER AY470 (eobs 4001),1627.015890768552,0.6021632643789052,944.8504834401324,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
6929.809173723523,3109.9018102269038,1054.7932188427603,730.6942666037996,direct_transformer_2l_k7,47.6932465,37.153416,7.6448794,-6.3756002,830.5118219574466,0.7908257496543228,751.4281259029462,"triline_lstm_2l_k7 (distance weighted, fly-gated)",52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_30km,"Ed + (AAL16, e-obs 7210)",1810.9245949878136,0.6021632643789052,1351.8553117800923,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
15016.928936502958,7276.836339085537,2906.251889208185,1553.5624926222513,direct_transformer_2l_k7,47.1668648,40.16209895,7.5708743,-3.65722925,1855.9984799428873,0.7908257496543228,1473.7652185069985,"triline_lstm_2l_k7 (distance weighted, fly-gated)",33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_30km,Europa / DER A1A26 (eobs 4004),2146.9568835325395,0.6021632643789052,1672.3889949164432,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
3136.535116159868,1537.6318009538923,1385.204075159017,741.3803023037353,direct_transformer_2l_k7,47.1841832,37.7933722,7.5979627,-4.7490658,1271.9183769471733,0.7908257496543228,961.3983154165431,"triline_lstm_2l_k7 (distance weighted, fly-gated)",30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_30km,Europa / DER A1A26 (eobs 4004),2125.5805858227136,0.6021632643789052,1391.7947417294981,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
13208.473771464045,6572.798251501954,2165.975940475831,1108.478167636948,direct_transformer_2l_k7,47.17941505,40.13243435,7.4065439,-3.6785956,1488.7886506989432,0.7908257496543228,1336.3261565655625,"triline_lstm_2l_k7 (distance weighted, fly-gated)",30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_30km,Europa / DER A1A26 (eobs 4004),2150.501517030955,0.6021632643789052,1843.2476213905184,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
15976.214123682856,9200.861916547636,2477.0310219953117,1400.5223779327637,direct_transformer_2l_k7,47.1788117,39.8411549,7.4200194,-4.2708803,1344.2372757094245,0.7908257496543228,1113.2506588044623,"triline_lstm_2l_k7 (distance weighted, fly-gated)",48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_30km,Europa / DER A1A26 (eobs 4004),2173.6338981314448,0.6021632643789052,1653.7402544417128,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
23.652237610373362,18.634462866984677,1340.5092799869046,639.3663398308784,direct_transformer_2l_k7,47.1771678,40.1542867,7.4021174,-3.6455912,10.285667770674586,0.7908257496543228,4.574958756072823,"triline_lstm_2l_k7 (distance weighted, fly-gated)",30,1174.3215620171952,1,Europa_DER_A1A26_eobs_4004__2023__southbound_01,2023,10.285667770674586,4.574958756072823,98,68,setup_30km,Europa / DER A1A26 (eobs 4004),10.285667770674586,0.6021632643789052,4.574958756072823,"triline_transformer_2l_k7 (distance weighted, fly-gated)"
