epoch,train_loss,test_delta_mse_norm,lr
1,0.7509415993628793,1.8141004840900188,0.001
2,0.6347384028646289,1.7592661182452922,0.001
3,0.6235044340770037,1.673822928268235,0.001
4,0.6234683107977214,1.6999510837350447,0.001
5,0.5716178227154032,1.7434406068981685,0.001
6,0.5518461951707075,1.7353858947753906,0.001
7,0.5419239151169324,1.6449690270556099,0.001
8,0.5120387377007392,1.6707960188719349,0.001
9,0.5058301850850393,1.692692176691926,0.001
10,0.47875359076008117,1.72637464202486,0.001
11,0.4512296410453077,1.6410419583981668,0.001
12,0.44813541007570773,1.68053810697827,0.001
13,0.40737790712146793,1.679618659169308,0.001
14,0.3978520236812986,1.636530246840387,0.001
15,0.38284002649365423,1.6116653484689991,0.001
16,0.37418278858974546,1.593415385473678,0.001
17,0.35893466010992714,1.597391459946271,0.001
18,0.32680008512217545,1.6985861660151738,0.001
19,0.32462749664642454,1.7054879722665728,0.001
20,0.30738301605481977,1.7367931655065851,0.001
21,0.31275572863281764,1.8697844732711144,0.0005
22,0.27082051334010915,1.646630747260977,0.0005
23,0.2398048971474942,1.7474644179705552,0.0005
24,0.21198644774127579,1.6752996039258354,0.0005
25,0.2118108312766345,1.6808390485160674,0.0005
26,0.2167769824180497,1.6703868273666298,0.00025
27,0.1907854412377652,1.6308176530707565,0.00025
28,0.1817313266604753,1.6652273082909435,0.00025
29,0.16624616437665637,1.7035945426955021,0.00025
30,0.16996773340620527,1.6978055633150055,0.00025
31,0.16580176670207555,1.675758340662817,0.000125
32,0.1572921128458104,1.6696242898317009,0.000125
33,0.15645491514981563,1.6850210954874147,0.000125
34,0.15579346349796835,1.6591549060701662,0.000125
35,0.15133191055709466,1.6943323061338413,0.000125
36,0.14735779039520433,1.692842088653508,6.25e-05
