fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc
0.10978659987449646,119,963,0,0,0.1099815157116451,0.1099815157116451,1.0,0.0,0.1981681931723564,1.0,0.8752236096930984,0.5281098894041054
0.11409143939614295,119,962,1,0,0.11090573012939002,0.11008325624421832,1.0,0.0010384215991692627,0.19833333333333336,0.9989615784008308,0.8752236096930984,0.5281098894041054
0.11839627891778946,119,959,4,0,0.11367837338262476,0.11038961038961038,1.0,0.004153686396677051,0.1988304093567251,0.995846313603323,0.8752236096930984,0.5281098894041054
0.12270111843943596,119,955,8,0,0.11737523105360444,0.11080074487895716,1.0,0.008307372793354102,0.1994970662196144,0.9916926272066459,0.8752236096930984,0.5281098894041054
0.12446198470890522,119,952,11,0,0.12014787430683918,0.1111111111111111,1.0,0.01142263759086189,0.19999999999999998,0.9885773624091381,0.8752236096930984,0.5281098894041054
0.12700595796108247,119,944,19,0,0.12754158964879853,0.11194731890874883,1.0,0.01973001038421599,0.20135363790186128,0.980269989615784,0.8752236096930984,0.5281098894041054
0.1271244156360626,119,941,22,0,0.13031423290203328,0.11226415094339623,1.0,0.02284527518172378,0.20186598812553014,0.9771547248182763,0.8752236096930984,0.5281098894041054
0.12753212243318557,119,930,33,0,0.14048059149722736,0.11344137273593899,1.0,0.03426791277258567,0.20376712328767124,0.9657320872274143,0.8752236096930984,0.5281098894041054
0.12834465026855468,119,919,44,0,0.15064695009242143,0.11464354527938343,1.0,0.04569055036344756,0.20570440795159897,0.9543094496365524,0.8752236096930984,0.5281098894041054
0.12980372905731202,118,909,54,1,0.1589648798521257,0.11489776046738072,0.9915966386554622,0.056074766355140186,0.20593368237347298,0.9439252336448598,0.8752236096930984,0.5281098894041054
0.13131079748272895,118,908,55,1,0.1598890942698706,0.11500974658869395,0.9915966386554622,0.05711318795430945,0.20611353711790395,0.9428868120456906,0.8752236096930984,0.5281098894041054
0.13561563700437546,118,900,63,1,0.16728280961182995,0.11591355599214145,0.9915966386554622,0.06542056074766354,0.20756376429199652,0.9345794392523364,0.8752236096930984,0.5281098894041054
0.13692320346832276,118,899,64,1,0.16820702402957485,0.1160275319567355,0.9915966386554622,0.06645898234683281,0.20774647887323944,0.9335410176531672,0.8752236096930984,0.5281098894041054
0.13992047652602196,118,893,70,1,0.17375231053604437,0.11671612265084075,0.9915966386554622,0.07268951194184839,0.20884955752212386,0.9273104880581516,0.8752236096930984,0.5281098894041054
0.14422531604766847,118,889,74,1,0.17744916820702403,0.11717974180734857,0.9915966386554622,0.07684319833852545,0.20959147424511546,0.9231568016614745,0.8752236096930984,0.5281098894041054
0.14605625882744788,118,888,75,1,0.17837338262476896,0.1172962226640159,0.9915966386554622,0.0778816199376947,0.20977777777777776,0.9221183800623053,0.8752236096930984,0.5281098894041054
0.14853015556931495,118,887,76,1,0.17929759704251386,0.11741293532338308,0.9915966386554622,0.07892004153686397,0.2099644128113879,0.9210799584631361,0.8752236096930984,0.5281098894041054
0.15283499509096146,118,887,76,1,0.17929759704251386,0.11741293532338308,0.9915966386554622,0.07892004153686397,0.2099644128113879,0.9210799584631361,0.8752236096930984,0.5281098894041054
0.15713983461260794,118,885,78,1,0.18114602587800369,0.11764705882352941,0.9915966386554622,0.08099688473520249,0.2103386809269162,0.9190031152647975,0.8752236096930984,0.5281098894041054
0.16144467413425445,118,879,84,1,0.1866913123844732,0.11835506519558676,0.9915966386554622,0.08722741433021806,0.21146953405017924,0.9127725856697819,0.8752236096930984,0.5281098894041054
0.16307577788829805,118,877,86,1,0.18853974121996303,0.1185929648241206,0.9915966386554622,0.0893042575285566,0.2118491921005386,0.9106957424714434,0.8752236096930984,0.5281098894041054
0.1655767458677292,118,866,97,1,0.1987060998151571,0.11991869918699187,0.9915966386554622,0.10072689511941849,0.21396192203082504,0.8992731048805815,0.8752236096930984,0.5281098894041054
0.16574951365590096,118,866,97,1,0.1987060998151571,0.11991869918699187,0.9915966386554622,0.10072689511941849,0.21396192203082504,0.8992731048805815,0.8752236096930984,0.5281098894041054
0.16865341514348983,117,856,107,2,0.20702402957486138,0.12024665981500514,0.9831932773109243,0.1111111111111111,0.2142857142857143,0.8888888888888888,0.8752236096930984,0.5281098894041054
0.17005435317754747,117,847,116,2,0.21534195933456562,0.12136929460580913,0.9831932773109243,0.12045690550363447,0.21606648199445985,0.8795430944963655,0.8752236096930984,0.5281098894041054
0.1703603047132492,117,846,117,2,0.21626617375231053,0.12149532710280374,0.9831932773109243,0.12149532710280374,0.21626617375231053,0.8785046728971962,0.8752236096930984,0.5281098894041054
0.17151966750621794,117,835,128,2,0.22643253234750463,0.12289915966386554,0.9831932773109243,0.13291796469366562,0.2184873949579832,0.8670820353063343,0.8752236096930984,0.5281098894041054
0.17264003917574883,117,824,139,2,0.2365988909426987,0.12433581296493093,0.9831932773109243,0.14434060228452752,0.22075471698113208,0.8556593977154725,0.8752236096930984,0.5281098894041054
0.17373366087675093,117,813,150,2,0.24676524953789278,0.12580645161290321,0.9831932773109243,0.1557632398753894,0.22306959008579597,0.8442367601246106,0.8752236096930984,0.5281098894041054
0.17435919269919398,117,810,153,2,0.24953789279112754,0.1262135922330097,0.9831932773109243,0.1588785046728972,0.2237093690248566,0.8411214953271028,0.8752236096930984,0.5281098894041054
0.17565033957362175,117,802,161,2,0.25693160813308685,0.12731229597388466,0.9831932773109243,0.1671858774662513,0.2254335260115607,0.8328141225337488,0.8752236096930984,0.5281098894041054
0.1773175173997879,116,793,170,3,0.2643253234750462,0.1276127612761276,0.9747899159663865,0.17653167185877466,0.22568093385214005,0.8234683281412254,0.8752236096930984,0.5281098894041054
0.17866403222084046,116,785,178,3,0.27171903881700554,0.12874583795782463,0.9747899159663865,0.18483904465212878,0.22745098039215683,0.8151609553478713,0.8752236096930984,0.5281098894041054
0.1793095301091671,116,782,181,3,0.2744916820702403,0.1291759465478842,0.9747899159663865,0.18795430944963656,0.2281219272369715,0.8120456905503635,0.8752236096930984,0.5281098894041054
0.18239941120147704,116,771,192,3,0.2846580406654344,0.13077790304396844,0.9747899159663865,0.19937694704049844,0.2306163021868787,0.8006230529595015,0.8752236096930984,0.5281098894041054
