epoch,train_loss,test_delta_mse_norm,lr
1,0.6624357464178553,1.1699298282839217,0.001
2,0.6015124586071929,1.1151503411264754,0.001
3,0.5622801399134562,1.1045029529664072,0.001
4,0.5275459874351069,1.0263848060546217,0.001
5,0.5069046692064187,1.0670336391726594,0.001
6,0.48023227588185724,1.0220536748675324,0.001
7,0.45359407184580264,1.0118317051396537,0.001
8,0.4401192745429808,1.0536692842961644,0.001
9,0.4185033604462513,1.0899627896332034,0.001
10,0.40070628123784646,1.0869355034635395,0.001
11,0.385101624656559,1.1513219046785503,0.001
12,0.3836689045165748,1.1179830340362302,0.0005
13,0.33283816936684424,1.079063322987518,0.0005
14,0.28863818268730956,1.0972557633392253,0.0005
15,0.290623359121081,1.0179963844484397,0.0005
16,0.2760140939221549,1.120420913490645,0.0005
17,0.26826388730273415,1.149774273772124,0.00025
18,0.24111326544914605,1.1049480592465466,0.00025
19,0.2351526389064172,1.119758827024393,0.00025
20,0.22797698941272546,1.1002587552340526,0.00025
21,0.20490440583694977,1.1305356347014641,0.00025
22,0.20749685642211585,1.1037625212553699,0.000125
23,0.1950450052790886,1.0925458357983202,0.000125
24,0.18901230298444588,1.1204397684801621,0.000125
25,0.18837898937518385,1.0907060412383787,0.000125
26,0.18372688095042647,1.1138247826671344,0.000125
27,0.17993582821277918,1.1206467929233437,6.25e-05
