best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
,,,,,,,,,,,,,,,,,,,125.0659985604233,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_30km,30.0,2.3544520636361694,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,109.17166379159897,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_30km,30.0,7.392218858801617,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,128.01192579365977,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_30km,30.0,2.539791640227164,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,113.1596434195498,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_30km,30.0,7.973816093438845,0.10998151451349258,1082,,4328
1,1.1699897992321744,,1.1699897992321744,,,,,,,,,,,,,,,,83.05888415842796,,,,,,,,,,,,,,,,,,,,7,direct_transformer,18.813981787399662,8.402776284439945,88.24690417107409,direct_transformer_2l_k7,direct,2,48.70311128048964,89.76596634826646,408964,,,1.678299903869629,setup_30km,30.0,11.48273166698202,0.10242587327957153,1484,0.1335916370153427,5936
1,1.2477322483121942,,1.2477322483121942,,,,,,,,,,,,,,,,86.88584735593176,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,18.288236889533174,7.173789933639123,94.41858582768504,direct_mlp_last_day_k1,direct,0,40.51636658915807,81.87911123655016,16226,,,0.13004422187805176,setup_30km,30.0,10.72406206208743,0.09931719303131104,1611,0.13584847748279572,6441
1,2.0067109197873947,,2.0067109197873947,,,,,,,,,,,,,,,,90.89895624800702,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,19.705928273891047,7.165333391039462,100.95145428067788,direct_mlp_sequence_k30,direct,0,47.747848999852195,83.8116246493245,83042,,,0.10253310203552246,setup_30km,30.0,10.908451296819603,0.10998151451349258,1082,0.11552680283784866,4328
1,2.1427213374495184,full,,2.1427213374495184,0.8847708894878706,0.5918854415274464,0.10735735735735735,28,143,0.6429432794992841,0.46441947565543074,0.8157894736842105,0.9181286549707601,0.8926426426426426,0.5,1189,124,0.9278975741239892,116.39243147412074,0.6559485530546624,0.04279279279279279,50,57,0.6429432794992841,0.6415094339622641,0.6710526315789473,0.9181286549707601,0.9572072072072072,0.7347759850323201,1275,102,117.01272719615436,14.29564568166556,0.8082727182331646,134.05550994280577,30.592953294226724,94.04172379147373,2.574176920252423,7,triline_transformer,14.867023670338469,1.7844918212225587,133.4666557199166,triline_transformer_2l_k7,triline,2,30.606436956997655,92.39227358841836,426118,6.485498108448928,6.485498108448928,1.277733325958252,setup_30km,30.0,3.281541698735687,0.10242587327957153,1484,0.1335916370153427,5936
1,2.568510912262358,full,,2.568510912262358,0.788354898336414,0.47835990888382685,0.2232606438213915,14,215,0.5802495724988805,0.328125,0.8823529411764706,0.8880773493197902,0.7767393561786086,0.5,748,105,0.9177449168207024,119.82444853005961,0.6147186147186147,0.04257528556593977,48,41,0.5802495724988805,0.6339285714285714,0.5966386554621849,0.8880773493197902,0.9574247144340602,0.7779988022148608,922,71,121.22723409033647,15.776666277185814,0.9067717026281084,139.18211512467784,37.617776425106314,106.35462605279245,2.7459107530270104,30,triline_transformer,16.602887785180872,2.6477972461729626,137.5466490769428,triline_transformer_3l_k30,triline,3,37.16129289174204,103.5977773283078,627334,7.656,7.656,3.53181791305542,setup_30km,30.0,3.8475755020650158,0.10998151451349258,1082,0.11552680283784866,4328
1,2.6654876208349427,full,,2.6654876208349427,0.7661737523105361,0.4605543710021322,0.2512980269989616,11,242,0.5781255550935432,0.30857142857142855,0.907563025210084,0.8956080874717488,0.7487019730010385,0.5,721,108,0.9205175600739371,121.13563934825966,0.6090909090909091,0.035306334371754934,52,34,0.5781255550935432,0.6633663366336634,0.5630252100840336,0.8956080874717488,0.9646936656282451,0.7569479255378246,929,67,122.53240782003795,15.877225563130636,0.901845820139392,140.41556242017975,37.71768229234449,107.04578505864966,2.697613217780719,30,triline_transformer,16.801701793890704,2.656874759947596,138.90834865895107,triline_transformer_4l_k30,triline,4,37.624141678245294,104.34235287927616,825606,7.656,7.656,4.454872131347656,setup_30km,30.0,3.908930694233484,0.10998151451349258,1082,0.11552680283784866,4328
